x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.002514
-3.88,-3.96,0.002394
-3.8,-3.96,0.002544
-3.72,-3.96,0.001616
-3.64,-3.96,0.002514
-3.56,-3.96,0.002065
-3.48,-3.96,0.002484
-3.4,-3.96,0.002245
-3.32,-3.96,0.002275
-3.24,-3.96,0.002724
-3.16,-3.96,0.002454
-3.08,-3.96,0.003322
-3.0,-3.96,0.002365
-2.92,-3.96,0.002634
-2.84,-3.96,0.002843
-2.76,-3.96,0.002604
-2.68,-3.96,0.003083
-2.6,-3.96,0.003682
-2.52,-3.96,0.003053
-2.44,-3.96,0.003053
-2.36,-3.96,0.002814
-2.28,-3.96,0.002963
-2.2,-3.96,0.002814
-2.12,-3.96,0.002754
-2.04,-3.96,0.003322
-1.96,-3.96,0.003562
-1.88,-3.96,0.003143
-1.8,-3.96,0.003622
-1.72,-3.96,0.003143
-1.64,-3.96,0.003263
-1.56,-3.96,0.004041
-1.48,-3.96,0.003891
-1.4,-3.96,0.003921
-1.32,-3.96,0.003562
-1.24,-3.96,0.004161
-1.16,-3.96,0.004041
-1.08,-3.96,0.003831
-0.999999,-3.96,0.00434
-0.92,-3.96,0.003771
-0.84,-3.96,0.00455
-0.76,-3.96,0.003921
-0.68,-3.96,0.003322
-0.6,-3.96,0.00431
-0.52,-3.96,0.003891
-0.44,-3.96,0.003891
-0.36,-3.96,0.004131
-0.28,-3.96,0.00452
-0.2,-3.96,0.004011
-0.12,-3.96,0.004669
-0.04,-3.96,0.003861
0.04,-3.96,0.004161
0.12,-3.96,0.004071
0.199999,-3.96,0.004131
0.28,-3.96,0.004041
0.36,-3.96,0.004669
0.44,-3.96,0.003831
0.52,-3.96,0.004969
0.6,-3.96,0.004101
0.68,-3.96,0.003622
0.76,-3.96,0.004669
0.84,-3.96,0.003712
0.92,-3.96,0.00458
0.999999,-3.96,0.00425
1.08,-3.96,0.00422
1.16,-3.96,0.003951
1.24,-3.96,0.003652
1.32,-3.96,0.004041
1.4,-3.96,0.003711
1.48,-3.96,0.003951
1.56,-3.96,0.003233
1.64,-3.96,0.003951
1.72,-3.96,0.003053
1.8,-3.96,0.003113
1.88,-3.96,0.003263
