x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.152413
-3.88,-3.96,0.164476
-3.8,-3.96,0.18097
-3.72,-3.96,0.185669
-3.64,-3.96,0.192732
-3.56,-3.96,0.20312
-3.48,-3.96,0.215571
-3.4,-3.96,0.227454
-3.32,-3.96,0.242449
-3.24,-3.96,0.249963
-3.16,-3.96,0.264869
-3.08,-3.96,0.278878
-3.0,-3.96,0.292706
-2.92,-3.96,0.29986
-2.84,-3.96,0.314947
-2.76,-3.96,0.335179
-2.68,-3.96,0.348409
-2.6,-3.96,0.364125
-2.52,-3.96,0.376008
-2.44,-3.96,0.39298
-2.36,-3.96,0.409054
-2.28,-3.96,0.416625
-2.2,-3.96,0.43303
-2.12,-3.96,0.442398
-2.04,-3.96,0.461735
-1.96,-3.96,0.478527
-1.88,-3.96,0.492147
-1.8,-3.96,0.514625
-1.72,-3.96,0.521031
-1.64,-3.96,0.528604
-1.56,-3.96,0.545964
-1.48,-3.96,0.554376
-1.4,-3.96,0.571079
-1.32,-3.96,0.575507
-1.24,-3.96,0.595294
-1.16,-3.96,0.600981
-1.08,-3.96,0.614659
-0.999999,-3.96,0.624897
-0.92,-3.96,0.63711
-0.84,-3.96,0.640253
-0.76,-3.96,0.655277
-0.68,-3.96,0.661266
-0.6,-3.96,0.657824
-0.52,-3.96,0.67605
-0.44,-3.96,0.672341
-0.36,-3.96,0.676261
-0.28,-3.96,0.674883
-0.2,-3.96,0.678357
-0.12,-3.96,0.678956
-0.04,-3.96,0.681408
0.04,-3.96,0.682428
0.12,-3.96,0.68626
0.199999,-3.96,0.684673
0.28,-3.96,0.689463
0.36,-3.96,0.67979
0.44,-3.96,0.670575
0.52,-3.96,0.674975
0.6,-3.96,0.660338
0.68,-3.96,0.659858
0.76,-3.96,0.652046
0.84,-3.96,0.641746
0.92,-3.96,0.639146
0.999999,-3.96,0.620198
1.08,-3.96,0.61487
1.16,-3.96,0.606639
1.24,-3.96,0.591224
1.32,-3.96,0.582243
1.4,-3.96,0.562874
1.48,-3.96,0.560333
1.56,-3.96,0.541715
1.64,-3.96,0.530849
1.72,-3.96,0.52181
1.8,-3.96,0.504479
1.88,-3.96,0.489988
1.96,-3.96,0.481909
2.04,-3.96,0.463082
2.12,-3.96,0.449673
2.2,-3.96,0.432431
2.28,-3.96,0.428809
2.36,-3.96,0.403756
2.44,-3.96,0.393906
2.52,-3.96,0.373673
2.6,-3.96,0.365652
2.68,-3.96,0.352901
2.76,-3.96,0.331858
2.84,-3.96,0.319376
2.92,-3.96,0.301385
3.0,-3.96,0.293095
3.08,-3.96,0.281691
3.16,-3.96,0.267444
3.24,-3.96,0.253645
3.32,-3.96,0.243318
3.4,-3.96,0.230716
3.48,-3.96,0.21599
3.56,-3.96,0.208716
3.64,-3.96,0.195576
3.72,-3.96,0.182795
3.8,-3.96,0.175521
3.88,-3.96,0.167231
3.96,-3.96,0.155376
-3.96,-3.88,0.166841
-3.88,-3.88,0.169953
-3.8,-3.88,0.184141
-3.72,-3.88,0.198539
-3.64,-3.88,0.203716
-3.56,-3.88,0.217875
-3.48,-3.88,0.231464
-3.4,-3.88,0.241163
-3.32,-3.88,0.256188
-3.24,-3.88,0.263522
-3.16,-3.88,0.282439
-3.08,-3.88,0.294592
-3.0,-3.88,0.310186
-2.92,-3.88,0.323656
-2.84,-3.88,0.339789
-2.76,-3.88,0.355083
-2.68,-3.88,0.366937
-2.6,-3.88,0.384568
-2.52,-3.88,0.400312
-2.44,-3.88,0.415578
-2.36,-3.88,0.428179
-2.28,-3.88,0.437697
-2.2,-3.88,0.465176
-2.12,-3.88,0.471341
-2.04,-3.88,0.493013
-1.96,-3.88,0.506812
-1.88,-3.88,0.522018
-1.8,-3.88,0.536413
-1.72,-3.88,0.550783
-1.64,-3.88,0.565809
-1.56,-3.88,0.583587
-1.48,-3.88,0.590892
-1.4,-3.88,0.599453
-1.32,-3.88,0.619625
-1.24,-3.88,0.622232
-1.16,-3.88,0.643423
-1.08,-3.88,0.646446
-0.999999,-3.88,0.654648
-0.92,-3.88,0.673865
-0.84,-3.88,0.674943
-0.76,-3.88,0.692092
-0.68,-3.88,0.691167
-0.6,-3.88,0.704396
-0.52,-3.88,0.720618
-0.44,-3.88,0.707839
-0.36,-3.88,0.71176
-0.28,-3.88,0.718074
-0.2,-3.88,0.726427
-0.12,-3.88,0.720949
-0.04,-3.88,0.73283
0.04,-3.88,0.731934
0.12,-3.88,0.726337
0.199999,-3.88,0.714694
0.28,-3.88,0.723075
0.36,-3.88,0.718759
0.44,-3.88,0.712179
0.52,-3.88,0.710772
0.6,-3.88,0.705953
0.68,-3.88,0.690926
0.76,-3.88,0.682935
0.84,-3.88,0.677603
0.92,-3.88,0.658479
0.999999,-3.88,0.671381
1.08,-3.88,0.65854
1.16,-3.88,0.651895
1.24,-3.88,0.626243
1.32,-3.88,0.620136
1.4,-3.88,0.606544
1.48,-3.88,0.585504
1.56,-3.88,0.576046
1.64,-3.88,0.573083
1.72,-3.88,0.548089
1.8,-3.88,0.536774
1.88,-3.88,0.521715
1.96,-3.88,0.502113
2.04,-3.88,0.491517
2.12,-3.88,0.475922
2.2,-3.88,0.455717
2.28,-3.88,0.44536
2.36,-3.88,0.424109
2.44,-3.88,0.416832
2.52,-3.88,0.395554
2.6,-3.88,0.381186
2.68,-3.88,0.36619
2.76,-3.88,0.357539
2.84,-3.88,0.340568
2.92,-3.88,0.330658
3.0,-3.88,0.307851
3.08,-3.88,0.298183
3.16,-3.88,0.284923
3.24,-3.88,0.267383
3.32,-3.88,0.255201
3.4,-3.88,0.241939
3.48,-3.88,0.231824
3.56,-3.88,0.217935
3.64,-3.88,0.208895
3.72,-3.88,0.19788
3.8,-3.88,0.188511
3.88,-3.88,0.177317
3.96,-3.88,0.16669
-3.96,-3.8,0.174294
-3.88,-3.8,0.184411
-3.8,-3.8,0.196594
-3.72,-3.8,0.209645
-3.64,-3.8,0.218892
-3.56,-3.8,0.235685
-3.48,-3.8,0.244934
-3.4,-3.8,0.258913
-3.32,-3.8,0.274956
-3.24,-3.8,0.281841
-3.16,-3.8,0.299291
-3.08,-3.8,0.316742
-3.0,-3.8,0.329164
-2.92,-3.8,0.345298
-2.84,-3.8,0.365622
-2.76,-3.8,0.371847
