x (m),y (m),flux (kW/m2)
-3.960000,-3.960000,0.343051
-3.880000,-3.960000,0.353796
-3.800000,-3.960000,0.364633
-3.720000,-3.960000,0.375550
-3.640000,-3.960000,0.386536
-3.560000,-3.960000,0.397578
-3.480000,-3.960000,0.408664
-3.400000,-3.960000,0.419781
-3.320000,-3.960000,0.430914
-3.240000,-3.960000,0.442052
-3.160000,-3.960000,0.453179
-3.080000,-3.960000,0.464282
-3,-3.960000,0.475346
-2.920000,-3.960000,0.486357
-2.840000,-3.960000,0.497299
-2.760000,-3.960000,0.508159
-2.680000,-3.960000,0.518921
-2.600000,-3.960000,0.529569
-2.520000,-3.960000,0.540090
-2.440000,-3.960000,0.550468
-2.360000,-3.960000,0.560687
-2.280000,-3.960000,0.570734
-2.200000,-3.960000,0.580592
-2.120000,-3.960000,0.590249
-2.040000,-3.960000,0.599688
-1.960000,-3.960000,0.608896
-1.880000,-3.960000,0.617858
-1.800000,-3.960000,0.626562
-1.720000,-3.960000,0.634993
-1.640000,-3.960000,0.643138
-1.560000,-3.960000,0.650985
-1.480000,-3.960000,0.658522
-1.400000,-3.960000,0.665735
-1.320000,-3.960000,0.672615
-1.240000,-3.960000,0.679150
-1.160000,-3.960000,0.685329
-1.080000,-3.960000,0.691143
-1,-3.960000,0.696582
-0.920000,-3.960000,0.701637
-0.840000,-3.960000,0.706301
-0.760000,-3.960000,0.710565
-0.680000,-3.960000,0.714423
-0.600000,-3.960000,0.717868
-0.520000,-3.960000,0.720896
-0.440000,-3.960000,0.723500
-0.360000,-3.960000,0.725676
-0.280000,-3.960000,0.727422
-0.200000,-3.960000,0.728734
-0.120000,-3.960000,0.729609
-0.040000,-3.960000,0.730048
0.040000,-3.960000,0.730048
0.120000,-3.960000,0.729609
0.200000,-3.960000,0.728734
0.280000,-3.960000,0.727422
0.360000,-3.960000,0.725676
0.440000,-3.960000,0.723500
0.520000,-3.960000,0.720896
0.600000,-3.960000,0.717868
0.680000,-3.960000,0.714423
0.760000,-3.960000,0.710565
0.840000,-3.960000,0.706301
0.920000,-3.960000,0.701637
1,-3.960000,0.696582
1.080000,-3.960000,0.691143
1.160000,-3.960000,0.685329
1.240000,-3.960000,0.679150
1.320000,-3.960000,0.672615
1.400000,-3.960000,0.665735
1.480000,-3.960000,0.658522
1.560000,-3.960000,0.650985
1.640000,-3.960000,0.643138
1.720000,-3.960000,0.634993
1.800000,-3.960000,0.626562
1.880000,-3.960000,0.617858
1.960000,-3.960000,0.608896
2.040000,-3.960000,0.599688
2.120000,-3.960000,0.590249
2.200000,-3.960000,0.580592
2.280000,-3.960000,0.570734
2.360000,-3.960000,0.560687
2.440000,-3.960000,0.550468
2.520000,-3.960000,0.540090
2.600000,-3.960000,0.529569
2.680000,-3.960000,0.518921
2.760000,-3.960000,0.508159
2.840000,-3.960000,0.497299
2.920000,-3.960000,0.486357
3,-3.960000,0.475346
3.080000,-3.960000,0.464282
3.160000,-3.960000,0.453179
3.240000,-3.960000,0.442052
3.320000,-3.960000,0.430914
3.400000,-3.960000,0.419781
3.480000,-3.960000,0.408664
3.560000,-3.960000,0.397578
3.640000,-3.960000,0.386536
3.720000,-3.960000,0.375550
3.800000,-3.960000,0.364633
3.880000,-3.960000,0.353796
3.960000,-3.960000,0.343051
-3.960000,-3.880000,0.353796
-3.880000,-3.880000,0.364862
-3.800000,-3.880000,0.376022
-3.720000,-3.880000,0.387263
-3.640000,-3.880000,0.398574
-3.560000,-3.880000,0.409942
-3.480000,-3.880000,0.421354
-3.400000,-3.880000,0.432797
-3.320000,-3.880000,0.444256
-3.240000,-3.880000,0.455719
-3.160000,-3.880000,0.467170
-3.080000,-3.880000,0.478595
-3,-3.880000,0.489979
-2.920000,-3.880000,0.501307
-2.840000,-3.880000,0.512565
-2.760000,-3.880000,0.523736
-2.680000,-3.880000,0.534805
-2.600000,-3.880000,0.545758
-2.520000,-3.880000,0.556578
-2.440000,-3.880000,0.567251
-2.360000,-3.880000,0.577759
-2.280000,-3.880000,0.588090
-2.200000,-3.880000,0.598226
-2.120000,-3.880000,0.608154
-2.040000,-3.880000,0.617858
-1.960000,-3.880000,0.627324
-1.880000,-3.880000,0.636537
-1.800000,-3.880000,0.645483
-1.720000,-3.880000,0.654149
-1.640000,-3.880000,0.662520
-1.560000,-3.880000,0.670585
-1.480000,-3.880000,0.678330
-1.400000,-3.880000,0.685743
-1.320000,-3.880000,0.692812
-1.240000,-3.880000,0.699527
-1.160000,-3.880000,0.705876
-1.080000,-3.880000,0.711849
-1,-3.880000,0.717437
-0.920000,-3.880000,0.722631
-0.840000,-3.880000,0.727422
-0.760000,-3.880000,0.731803
-0.680000,-3.880000,0.735766
-0.600000,-3.880000,0.739305
-0.520000,-3.880000,0.742415
-0.440000,-3.880000,0.745090
-0.360000,-3.880000,0.747326
-0.280000,-3.880000,0.749119
-0.200000,-3.880000,0.750466
-0.120000,-3.880000,0.751366
-0.040000,-3.880000,0.751816
0.040000,-3.880000,0.751816
0.120000,-3.880000,0.751366
0.200000,-3.880000,0.750466
0.280000,-3.880000,0.749119
0.360000,-3.880000,0.747326
0.440000,-3.880000,0.745090
0.520000,-3.880000,0.742415
0.600000,-3.880000,0.739305
0.680000,-3.880000,0.735766
0.760000,-3.880000,0.731803
0.840000,-3.880000,0.727422
0.920000,-3.880000,0.722631
1,-3.880000,0.717437
1.080000,-3.880000,0.711849
1.160000,-3.880000,0.705876
1.240000,-3.880000,0.699527
1.320000,-3.880000,0.692812
1.400000,-3.880000,0.685743
1.480000,-3.880000,0.678330
1.560000,-3.880000,0.670585
1.640000,-3.880000,0.662520
1.720000,-3.880000,0.654149
1.800000,-3.880000,0.645483
1.880000,-3.880000,0.636537
1.960000,-3.880000,0.627324
2.040000,-3.880000,0.617858
2.120000,-3.880000,0.608154
2.200000,-3.880000,0.598226
2.280000,-3.880000,0.588090
2.360000,-3.880000,0.577759
2.440000,-3.880000,0.567251
2.520000,-3.880000,0.556578
2.600000,-3.880000,0.545758
2.680000,-3.880000,0.534805
2.760000,-3.880000,0.523736
2.840000,-3.880000,0.512565
2.920000,-3.880000,0.501307
3,-3.880000,0.489979
3.080000,-3.880000,0.478595
3.160000,-3.880000,0.467170
3.240000,-3.880000,0.455719
3.320000,-3.880000,0.444256
3.400000,-3.880000,0.432797
3.480000,-3.880000,0.421354
3.560000,-3.880000,0.409942
3.640000,-3.880000,0.398574
3.720000,-3.880000,0.387263
3.800000,-3.880000,0.376022
3.880000,-3.880000,0.364862
3.960000,-3.880000,0.353796
-3.960000,-3.800000,0.364633
-3.880000,-3.800000,0.376022
-3.800000,-3.800000,0.387506
-3.720000,-3.800000,0.399073
-3.640000,-3.800000,0.410711
-3.560000,-3.800000,0.422406
-3.480000,-3.800000,0.434146
-3.400000,-3.800000,0.445917
-3.320000,-3.800000,0.457703
-3.240000,-3.800000,0.469492
-3.160000,-3.800000,0.481268
-3.080000,-3.800000,0.493017
-3,-3.800000,0.504722
-2.920000,-3.800000,0.516369
-2.840000,-3.800000,0.527943
-2.760000,-3.800000,0.539427
-2.680000,-3.800000,0.550805
-2.600000,-3.800000,0.562063
-2.520000,-3.800000,0.573184
-2.440000,-3.800000,0.584151
-2.360000,-3.800000,0.594951
-2.280000,-3.800000,0.605566
-2.200000,-3.800000,0.615981
-2.120000,-3.800000,0.626181
-2.040000,-3.800000,0.636151
-1.960000,-3.800000,0.645875
-1.880000,-3.800000,0.655339
-1.800000,-3.800000,0.664528
-1.720000,-3.800000,0.673429
-1.640000,-3.800000,0.682027
-1.560000,-3.800000,0.690309
-1.480000,-3.800000,0.698263
-1.400000,-3.800000,0.705876
-1.320000,-3.800000,0.713135
-1.240000,-3.800000,0.720030
-1.160000,-3.800000,0.726549
-1.080000,-3.800000,0.732682
-1,-3.800000,0.738419
-0.920000,-3.800000,0.743752
-0.840000,-3.800000,0.748670
-0.760000,-3.800000,0.753168
-0.680000,-3.800000,0.757237
-0.600000,-3.800000,0.760870
-0.520000,-3.800000,0.764062
-0.440000,-3.800000,0.766808
-0.360000,-3.800000,0.769103
-0.280000,-3.800000,0.770944
-0.200000,-3.800000,0.772327
-0.120000,-3.800000,0.773251
-0.040000,-3.800000,0.773713
0.040000,-3.800000,0.773713
0.120000,-3.800000,0.773251
0.200000,-3.800000,0.772327
