x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.076771
-3.88,-3.96,0.07875
-3.8,-3.96,0.0957294
-3.72,-3.96,0.0986462
-3.64,-3.96,0.110313
-3.56,-3.96,0.117292
-3.48,-3.96,0.120105
-3.4,-3.96,0.133958
-3.32,-3.96,0.143021
-3.24,-3.96,0.146042
-3.16,-3.96,0.161874
-3.08,-3.96,0.167813
-3.0,-3.96,0.183334
-2.92,-3.96,0.201354
-2.84,-3.96,0.195833
-2.76,-3.96,0.211355
-2.68,-3.96,0.228855
-2.6,-3.96,0.242395
-2.52,-3.96,0.24948
-2.44,-3.96,0.264271
-2.36,-3.96,0.278125
-2.28,-3.96,0.293751
-2.2,-3.96,0.303751
-2.12,-3.96,0.325833
-2.04,-3.96,0.332188
-1.96,-3.96,0.357916
-1.88,-3.96,0.356668
-1.8,-3.96,0.372083
-1.72,-3.96,0.388854
-1.64,-3.96,0.401043
-1.56,-3.96,0.411042
-1.48,-3.96,0.425834
-1.4,-3.96,0.451354
-1.32,-3.96,0.456251
-1.24,-3.96,0.467397
-1.16,-3.96,0.4775
-1.08,-3.96,0.482188
-1.0,-3.96,0.493646
-0.92,-3.96,0.505313
-0.84,-3.96,0.510521
-0.76,-3.96,0.525417
-0.68,-3.96,0.527084
-0.6,-3.96,0.51625
-0.52,-3.96,0.537813
-0.44,-3.96,0.555625
-0.36,-3.96,0.576458
-0.28,-3.96,0.567292
-0.2,-3.96,0.550834
-0.12,-3.96,0.560313
-0.04,-3.96,0.571042
0.04,-3.96,0.5675
0.12,-3.96,0.556355
0.2,-3.96,0.564584
0.28,-3.96,0.563022
0.36,-3.96,0.552813
0.44,-3.96,0.54125
0.52,-3.96,0.537292
0.6,-3.96,0.537709
0.68,-3.96,0.538647
0.76,-3.96,0.503334
0.84,-3.96,0.507292
0.92,-3.96,0.504271
1.0,-3.96,0.497188
1.08,-3.96,0.495833
1.16,-3.96,0.469792
1.24,-3.96,0.457813
1.32,-3.96,0.455417
1.4,-3.96,0.443021
1.48,-3.96,0.418959
1.56,-3.96,0.409376
1.64,-3.96,0.393438
1.72,-3.96,0.385729
1.8,-3.96,0.378021
1.88,-3.96,0.355417
1.96,-3.96,0.350833
2.04,-3.96,0.332188
2.12,-3.96,0.32375
2.2,-3.96,0.308439
2.28,-3.96,0.281042
2.36,-3.96,0.284895
2.44,-3.96,0.272501
2.52,-3.96,0.249063
2.6,-3.96,0.24625
2.68,-3.96,0.236355
2.76,-3.96,0.218125
2.84,-3.96,0.20927
2.92,-3.96,0.194167
3.0,-3.96,0.187292
3.08,-3.96,0.173959
3.16,-3.96,0.164166
3.24,-3.96,0.149479
3.32,-3.96,0.141563
3.4,-3.96,0.131458
3.48,-3.96,0.121563
3.56,-3.96,0.114792
3.64,-3.96,0.104271
3.72,-3.96,0.100417
3.8,-3.96,0.0928127
3.88,-3.96,0.0864583
3.96,-3.96,0.081146
-3.96,-3.88,0.0811458
-3.88,-3.88,0.0961454
-3.8,-3.88,0.100208
-3.72,-3.88,0.108854
-3.64,-3.88,0.117083
-3.56,-3.88,0.124688
-3.48,-3.88,0.134792
