x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.163542
-3.88,-3.96,0.170104
-3.8,-3.96,0.184063
-3.72,-3.96,0.19875
-3.64,-3.96,0.204062
-3.56,-3.96,0.214272
-3.48,-3.96,0.228334
-3.4,-3.96,0.230416
-3.32,-3.96,0.242397
-3.24,-3.96,0.264479
-3.16,-3.96,0.271146
-3.08,-3.96,0.283334
-3.0,-3.96,0.306876
-2.92,-3.96,0.311667
-2.84,-3.96,0.326562
-2.76,-3.96,0.343125
-2.68,-3.96,0.365105
-2.6,-3.96,0.373854
-2.52,-3.96,0.383126
-2.44,-3.96,0.39948
-2.36,-3.96,0.413333
-2.28,-3.96,0.43896
-2.2,-3.96,0.44646
-2.12,-3.96,0.454479
-2.04,-3.96,0.472605
-1.96,-3.96,0.485834
-1.88,-3.96,0.498022
-1.8,-3.96,0.521771
-1.72,-3.96,0.524896
-1.64,-3.96,0.551876
-1.56,-3.96,0.56948
-1.48,-3.96,0.572188
-1.4,-3.96,0.591667
-1.32,-3.96,0.604271
-1.24,-3.96,0.606043
-1.16,-3.96,0.606876
-1.08,-3.96,0.627188
-1.0,-3.96,0.64198
-0.92,-3.96,0.649167
-0.84,-3.96,0.674689
-0.76,-3.96,0.65823
-0.68,-3.96,0.676146
-0.6,-3.96,0.683229
-0.52,-3.96,0.66823
-0.44,-3.96,0.70948
-0.36,-3.96,0.688751
-0.28,-3.96,0.694063
-0.2,-3.96,0.692188
-0.12,-3.96,0.706771
-0.04,-3.96,0.705834
0.04,-3.96,0.718959
0.12,-3.96,0.719793
0.2,-3.96,0.687709
0.28,-3.96,0.698125
0.36,-3.96,0.683959
0.44,-3.96,0.686563
0.52,-3.96,0.671042
0.6,-3.96,0.681147
0.68,-3.96,0.676875
0.76,-3.96,0.673855
0.84,-3.96,0.646667
0.92,-3.96,0.648022
1.0,-3.96,0.626667
1.08,-3.96,0.621667
1.16,-3.96,0.617292
1.24,-3.96,0.608751
1.32,-3.96,0.592396
1.4,-3.96,0.592292
1.48,-3.96,0.584064
1.56,-3.96,0.565625
1.64,-3.96,0.541147
1.72,-3.96,0.525
1.8,-3.96,0.516459
1.88,-3.96,0.514481
1.96,-3.96,0.495312
2.04,-3.96,0.475417
2.12,-3.96,0.457291
2.2,-3.96,0.448855
2.28,-3.96,0.434063
2.36,-3.96,0.415416
2.44,-3.96,0.399063
2.52,-3.96,0.397188
2.6,-3.96,0.377292
2.68,-3.96,0.357188
2.76,-3.96,0.341251
2.84,-3.96,0.337917
2.92,-3.96,0.310105
3.0,-3.96,0.298334
3.08,-3.96,0.285313
3.16,-3.96,0.280625
3.24,-3.96,0.26073
3.32,-3.96,0.247813
3.4,-3.96,0.238854
3.48,-3.96,0.231771
3.56,-3.96,0.213125
3.64,-3.96,0.20052
3.72,-3.96,0.186146
3.8,-3.96,0.1825
3.88,-3.96,0.171458
3.96,-3.96,0.165104
-3.96,-3.88,0.170938
-3.88,-3.88,0.188333
-3.8,-3.88,0.193438
-3.72,-3.88,0.203437
-3.64,-3.88,0.201145
-3.56,-3.88,0.2325
-3.48,-3.88,0.242083
-3.4,-3.88,0.255937
-3.32,-3.88,0.262083
-3.24,-3.88,0.286458
-3.16,-3.88,0.289374
-3.08,-3.88,0.300208
-3.0,-3.88,0.322396
-2.92,-3.88,0.338645
-2.84,-3.88,0.354061
-2.76,-3.88,0.361978
-2.68,-3.88,0.375416
-2.6,-3.88,0.393436
-2.52,-3.88,0.408438
-2.44,-3.88,0.419895
-2.36,-3.88,0.448435
-2.28,-3.88,0.442291
-2.2,-3.88,0.455417
-2.12,-3.88,0.498956
-2.04,-3.88,0.512187
-1.96,-3.88,0.511353
-1.88,-3.88,0.535625
-1.8,-3.88,0.56052
-1.72,-3.88,0.559894
-1.64,-3.88,0.597187
-1.56,-3.88,0.601978
-1.48,-3.88,0.591562
-1.4,-3.88,0.627082
-1.32,-3.88,0.628435
-1.24,-3.88,0.652708
-1.16,-3.88,0.674581
-1.08,-3.88,0.660415
-1.0,-3.88,0.674582
-0.92,-3.88,0.694373
-0.84,-3.88,0.702603
-0.76,-3.88,0.689478
-0.68,-3.88,0.731144
-0.6,-3.88,0.72104
-0.52,-3.88,0.730102
-0.44,-3.88,0.734478
-0.36,-3.88,0.720519
-0.28,-3.88,0.732186
-0.2,-3.88,0.74552
-0.12,-3.88,0.746144
-0.04,-3.88,0.74604
0.04,-3.88,0.74354
0.12,-3.88,0.745623
0.2,-3.88,0.738332
0.28,-3.88,0.730623
0.36,-3.88,0.745415
0.44,-3.88,0.743228
0.52,-3.88,0.725519
0.6,-3.88,0.720936
0.68,-3.88,0.718227
0.76,-3.88,0.69802
0.84,-3.88,0.699269
0.92,-3.88,0.68927
1.0,-3.88,0.666353
1.08,-3.88,0.664478
1.16,-3.88,0.648435
1.24,-3.88,0.636666
1.32,-3.88,0.633957
1.4,-3.88,0.616769
1.48,-3.88,0.599166
1.56,-3.88,0.597915
1.64,-3.88,0.578958
1.72,-3.88,0.562082
1.8,-3.88,0.54604
1.88,-3.88,0.534062
1.96,-3.88,0.513124
2.04,-3.88,0.500416
2.12,-3.88,0.499581
2.2,-3.88,0.470312
2.28,-3.88,0.455103
2.36,-3.88,0.451248
2.44,-3.88,0.429791
2.52,-3.88,0.435729
2.6,-3.88,0.400311
2.68,-3.88,0.382603
2.76,-3.88,0.366979
2.84,-3.88,0.36229
2.92,-3.88,0.338437
3.0,-3.88,0.318854
3.08,-3.88,0.308542
3.16,-3.88,0.288644
3.24,-3.88,0.285
3.32,-3.88,0.263228
3.4,-3.88,0.258124
3.48,-3.88,0.235833
3.56,-3.88,0.228958
3.64,-3.88,0.208749
3.72,-3.88,0.203437
3.8,-3.88,0.188542
3.88,-3.88,0.181145
3.96,-3.88,0.16875
-3.96,-3.8,0.178021
-3.88,-3.8,0.193333
-3.8,-3.8,0.203854
-3.72,-3.8,0.213125
-3.64,-3.8,0.218021
-3.56,-3.8,0.228646
-3.48,-3.8,0.251771
-3.4,-3.8,0.269166
-3.32,-3.8,0.283022
-3.24,-3.8,0.29823
-3.16,-3.8,0.310104
-3.08,-3.8,0.320418
-3.0,-3.8,0.342605
-2.92,-3.8,0.348438
-2.84,-3.8,0.375833
-2.76,-3.8,0.379896
-2.68,-3.8,0.398439
-2.6,-3.8,0.41927
-2.52,-3.8,0.443022
-2.44,-3.8,0.450939
-2.36,-3.8,0.469895
-2.28,-3.8,0.493334
-2.2,-3.8,0.50448
-2.12,-3.8,0.518749
-2.04,-3.8,0.539481
-1.96,-3.8,0.55
-1.88,-3.8,0.56573
-1.8,-3.8,0.593541
-1.72,-3.8,0.603959
-1.64,-3.8,0.628543
-1.56,-3.8,0.642813
-1.48,-3.8,0.643751
-1.4,-3.8,0.644896
-1.32,-3.8,0.666146
-1.24,-3.8,0.662085
-1.16,-3.8,0.691355
-1.08,-3.8,0.700626
-1.0,-3.8,0.705834
-0.92,-3.8,0.731147
-0.84,-3.8,0.734271
-0.76,-3.8,0.746772
-0.68,-3.8,0.73948
-0.6,-3.8,0.770938
-0.52,-3.8,0.772813
-0.44,-3.8,0.77073
-0.36,-3.8,0.773958
-0.28,-3.8,0.772709
-0.2,-3.8,0.773647
-0.12,-3.8,0.794272
-0.04,-3.8,0.774897
0.04,-3.8,0.795417
0.12,-3.8,0.786251
0.2,-3.8,0.773646
0.28,-3.8,0.765209
0.36,-3.8,0.777605
0.44,-3.8,0.786147
0.52,-3.8,0.771251
0.6,-3.8,0.763543
0.68,-3.8,0.758646
0.76,-3.8,0.760625
0.84,-3.8,0.743646
0.92,-3.8,0.727084
1.0,-3.8,0.727917
1.08,-3.8,0.743438
1.16,-3.8,0.679792
1.24,-3.8,0.705834
1.32,-3.8,0.675416
1.4,-3.8,0.659896
1.48,-3.8,0.636356
1.56,-3.8,0.631979
1.64,-3.8,0.612918
1.72,-3.8,0.614375
1.8,-3.8,0.593646
1.88,-3.8,0.589897
1.96,-3.8,0.548959
2.04,-3.8,0.54698
2.12,-3.8,0.528749
2.2,-3.8,0.503439
