x (m),y (m),flux (kW/m2)
-3.960000,-3.960000,0.147510
-3.880000,-3.960000,0.168762
-3.800000,-3.960000,0.171574
-3.720000,-3.960000,0.174699
-3.640000,-3.960000,0.192826
-3.560000,-3.960000,0.203764
-3.480000,-3.960000,0.219077
-3.400000,-3.960000,0.224703
-3.320000,-3.960000,0.240954
-3.240000,-3.960000,0.264393
-3.160000,-3.960000,0.267518
-3.080000,-3.960000,0.283769
-3,-3.960000,0.293458
-2.920000,-3.960000,0.318459
-2.840000,-3.960000,0.339086
-2.760000,-3.960000,0.345336
-2.680000,-3.960000,0.348461
-2.600000,-3.960000,0.370338
-2.520000,-3.960000,0.390652
-2.440000,-3.960000,0.400965
-2.360000,-3.960000,0.428779
-2.280000,-3.960000,0.425967
-2.200000,-3.960000,0.451593
-2.120000,-3.960000,0.473782
-2.040000,-3.960000,0.495659
-1.960000,-3.960000,0.493159
-1.880000,-3.960000,0.512223
-1.800000,-3.960000,0.531286
-1.720000,-3.960000,0.521598
-1.640000,-3.960000,0.539724
-1.560000,-3.960000,0.553788
-1.480000,-3.960000,0.590040
-1.400000,-3.960000,0.592541
-1.320000,-3.960000,0.618167
-1.240000,-3.960000,0.624730
-1.160000,-3.960000,0.660670
-1.080000,-3.960000,0.626293
-1,-3.960000,0.658170
-0.920000,-3.960000,0.656295
-0.840000,-3.960000,0.690985
-0.760000,-3.960000,0.661295
-0.680000,-3.960000,0.632856
-0.600000,-3.960000,0.662858
-0.520000,-3.960000,0.675359
-0.440000,-3.960000,0.689735
-0.360000,-3.960000,0.683172
-0.280000,-3.960000,0.692547
-0.200000,-3.960000,0.700360
-0.120000,-3.960000,0.689110
-0.040000,-3.960000,0.716299
0.040000,-3.960000,0.716612
0.120000,-3.960000,0.700048
0.200000,-3.960000,0.714736
0.280000,-3.960000,0.700673
0.360000,-3.960000,0.718174
0.440000,-3.960000,0.682859
0.520000,-3.960000,0.683797
0.600000,-3.960000,0.689110
0.680000,-3.960000,0.693485
0.760000,-3.960000,0.667858
0.840000,-3.960000,0.664420
0.920000,-3.960000,0.668483
1,-3.960000,0.633168
1.080000,-3.960000,0.655357
1.160000,-3.960000,0.632543
1.240000,-3.960000,0.610042
1.320000,-3.960000,0.592541
1.400000,-3.960000,0.572852
1.480000,-3.960000,0.566289
1.560000,-3.960000,0.564101
1.640000,-3.960000,0.524098
1.720000,-3.960000,0.530036
1.800000,-3.960000,0.516910
1.880000,-3.960000,0.521598
1.960000,-3.960000,0.480970
2.040000,-3.960000,0.483471
2.120000,-3.960000,0.457531
2.200000,-3.960000,0.475032
2.280000,-3.960000,0.417529
2.360000,-3.960000,0.431592
2.440000,-3.960000,0.392214
2.520000,-3.960000,0.359712
2.600000,-3.960000,0.362212
2.680000,-3.960000,0.371275
2.760000,-3.960000,0.334398
2.840000,-3.960000,0.325022
2.920000,-3.960000,0.309709
3,-3.960000,0.311271
3.080000,-3.960000,0.290957
3.160000,-3.960000,0.265643
3.240000,-3.960000,0.255955
3.320000,-3.960000,0.250642
3.400000,-3.960000,0.235329
3.480000,-3.960000,0.236891
3.560000,-3.960000,0.217827
3.640000,-3.960000,0.193138
3.720000,-3.960000,0.179075
3.800000,-3.960000,0.180325
3.880000,-3.960000,0.167511
3.960000,-3.960000,0.152198
-3.960000,-3.880000,0.164386
-3.880000,-3.880000,0.175950
-3.800000,-3.880000,0.173762
-3.720000,-3.880000,0.193763
-3.640000,-3.880000,0.208452
-3.560000,-3.880000,0.234391
-3.480000,-3.880000,0.236266
