Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
A_1.1.1,100,99.997400,0,0,-,0.787117,-,-,-,soltrace
A_1.1.2,100,100.005000,0,0,-,0.655600,-,-,-,soltrace
A_1.1.3,100,100.009000,0,0,-,0.711400,-,-,-,soltrace
A_1.2.1,100,99.990300,0,0,-,0.867733,-,-,-,soltrace
A_1.2.2,100,92.123700,7.875700,0,-,0.746083,-,-,-,soltrace
A_1.2.3,100,67.590500,32.404700,0,-,0.732950,-,-,-,soltrace
A_2.1,100,99.990000,0,0,-,0.775533,-,-,-,soltrace
A_2.2,100,92.132500,7.872600,0,-,0.922850,-,-,-,soltrace
A_2.3.1,100,99.971900,0.018500,0,-,2.077567,-,-,-,soltrace
A_2.3.2,100,99.735700,0.255100,0,-,1.941283,-,-,-,soltrace
A_2.3.3,100,99.270400,0.730900,0,-,1.942183,-,-,-,soltrace
A_3.1,100,84.826000,15.179800,0,-,0.829150,-,-,-,soltrace
A_3.2,100,84.988300,15.016800,0,-,2.038467,-,-,-,soltrace
