x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.160131
-3.88,-3.96,0.168961
-3.8,-3.96,0.183225
-3.72,-3.96,0.182886
-3.64,-3.96,0.212093
-3.56,-3.96,0.220244
-3.48,-3.96,0.228225
-3.4,-3.96,0.238923
-3.32,-3.96,0.256583
-3.24,-3.96,0.256753
-3.16,-3.96,0.275942
-3.08,-3.96,0.294111
-3.0,-3.96,0.292923
-2.92,-3.96,0.331979
-2.84,-3.96,0.329602
-2.76,-3.96,0.337243
-2.68,-3.96,0.361526
-2.6,-3.96,0.364073
-2.52,-3.96,0.396677
-2.44,-3.96,0.412299
-2.36,-3.96,0.422318
-2.28,-3.96,0.427073
-2.2,-3.96,0.443035
-2.12,-3.96,0.466129
-2.04,-3.96,0.468506
-1.96,-3.96,0.473771
-1.88,-3.96,0.520978
-1.8,-3.96,0.53728
-1.72,-3.96,0.53728
-1.64,-3.96,0.538638
-1.56,-3.96,0.546789
-1.48,-3.96,0.567166
-1.4,-3.96,0.596543
-1.32,-3.96,0.577864
-1.24,-3.96,0.615562
-1.16,-3.96,0.621336
-1.08,-3.96,0.657335
-1.0,-3.96,0.638486
-0.92,-3.96,0.663788
-0.84,-3.96,0.629656
-0.76,-3.96,0.678562
-0.68,-3.96,0.684675
-0.6,-3.96,0.684165
-0.52,-3.96,0.690109
-0.44,-3.96,0.702335
-0.36,-3.96,0.705052
-0.28,-3.96,0.697411
-0.2,-3.96,0.692996
-0.12,-3.96,0.696052
-0.04,-3.96,0.716599
0.04,-3.96,0.690109
0.12,-3.96,0.694694
0.2,-3.96,0.696222
0.28,-3.96,0.711335
0.36,-3.96,0.699618
0.44,-3.96,0.670241
0.52,-3.96,0.682297
0.6,-3.96,0.676015
0.68,-3.96,0.669901
0.76,-3.96,0.669901
0.84,-3.96,0.646468
0.92,-3.96,0.637977
1.0,-3.96,0.645788
1.08,-3.96,0.632713
1.16,-3.96,0.624053
1.24,-3.96,0.619977
1.32,-3.96,0.595355
1.4,-3.96,0.581091
1.48,-3.96,0.559015
1.56,-3.96,0.562411
1.64,-3.96,0.560713
1.72,-3.96,0.547129
1.8,-3.96,0.52828
1.88,-3.96,0.497884
1.96,-3.96,0.477676
2.04,-3.96,0.479544
2.12,-3.96,0.450167
2.2,-3.96,0.43862
2.28,-3.96,0.439299
2.36,-3.96,0.422148
2.44,-3.96,0.406186
2.52,-3.96,0.39345
2.6,-3.96,0.38513
2.68,-3.96,0.355413
2.76,-3.96,0.33147
2.84,-3.96,0.33979
2.92,-3.96,0.326036
3.0,-3.96,0.290885
3.08,-3.96,0.284772
3.16,-3.96,0.270508
3.24,-3.96,0.261678
3.32,-3.96,0.243678
3.4,-3.96,0.240112
3.48,-3.96,0.218036
3.56,-3.96,0.217867
3.64,-3.96,0.199867
3.72,-3.96,0.204621
3.8,-3.96,0.184923
3.88,-3.96,0.172867
3.96,-3.96,0.168961
-3.96,-3.88,0.16998
-3.88,-3.88,0.179999
-3.8,-3.88,0.190018
-3.72,-3.88,0.200716
-3.64,-3.88,0.212942
-3.56,-3.88,0.229583
-3.48,-3.88,0.246904
-3.4,-3.88,0.255564
-3.32,-3.88,0.266093
-3.24,-3.88,0.282394
-3.16,-3.88,0.299036
-3.08,-3.88,0.311772
-3.0,-3.88,0.326205
-2.92,-3.88,0.338771
-2.84,-3.88,0.350828
-2.76,-3.88,0.372054
-2.68,-3.88,0.374092
-2.6,-3.88,0.41196
-2.52,-3.88,0.405167
-2.44,-3.88,0.427752
-2.36,-3.88,0.440997
-2.28,-3.88,0.453563
-2.2,-3.88,0.462054
-2.12,-3.88,0.505865
-2.04,-3.88,0.496525
-1.96,-3.88,0.529298
-1.88,-3.88,0.538298
-1.8,-3.88,0.555449
-1.72,-3.88,0.565808
-1.64,-3.88,0.566317
-1.56,-3.88,0.594506
-1.48,-3.88,0.602317
-1.4,-3.88,0.639675
-1.32,-3.88,0.639675
-1.24,-3.88,0.636958
-1.16,-3.88,0.665147
-1.08,-3.88,0.679581
-1.0,-3.88,0.687052
-0.92,-3.88,0.694354
-0.84,-3.88,0.695882
-0.76,-3.88,0.696392
