x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.246734
-3.88,-2.97,0.263352
-3.8,-2.97,0.281411
-3.72,-2.97,0.295705
-3.64,-2.97,0.321026
-3.56,-2.97,0.331501
-3.48,-2.97,0.356812
-3.4,-2.97,0.368864
-3.32,-2.97,0.396105
-3.24,-2.97,0.413845
-3.16,-2.97,0.437202
-3.08,-2.97,0.46276
-3.0,-2.97,0.481833
-2.92,-2.97,0.507719
-2.84,-2.97,0.527498
-2.76,-2.97,0.550149
-2.68,-2.97,0.576325
-2.6,-2.97,0.600471
-2.52,-2.97,0.623962
-2.44,-2.97,0.659017
-2.36,-2.97,0.684351
-2.28,-2.97,0.708255
-2.2,-2.97,0.732368
-2.12,-2.97,0.757129
-2.04,-2.97,0.774183
-1.96,-2.97,0.799322
-1.88,-2.97,0.830304
-1.8,-2.97,0.849612
-1.72,-2.97,0.8706
-1.64,-2.97,0.897402
-1.56,-2.97,0.910575
-1.48,-2.97,0.926798
-1.4,-2.97,0.959145
-1.32,-2.97,0.974641
-1.24,-2.97,1.013145
-1.16,-2.97,1.017835
-1.08,-2.97,1.03441
-0.999999,-2.97,1.05636
-0.92,-2.97,1.06982
-0.84,-2.97,1.076545
-0.76,-2.97,1.10288
-0.68,-2.97,1.110715
-0.6,-2.97,1.12593
-0.52,-2.97,1.13181
-0.44,-2.97,1.15028
-0.36,-2.97,1.13446
-0.28,-2.97,1.15359
-0.2,-2.97,1.16524
-0.12,-2.97,1.15958
-0.04,-2.97,1.15359
0.04,-2.97,1.16197
0.12,-2.97,1.154595
0.199999,-2.97,1.14459
0.28,-2.97,1.14563
0.36,-2.97,1.143195
0.44,-2.97,1.128425
0.52,-2.97,1.122325
0.6,-2.97,1.11603
0.68,-2.97,1.124715
0.76,-2.97,1.08828
0.84,-2.97,1.088635
0.92,-2.97,1.05648
0.999999,-2.97,1.0581
1.08,-2.97,1.039115
1.16,-2.97,1.022695
1.24,-2.97,1.006062
1.32,-2.97,0.977827
1.4,-2.97,0.963647
1.48,-2.97,0.939251
1.56,-2.97,0.921528
1.64,-2.97,0.898953
1.72,-2.97,0.871619
1.8,-2.97,0.841813
1.88,-2.97,0.83261
1.96,-2.97,0.804887
2.04,-2.97,0.778807
2.12,-2.97,0.751656
2.2,-2.97,0.730557
2.28,-2.97,0.708218
2.36,-2.97,0.679892
2.44,-2.97,0.652544
2.52,-2.97,0.628162
2.6,-2.97,0.60617
2.68,-2.97,0.581644
2.76,-2.97,0.552188
2.84,-2.97,0.525526
2.92,-2.97,0.509985
3.0,-2.97,0.487295
3.08,-2.97,0.461153
3.16,-2.97,0.437429
3.24,-2.97,0.417727
3.32,-2.97,0.396036
3.4,-2.97,0.371312
3.48,-2.97,0.355766
3.56,-2.97,0.333704
3.64,-2.97,0.313018
3.72,-2.97,0.298868
3.8,-2.97,0.280116
3.88,-2.97,0.26012
3.96,-2.97,0.246268
-3.96,-2.91,0.256127
-3.88,-2.91,0.269564
-3.8,-2.91,0.282428
-3.72,-2.91,0.307538
-3.64,-2.91,0.324053
-3.56,-2.91,0.345511
-3.48,-2.91,0.360359
-3.4,-2.91,0.381331
-3.32,-2.91,0.405104
-3.24,-2.91,0.428927
