Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
B_1.1.1,9.765420e+01,9.761620e+01,3.800000e-02,0.000000e+00,522,4.910811,-,-,-,heliosim
B_1.1.2,8.120130e+01,5.674610e+01,2.445520e+01,0.000000e+00,522,4.985975,-,-,-,heliosim
B_1.1.3,7.989990e+01,5.087890e+01,2.902100e+01,0.000000e+00,522,4.799800,-,-,-,heliosim
B_1.1.4,8.057170e+01,6.251040e+01,1.806130e+01,0.000000e+00,522,4.977665,-,-,-,heliosim
B_1.2.1,7.632700e+01,7.603850e+01,2.885000e-01,0.000000e+00,522,4.945629,-,-,-,heliosim
B_1.2.2,6.402510e+01,4.544030e+01,1.858480e+01,0.000000e+00,522,4.845884,-,-,-,heliosim
B_1.2.3,8.381020e+01,5.329010e+01,3.052010e+01,0.000000e+00,522,4.840876,-,-,-,heliosim
B_1.2.4,3.108240e+01,1.152000e+01,1.956240e+01,0.000000e+00,522,4.853760,-,-,-,heliosim
B_2.1.1,9.765420e+01,9.737130e+01,2.829000e-01,0.000000e+00,522,4.714461,-,-,-,heliosim
B_2.1.2,8.120130e+01,5.648370e+01,2.471760e+01,0.000000e+00,522,4.584569,-,-,-,heliosim
B_2.1.3,7.989990e+01,5.077850e+01,2.912140e+01,0.000000e+00,522,4.681199,-,-,-,heliosim
B_2.1.4,8.057170e+01,6.213360e+01,1.843810e+01,0.000000e+00,522,4.645796,-,-,-,heliosim
B_2.2.1,7.632700e+01,7.579830e+01,5.287000e-01,0.000000e+00,522,4.722726,-,-,-,heliosim
B_2.2.2,6.402510e+01,4.528120e+01,1.874390e+01,0.000000e+00,522,4.664206,-,-,-,heliosim
B_2.2.3,8.381020e+01,5.319060e+01,3.061960e+01,0.000000e+00,522,4.665542,-,-,-,heliosim
B_2.2.4,3.108240e+01,1.141580e+01,1.966660e+01,0.000000e+00,522,4.534963,-,-,-,heliosim
