x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.312143
-3.88,-2.97,0.325546
-3.8,-2.97,0.339219
-3.72,-2.97,0.35315
-3.64,-2.97,0.367326
-3.56,-2.97,0.381732
-3.48,-2.97,0.396352
-3.4,-2.97,0.411171
-3.32,-2.97,0.426171
-3.24,-2.97,0.441332
-3.16,-2.97,0.456637
-3.08,-2.97,0.472064
-3,-2.97,0.487592
-2.92,-2.97,0.5032
-2.84,-2.97,0.518865
-2.76,-2.97,0.534563
-2.68,-2.97,0.550269
-2.6,-2.97,0.565961
-2.52,-2.97,0.581611
-2.44,-2.97,0.597195
-2.36,-2.97,0.612687
-2.28,-2.97,0.628059
-2.2,-2.97,0.643286
-2.12,-2.97,0.65834
-2.04,-2.97,0.673194
-1.96,-2.97,0.687822
-1.88,-2.97,0.702196
-1.8,-2.97,0.716289
-1.72,-2.97,0.730075
-1.64,-2.97,0.743528
-1.56,-2.97,0.756621
-1.48,-2.97,0.769329
-1.4,-2.97,0.781626
-1.32,-2.97,0.793489
-1.24,-2.97,0.804894
-1.16,-2.97,0.815817
-1.08,-2.97,0.826236
-1,-2.97,0.83613
-0.92,-2.97,0.845478
-0.84,-2.97,0.854262
-0.76,-2.97,0.862462
-0.68,-2.97,0.870061
-0.6,-2.97,0.877044
-0.52,-2.97,0.883395
-0.44,-2.97,0.889102
-0.36,-2.97,0.894151
-0.28,-2.97,0.898533
-0.2,-2.97,0.902237
-0.12,-2.97,0.905255
-0.04,-2.97,0.907581
0.04,-2.97,0.909211
0.12,-2.97,0.910139
0.2,-2.97,0.910364
0.28,-2.97,0.909886
0.36,-2.97,0.908704
0.44,-2.97,0.906823
0.52,-2.97,0.904245
0.6,-2.97,0.900976
0.68,-2.97,0.897022
0.76,-2.97,0.892392
0.84,-2.97,0.887097
0.92,-2.97,0.881145
1,-2.97,0.874551
1.08,-2.97,0.867329
1.16,-2.97,0.859492
1.24,-2.97,0.851058
1.32,-2.97,0.842043
1.4,-2.97,0.832467
1.48,-2.97,0.82235
1.56,-2.97,0.811711
1.64,-2.97,0.800573
1.72,-2.97,0.788958
1.8,-2.97,0.776889
1.88,-2.97,0.764392
1.96,-2.97,0.751489
2.04,-2.97,0.738207
2.12,-2.97,0.724572
2.2,-2.97,0.71061
2.28,-2.97,0.696348
2.36,-2.97,0.681811
2.44,-2.97,0.667029
2.52,-2.97,0.652027
2.6,-2.97,0.636834
2.68,-2.97,0.621476
2.76,-2.97,0.605981
2.84,-2.97,0.590375
2.92,-2.97,0.574685
3,-2.97,0.558938
3.08,-2.97,0.543159
3.16,-2.97,0.527373
3.24,-2.97,0.511606
3.32,-2.97,0.495882
3.4,-2.97,0.480224
3.48,-2.97,0.464655
3.56,-2.97,0.449196
3.64,-2.97,0.43387
3.72,-2.97,0.418696
3.8,-2.97,0.403694
3.88,-2.97,0.388882
3.96,-2.97,0.374277
-3.96,-2.91,0.321153
-3.88,-2.91,0.334918
-3.8,-2.91,0.348959
-3.72,-2.91,0.363263
-3.64,-2.91,0.377817
-3.56,-2.91,0.392606
-3.48,-2.91,0.407614
-3.4,-2.91,0.422823
-3.32,-2.91,0.438216
-3.24,-2.91,0.453774
-3.16,-2.91,0.469477
-3.08,-2.91,0.485304
-3,-2.91,0.501233
-2.92,-2.91,0.517242
-2.84,-2.91,0.533307
-2.76,-2.91,0.549405
-2.68,-2.91,0.56551
-2.6,-2.91,0.581597
-2.52,-2.91,0.597641
-2.44,-2.91,0.613615
-2.36,-2.91,0.629491
-2.28,-2.91,0.645244
-2.2,-2.91,0.660846
-2.12,-2.91,0.676268
-2.04,-2.91,0.691485
-1.96,-2.91,0.706467
-1.88,-2.91,0.721187
-1.8,-2.91,0.735618
-1.72,-2.91,0.749732
-1.64,-2.91,0.763503
-1.56,-2.91,0.776904
-1.48,-2.91,0.789908
-1.4,-2.91,0.802491
