x (m),y (m),flux (kW/m2)
-3.960000,-2.970000,0.321274
-3.880000,-2.970000,0.343580
-3.800000,-2.970000,0.344578
-3.720000,-2.970000,0.367883
-3.640000,-2.970000,0.385195
-3.560000,-2.970000,0.410498
-3.480000,-2.970000,0.425479
-3.400000,-2.970000,0.440461
-3.320000,-2.970000,0.450782
-3.240000,-2.970000,0.444456
-3.160000,-2.970000,0.492397
-3.080000,-2.970000,0.473088
-3,-2.970000,0.508711
-2.920000,-2.970000,0.500055
-2.840000,-2.970000,0.517700
-2.760000,-2.970000,0.556652
-2.680000,-2.970000,0.546664
-2.600000,-2.970000,0.588280
-2.520000,-2.970000,0.573964
-2.440000,-2.970000,0.609254
-2.360000,-2.970000,0.621573
-2.280000,-2.970000,0.663521
-2.200000,-2.970000,0.654199
-2.120000,-2.970000,0.683830
-2.040000,-2.970000,0.702474
-1.960000,-2.970000,0.709465
-1.880000,-2.970000,0.731105
-1.800000,-2.970000,0.723448
-1.720000,-2.970000,0.718121
-1.640000,-2.970000,0.753411
-1.560000,-2.970000,0.788369
-1.480000,-2.970000,0.791365
-1.400000,-2.970000,0.788701
-1.320000,-2.970000,0.780045
-1.240000,-2.970000,0.846631
-1.160000,-2.970000,0.812672
-1.080000,-2.970000,0.831316
-1,-2.970000,0.837975
-0.920000,-2.970000,0.879923
-0.840000,-2.970000,0.854288
-0.760000,-2.970000,0.883252
-0.680000,-2.970000,0.862611
-0.600000,-2.970000,0.890244
-0.520000,-2.970000,0.932858
-0.440000,-2.970000,0.888579
-0.360000,-2.970000,0.936188
-0.280000,-2.970000,0.923869
-0.200000,-2.970000,0.934190
-0.120000,-2.970000,0.936521
-0.040000,-2.970000,0.932525
0.040000,-2.970000,0.926866
0.120000,-2.970000,0.911551
0.200000,-2.970000,0.944511
0.280000,-2.970000,0.913549
0.360000,-2.970000,0.928530
0.440000,-2.970000,0.915546
0.520000,-2.970000,0.919208
0.600000,-2.970000,0.876261
0.680000,-2.970000,0.934190
0.760000,-2.970000,0.886582
0.840000,-2.970000,0.903228
0.920000,-2.970000,0.915213
1,-2.970000,0.890244
1.080000,-2.970000,0.895571
1.160000,-2.970000,0.907889
1.240000,-2.970000,0.848295
1.320000,-2.970000,0.852623
1.400000,-2.970000,0.893573
1.480000,-2.970000,0.835311
1.560000,-2.970000,0.802684
1.640000,-2.970000,0.785705
1.720000,-2.970000,0.798356
1.800000,-2.970000,0.793362
1.880000,-2.970000,0.766395
1.960000,-2.970000,0.753078
2.040000,-2.970000,0.760736
2.120000,-2.970000,0.720119
2.200000,-2.970000,0.707801
2.280000,-2.970000,0.719120
2.360000,-2.970000,0.681832
2.440000,-2.970000,0.660525
2.520000,-2.970000,0.644878
2.600000,-2.970000,0.631893
2.680000,-2.970000,0.608922
2.760000,-2.970000,0.594939
2.840000,-2.970000,0.541005
2.920000,-2.970000,0.562312
3,-2.970000,0.551325
3.080000,-2.970000,0.546997
3.160000,-2.970000,0.505714
3.240000,-2.970000,0.510708
3.320000,-2.970000,0.494728
3.400000,-2.970000,0.477416
3.480000,-2.970000,0.436799
3.560000,-2.970000,0.438796
3.640000,-2.970000,0.408833
3.720000,-2.970000,0.416490
3.800000,-2.970000,0.381533
3.880000,-2.970000,0.361558
3.960000,-2.970000,0.369881
-3.960000,-2.910000,0.331927
-3.880000,-2.910000,0.345244
-3.800000,-2.910000,0.360226
-3.720000,-2.910000,0.384197
-3.640000,-2.910000,0.386194
-3.560000,-2.910000,0.390855
-3.480000,-2.910000,0.418821
-3.400000,-2.910000,0.420485
-3.320000,-2.910000,0.455110
-3.240000,-2.910000,0.482743
-3.160000,-2.910000,0.500721
-3.080000,-2.910000,0.498390
-3,-2.910000,0.495394
-2.920000,-2.910000,0.524691
-2.840000,-2.910000,0.537675
-2.760000,-2.910000,0.560980
-2.680000,-2.910000,0.576961
-2.600000,-2.910000,0.577626
-2.520000,-2.910000,0.610919
-2.440000,-2.910000,0.622904
-2.360000,-2.910000,0.649206
-2.280000,-2.910000,0.654865
-2.200000,-2.910000,0.685162
-2.120000,-2.910000,0.680834
-2.040000,-2.910000,0.711130
-1.960000,-2.910000,0.712129
-1.880000,-2.910000,0.749083
-1.800000,-2.910000,0.751081
-1.720000,-2.910000,0.778048
-1.640000,-2.910000,0.770058
-1.560000,-2.910000,0.797690
-1.480000,-2.910000,0.785372
-1.400000,-2.910000,0.813671
-1.320000,-2.910000,0.865274
-1.240000,-2.910000,0.851292
-1.160000,-2.910000,0.865940
-1.080000,-2.910000,0.859948
-1,-2.910000,0.884584
-0.920000,-2.910000,0.888246
-0.840000,-2.910000,0.891243
-0.760000,-2.910000,0.878259
-0.680000,-2.910000,0.904560
-0.600000,-2.910000,0.923204
-0.520000,-2.910000,0.929196
-0.440000,-2.910000,0.933857
-0.360000,-2.910000,0.942513
-0.280000,-2.910000,0.897568
-0.200000,-2.910000,0.943512
-0.120000,-2.910000,0.940516
-0.040000,-2.910000,0.904227
0.040000,-2.910000,0.946841
0.120000,-2.910000,0.922538
0.200000,-2.910000,0.969480
0.280000,-2.910000,0.974807
0.360000,-2.910000,0.939850
0.440000,-2.910000,0.977138
0.520000,-2.910000,0.929196
0.600000,-2.910000,0.936188
0.680000,-2.910000,0.928530
0.760000,-2.910000,0.924535
0.840000,-2.910000,0.930195
0.920000,-2.910000,0.916212
1,-2.910000,0.905226
1.080000,-2.910000,0.895904
1.160000,-2.910000,0.919541
1.240000,-2.910000,0.879590
1.320000,-2.910000,0.865607
1.400000,-2.910000,0.849960
1.480000,-2.910000,0.839639
1.560000,-2.910000,0.871600
1.640000,-2.910000,0.799022
1.720000,-2.910000,0.806679
1.800000,-2.910000,0.772055
1.880000,-2.910000,0.784706
1.960000,-2.910000,0.787703
2.040000,-2.910000,0.762067
2.120000,-2.910000,0.757406
2.200000,-2.910000,0.706136
2.280000,-2.910000,0.693485
2.360000,-2.910000,0.687492
2.440000,-2.910000,0.682831
2.520000,-2.910000,0.666518
2.600000,-2.910000,0.662190
2.680000,-2.910000,0.619242
2.760000,-2.910000,0.611918
2.840000,-2.910000,0.612917
2.920000,-2.910000,0.601264
3,-2.910000,0.559981
3.080000,-2.910000,0.554655
3.160000,-2.910000,0.550992
3.240000,-2.910000,0.489734
3.320000,-2.910000,0.473754
3.400000,-2.910000,0.483741
3.480000,-2.910000,0.463766
3.560000,-2.910000,0.459105
3.640000,-2.910000,0.451448
3.720000,-2.910000,0.426145
3.800000,-2.910000,0.412162
3.880000,-2.910000,0.388192
3.960000,-2.910000,0.383198
