Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
B_1.1.1,97.709568,97.708036,0.001533,0,-,0.801300,-,-,-,soltrace
B_1.1.2,81.201839,56.699514,24.502326,0,-,0.824767,-,-,-,soltrace
B_1.1.3,79.900352,50.823873,29.076479,0,-,0.828717,-,-,-,soltrace
B_1.1.4,80.568634,62.355894,18.212740,0,-,0.891400,-,-,-,soltrace
B_1.2.1,76.393512,76.272512,0.121000,0,-,0.887033,-,-,-,soltrace
B_1.2.2,64.037015,45.688558,18.348456,0,-,0.885867,-,-,-,soltrace
B_1.2.3,83.821170,53.289998,30.531172,0,-,0.803600,-,-,-,soltrace
B_1.2.4,31.066806,11.827914,19.238892,0,-,1.214800,-,-,-,soltrace
B_2.1.1,97.709568,97.704621,0.004947,0,-,1.993550,-,-,-,soltrace
B_2.1.2,81.201839,57.410935,23.790904,0,-,2.023100,-,-,-,soltrace
B_2.1.3,79.900352,51.047187,28.853165,0,-,2.024100,-,-,-,soltrace
B_2.1.4,80.568634,62.774114,17.794521,0,-,2.039133,-,-,-,soltrace
B_2.2.1,76.393512,76.263077,0.130435,0,-,2.072950,-,-,-,soltrace
B_2.2.2,64.037015,46.019603,18.017411,0,-,2.094733,-,-,-,soltrace
B_2.2.3,83.821170,53.310504,30.510667,0,-,2.017533,-,-,-,soltrace
B_2.2.4,31.066806,11.841251,19.225555,0,-,2.606600,-,-,-,soltrace
