x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.37899900000000003
-3.88,-2.97,0.382101
-3.8,-2.97,0.398096
-3.72,-2.97,0.400871
-3.64,-2.97,0.40380900000000003
-3.56,-2.97,0.409359
-3.48,-2.97,0.41474500000000003
-3.4,-2.97,0.424375
-3.32,-2.97,0.444614
-3.24,-2.97,0.43678
-3.16,-2.97,0.446899
-3.08,-2.97,0.448205
-3.0,-2.97,0.466812
-2.92,-2.97,0.45473399999999997
-2.84,-2.97,0.45440800000000003
-2.76,-2.97,0.46240499999999995
-2.68,-2.97,0.480849
-2.6,-2.97,0.474157
-2.52,-2.97,0.478238
-2.44,-2.97,0.47644200000000003
-2.36,-2.97,0.477585
-2.28,-2.97,0.46730200000000005
-2.2,-2.97,0.488031
-2.12,-2.97,0.484114
-2.04,-2.97,0.48852100000000004
-1.96,-2.97,0.47954399999999997
-1.88,-2.97,0.472525
-1.8,-2.97,0.472852
-1.72,-2.97,0.49684500000000004
-1.64,-2.97,0.48378699999999997
-1.56,-2.97,0.47513700000000003
-1.48,-2.97,0.475626
-1.4,-2.97,0.47024
-1.32,-2.97,0.48346100000000003
-1.24,-2.97,0.437759
-1.16,-2.97,0.480849
-1.08,-2.97,0.453102
-1.0,-2.97,0.46664900000000004
-0.92,-2.97,0.451306
-0.84,-2.97,0.457019
-0.76,-2.97,0.44885800000000003
-0.68,-2.97,0.440044
-0.6,-2.97,0.425518
-0.52,-2.97,0.43824900000000006
-0.44,-2.97,0.42045800000000005
-0.36,-2.97,0.41915199999999997
-0.28,-2.97,0.410175
-0.2,-2.97,0.397443
-0.12,-2.97,0.401034
-0.04,-2.97,0.373124
0.04,-2.97,0.376388
0.12,-2.97,0.367411
0.2,-2.97,0.359576
0.28,-2.97,0.357291
0.36,-2.97,0.350762
0.44,-2.97,0.34668200000000005
0.52,-2.97,0.340806
0.6,-2.97,0.327748
0.68,-2.97,0.30930399999999997
0.76,-2.97,0.322525
0.84,-2.97,0.313548
