x (m),y (m),flux (kW/m2)
-3.96,-2.97,45.58175
-3.88,-2.97,48.6886
-3.8,-2.97,50.2186
-3.72,-2.97,52.74235
-3.64,-2.97,54.5503
-3.56,-2.97,57.2666
-3.48,-2.97,60.04655
-3.4,-2.97,62.62385
-3.32,-2.97,65.5185
-3.24,-2.97,67.47255
-3.16,-2.97,72.17925
-3.08,-2.97,74.4321
-3.0,-2.97,78.8415
-2.92,-2.97,81.7792
-2.84,-2.97,85.23955
-2.76,-2.97,88.5563
-2.68,-2.97,91.73965
-2.6,-2.97,95.95215
-2.52,-2.97,98.7471
-2.44,-2.97,102.34
-2.36,-2.97,106.7845
-2.28,-2.97,111.4885
-2.2,-2.97,116.3545
-2.12,-2.97,121.265
-2.04,-2.97,123.8985
-1.96,-2.97,128.9475
-1.88,-2.97,133.874
-1.8,-2.97,140.9035
-1.72,-2.97,142.0185
-1.64,-2.97,147.466
-1.56,-2.97,150.5515
-1.48,-2.97,155.227
-1.4,-2.97,160.7995
-1.32,-2.97,165.613
-1.24,-2.97,167.9585
-1.16,-2.97,174.039
-1.08,-2.97,174.325
-0.999999,-2.97,181.5325
-0.92,-2.97,186.621
-0.84,-2.97,190.0175
-0.76,-2.97,194.91
-0.68,-2.97,199.217
-0.6,-2.97,201.8585
-0.52,-2.97,204.781
-0.44,-2.97,208.7265
-0.36,-2.97,212.826
-0.28,-2.97,212.3185
-0.2,-2.97,215.826
-0.12,-2.97,219.986
-0.04,-2.97,219.3355
0.04,-2.97,221.143
0.12,-2.97,224.965
0.199999,-2.97,224.3685
0.28,-2.97,227.0605
0.36,-2.97,224.723
0.44,-2.97,225.852
0.52,-2.97,223.643
0.6,-2.97,224.4975
0.68,-2.97,222.4165
0.76,-2.97,221.0005
0.84,-2.97,215.799
0.92,-2.97,212.8105
0.999999,-2.97,213.1395
1.08,-2.97,208.1585
1.16,-2.97,204.0015
1.24,-2.97,204.128
1.32,-2.97,199.083
1.4,-2.97,195.0775
1.48,-2.97,188.917
1.56,-2.97,184.894
1.64,-2.97,183.2125
1.72,-2.97,177.0645
1.8,-2.97,173.9625
1.88,-2.97,168.722
1.96,-2.97,162.6535
2.04,-2.97,156.492
2.12,-2.97,154.1775
2.2,-2.97,146.7835
