x (m),y (m),flux (kW/m2)
-3.96,-2.97,45.1925
-3.88,-2.97,46.3925
-3.8,-2.97,47.4095
-3.7199999999999998,-2.97,49.1604
-3.64,-2.97,51.5991
-3.56,-2.97,55.7139
-3.48,-2.97,57.0442
-3.4,-2.97,58.788
-3.32,-2.97,62.4661
-3.24,-2.97,66.6471
-3.16,-2.97,68.2563
-3.08,-2.97,68.9832
-3.0,-2.97,70.3667
-2.92,-2.97,77.0949
-2.84,-2.97,82.4774
-2.76,-2.97,82.9044
-2.6799999999999997,-2.97,84.619
-2.5999999999999996,-2.97,88.9952
-2.52,-2.97,94.0267
-2.44,-2.97,97.7029
-2.36,-2.97,98.948
-2.2800000000000002,-2.97,106.843
-2.2,-2.97,106.006
-2.12,-2.97,111.225
-2.04,-2.97,110.174
-1.96,-2.97,119.701
-1.88,-2.97,126.24
-1.7999999999999998,-2.97,123.648
-1.7199999999999998,-2.97,129.021
-1.6400000000000001,-2.97,135.098
-1.56,-2.97,140.842
-1.48,-2.97,142.04
-1.4,-2.97,148.572
-1.3199999999999998,-2.97,150.301
-1.2399999999999998,-2.97,153.573
-1.1599999999999997,-2.97,156.439
-1.08,-2.97,157.445
-1.0,-2.97,162.298
-0.9199999999999999,-2.97,167.105
-0.8399999999999999,-2.97,173.285
-0.7599999999999998,-2.97,172.273
-0.6799999999999997,-2.97,179.047
-0.6000000000000001,-2.97,180.695
-0.52,-2.97,183.755
-0.43999999999999995,-2.97,189.969
-0.3599999999999999,-2.97,193.108
-0.2799999999999998,-2.97,192.923
-0.19999999999999973,-2.97,198.556
-0.1200000000000001,-2.97,197.903
-0.040000000000000036,-2.97,200.183
0.040000000000000036,-2.97,203.594
0.1200000000000001,-2.97,205.379
0.20000000000000018,-2.97,198.547
0.28000000000000025,-2.97,205.509
0.3600000000000003,-2.97,200.132
0.4400000000000004,-2.97,208.853
0.5200000000000005,-2.97,203.226
0.6000000000000005,-2.97,204.281
0.6799999999999997,-2.97,207.575
0.7599999999999998,-2.97,199.003
0.8399999999999999,-2.97,199.773
0.9199999999999999,-2.97,197.686
1.0,-2.97,202.7
1.08,-2.97,195.019
1.1600000000000001,-2.97,191.216
1.2400000000000002,-2.97,188.508
1.3200000000000003,-2.97,187.829
1.4000000000000004,-2.97,181.976
1.4800000000000004,-2.97,178.478
1.5600000000000005,-2.97,173.748
1.6400000000000006,-2.97,170.958
1.7199999999999998,-2.97,162.338
1.7999999999999998,-2.97,159.554
1.88,-2.97,156.846
1.96,-2.97,150.992
2.04,-2.97,147.063
2.12,-2.97,147.75
2.2,-2.97,143.811
2.2800000000000002,-2.97,135.632
2.3600000000000003,-2.97,131.474
2.4400000000000004,-2.97,128.185
2.5200000000000005,-2.97,127.2
2.6000000000000005,-2.97,121.194
2.6800000000000006,-2.97,111.842
2.76,-2.97,108.924
2.84,-2.97,106.585
2.92,-2.97,104.08
3.0,-2.97,103.8
3.08,-2.97,96.6505
3.16,-2.97,97.2678
3.24,-2.97,91.1135
3.3200000000000003,-2.97,91.3856
3.4000000000000004,-2.97,87.0899
3.4800000000000004,-2.97,83.4873
3.5600000000000005,-2.97,78.0745
3.6400000000000006,-2.97,75.4844
3.7199999999999998,-2.97,70.8303
3.8,-2.97,71.3355
3.88,-2.97,64.3627
3.96,-2.97,62.341
-3.96,-2.91,45.2084
-3.88,-2.91,47.7395
-3.8,-2.91,50.3825
-3.7199999999999998,-2.91,54.0223
-3.64,-2.91,56.9488
-3.56,-2.91,55.2253
-3.48,-2.91,63.2043
-3.4,-2.91,58.8395
-3.32,-2.91,63.6839
-3.24,-2.91,68.9945
-3.16,-2.91,70.7604
-3.08,-2.91,73.0266
-3.0,-2.91,79.0289
-2.92,-2.91,79.7587
-2.84,-2.91,82.2835
-2.76,-2.91,87.3028
-2.6799999999999997,-2.91,92.3486
-2.5999999999999996,-2.91,94.1336
-2.52,-2.91,95.8116
-2.44,-2.91,99.9851
-2.36,-2.91,104.613
-2.2800000000000002,-2.91,106.017
-2.2,-2.91,110.275
-2.12,-2.91,119.738
-2.04,-2.91,119.505
-1.96,-2.91,125.779
-1.88,-2.91,129.818
-1.7999999999999998,-2.91,130.081
-1.7199999999999998,-2.91,133.042
-1.6400000000000001,-2.91,142.998
-1.56,-2.91,147.988
-1.48,-2.91,149.044
-1.4,-2.91,153.47
-1.3199999999999998,-2.91,153.533
-1.2399999999999998,-2.91,163.124
-1.1599999999999997,-2.91,167.883
-1.08,-2.91,171.005
-1.0,-2.91,175.316
-0.9199999999999999,-2.91,178.965
-0.8399999999999999,-2.91,182.232
-0.7599999999999998,-2.91,183.885
-0.6799999999999997,-2.91,189.391
-0.6000000000000001,-2.91,188.45
-0.52,-2.91,196.128
-0.43999999999999995,-2.91,198.206
-0.3599999999999999,-2.91,203.511
-0.2799999999999998,-2.91,203.375
-0.19999999999999973,-2.91,209.543
-0.1200000000000001,-2.91,216.929
-0.040000000000000036,-2.91,211.749
0.040000000000000036,-2.91,212.292
0.1200000000000001,-2.91,220.3
0.20000000000000018,-2.91,219.054
0.28000000000000025,-2.91,214.305
0.3600000000000003,-2.91,218.269
0.4400000000000004,-2.91,213.075
0.5200000000000005,-2.91,218.738
0.6000000000000005,-2.91,215.465
0.6799999999999997,-2.91,210.703
