x (m),y (m),flux (kW/m2)
-3.960000,-2.970000,50.7879477
-3.880000,-2.970000,53.9209701
-3.800000,-2.970000,53.5911786
-3.720000,-2.970000,55.5699294
-3.640000,-2.970000,56.3944095
-3.560000,-2.970000,60.5168073
-3.480000,-2.970000,73.8733779
-3.400000,-2.970000,73.8733779
-3.320000,-2.970000,80.4692151
-3.240000,-2.970000,78.985152
-3.160000,-2.970000,80.9639028
-3.080000,-2.970000,94.6502658
-3,-2.970000,96.7939128
-2.920000,-2.970000,100.0918314
-2.840000,-2.970000,113.448402
-2.760000,-2.970000,114.6026736
-2.680000,-2.970000,109.9855872
-2.600000,-2.970000,121.5283023
-2.520000,-2.970000,126.8049726
-2.440000,-2.970000,127.9592442
-2.360000,-2.970000,135.709353
-2.280000,-2.970000,149.5606113
-2.200000,-2.970000,153.0234261
-2.120000,-2.970000,157.970304
-2.040000,-2.970000,166.0502043
-1.960000,-2.970000,169.3481229
-1.880000,-2.970000,176.9333364
-1.800000,-2.970000,183.0344859
-1.720000,-2.970000,191.1143862
-1.640000,-2.970000,192.7633455
-1.560000,-2.970000,208.5933555
-1.480000,-2.970000,202.492206
-1.400000,-2.970000,216.0136719
-1.320000,-2.970000,216.1785681
-1.240000,-2.970000,226.2372201
-1.160000,-2.970000,216.6732558
-1.080000,-2.970000,232.0085772
-1,-2.970000,232.0085772
-0.920000,-2.970000,248.6630673
-0.840000,-2.970000,253.7748405
-0.760000,-2.970000,256.0833837
-0.680000,-2.970000,259.0515108
-0.600000,-2.970000,267.2963073
-0.520000,-2.970000,271.2538098
-0.440000,-2.970000,271.5836013
-0.360000,-2.970000,266.8016196
-0.280000,-2.970000,271.418706
-0.200000,-2.970000,285.9295473
-0.120000,-2.970000,264.4930764
-0.040000,-2.970000,282.7965249
0.040000,-2.970000,281.6422533
0.120000,-2.970000,282.6316287
0.200000,-2.970000,265.3175565
0.280000,-2.970000,268.9452666
0.360000,-2.970000,265.1526603
0.440000,-2.970000,276.2006877
0.520000,-2.970000,269.2750581
0.600000,-2.970000,262.1845332
0.680000,-2.970000,256.9078638
0.760000,-2.970000,244.2108771
0.840000,-2.970000,252.4556736
0.920000,-2.970000,243.0566055
1,-2.970000,233.4926412
1.080000,-2.970000,236.7905598
1.160000,-2.970000,234.6469128
1.240000,-2.970000,222.6095091
1.320000,-2.970000,214.5296088
1.400000,-2.970000,218.1573189
1.480000,-2.970000,200.8432467
1.560000,-2.970000,188.4760515
1.640000,-2.970000,187.3217799
1.720000,-2.970000,174.7896885
1.800000,-2.970000,183.1993812
1.880000,-2.970000,180.231255
1.960000,-2.970000,166.3799967
2.040000,-2.970000,165.2257251
2.120000,-2.970000,163.7416611
2.200000,-2.970000,143.1296694
2.280000,-2.970000,145.1084211
2.360000,-2.970000,136.6987284
2.440000,-2.970000,132.5763297
2.520000,-2.970000,117.4059045
2.600000,-2.970000,128.9486196
2.680000,-2.970000,123.8368455
2.760000,-2.970000,103.0599585
2.840000,-2.970000,106.1929809
2.920000,-2.970000,92.6715141
3,-2.970000,96.2992251
3.080000,-2.970000,87.8895324
3.160000,-2.970000,85.2511977
3.240000,-2.970000,81.128799
3.320000,-2.970000,81.2936952
3.400000,-2.970000,70.9052508
3.480000,-2.970000,68.7616038
3.560000,-2.970000,71.8946271
3.640000,-2.970000,69.4211877
3.720000,-2.970000,57.5486802
3.800000,-2.970000,50.6230515
3.880000,-2.970000,56.5593048
3.960000,-2.970000,47.8198206
-3.960000,-2.910000,55.5699294
-3.880000,-2.910000,53.9209701
-3.800000,-2.910000,59.3625357
-3.720000,-2.910000,61.1763912
-3.640000,-2.910000,67.2775407
-3.560000,-2.910000,68.7616038
-3.480000,-2.910000,67.1126445
-3.400000,-2.910000,77.8308804
-3.320000,-2.910000,83.272446
-3.240000,-2.910000,82.2830706
-3.160000,-2.910000,86.2405731
-3.080000,-2.910000,86.2405731
-3,-2.910000,93.331098
-2.920000,-2.910000,104.7089178
-2.840000,-2.910000,115.4271528
-2.760000,-2.910000,114.2728812
-2.680000,-2.910000,126.8049726
-2.600000,-2.910000,131.422059
-2.520000,-2.910000,130.7624751
-2.440000,-2.910000,144.9435249
-2.360000,-2.910000,142.4700864
-2.280000,-2.910000,162.7522857
-2.200000,-2.910000,160.113951
