"x","y","z","focal","Aim-x","Aim-y","Aim-z"
-39.1344,-19.7502,1.46,50,-0.01,-0.1,26.93
-33.0847,-10.6507,1.46,44,-0.01,-0.11,26.94
-30.2764,-29.9667,1.46,50,-0.02,-0.07,26.89
-30.2764,-42.6471,1.46,55,0.07,-0.12,26.95
-17.9904,-33.8779,1.46,44,0.17,-0.14,26.98
-7.76,-26.3278,1.46,35,-0.28,-0.18,27.03
-5.82,-42.6471,1.46,50,-0.19,-0.11,26.94
0,-29.9667,1.46,35,-0.23,0.13,26.63
0,-38.0934,1.46,44,0.28,0.17,26.59
5.82,-42.6471,1.46,50,0.19,0.11,26.66
17.9904,-16.7097,1.46,35,0.25,-0.18,27.03
27.5984,-33.8779,1.46,50,-0.08,0.12,26.65
33.0847,-10.6507,1.46,44,-0.01,0.11,26.66
36.0337,-42.6471,1.46,55,-0.01,0.05,26.73
39.1344,-26.3278,1.46,55,-0.01,0.09,26.68
