x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.007363
-3.88,-3.96,0.007602
-3.8,-3.96,0.0085
-3.72,-3.96,0.008441
-3.64,-3.96,0.008351
-3.56,-3.96,0.00853
-3.48,-3.96,0.008949
-3.4,-3.96,0.007692
-3.32,-3.96,0.008979
-3.24,-3.96,0.009279
-3.16,-3.96,0.009458
-3.08,-3.96,0.010506
-3.0,-3.96,0.010296
-2.92,-3.96,0.010296
-2.84,-3.96,0.010027
-2.76,-3.96,0.009967
-2.68,-3.96,0.010326
-2.6,-3.96,0.010266
-2.52,-3.96,0.010805
-2.44,-3.96,0.011763
-2.36,-3.96,0.010626
-2.28,-3.96,0.012751
-2.2,-3.96,0.013559
-2.12,-3.96,0.011823
-2.04,-3.96,0.012751
-1.96,-3.96,0.01335
-1.88,-3.96,0.013529
-1.8,-3.96,0.01323
-1.72,-3.96,0.013769
-1.64,-3.96,0.01317
-1.56,-3.96,0.0132
-1.48,-3.96,0.013709
-1.4,-3.96,0.015056
-1.32,-3.96,0.014188
-1.24,-3.96,0.014277
-1.16,-3.96,0.015744
-1.08,-3.96,0.015145
-0.999999,-3.96,0.014996
-0.92,-3.96,0.014966
-0.84,-3.96,0.015804
-0.76,-3.96,0.016133
-0.68,-3.96,0.015116
-0.6,-3.96,0.016193
-0.52,-3.96,0.017121
-0.44,-3.96,0.015445
-0.36,-3.96,0.017001
-0.28,-3.96,0.016762
-0.2,-3.96,0.01772
-0.12,-3.96,0.016612
-0.04,-3.96,0.016193
0.04,-3.96,0.016043
0.12,-3.96,0.015984
0.199999,-3.96,0.015565
0.28,-3.96,0.016582
0.36,-3.96,0.016612
0.44,-3.96,0.015385
0.52,-3.96,0.016492
0.6,-3.96,0.016433
0.68,-3.96,0.016373
0.76,-3.96,0.016343
0.84,-3.96,0.015594
0.92,-3.96,0.015654
0.999999,-3.96,0.015056
1.08,-3.96,0.015265
1.16,-3.96,0.015026
1.24,-3.96,0.014607
1.32,-3.96,0.013769
1.4,-3.96,0.014008
1.48,-3.96,0.014068
1.56,-3.96,0.013799
1.64,-3.96,0.014098
1.72,-3.96,0.015235
1.8,-3.96,0.012841
1.88,-3.96,0.014277
1.96,-3.96,0.011883
2.04,-3.96,0.012631
2.12,-3.96,0.01317
2.2,-3.96,0.012182
2.28,-3.96,0.011464
2.36,-3.96,0.011673
2.44,-3.96,0.011284
2.52,-3.96,0.011344
2.6,-3.96,0.011943
2.68,-3.96,0.010835
2.76,-3.96,0.011344
2.84,-3.96,0.010266
2.92,-3.96,0.009368
3.0,-3.96,0.010566
3.08,-3.96,0.009847
3.16,-3.96,0.00874
3.24,-3.96,0.009398
3.32,-3.96,0.00889
3.4,-3.96,0.008919
3.48,-3.96,0.007902
3.56,-3.96,0.009099
3.64,-3.96,0.0085
3.72,-3.96,0.009159
3.8,-3.96,0.008441
3.88,-3.96,0.008081
3.96,-3.96,0.006914
-3.96,-3.88,0.008261
-3.88,-3.88,0.008171
-3.8,-3.88,0.007752
-3.72,-3.88,0.008321
-3.64,-3.88,0.00868
-3.56,-3.88,0.008381
-3.48,-3.88,0.0085
-3.4,-3.88,0.009368
-3.32,-3.88,0.009099
-3.24,-3.88,0.009189
-3.16,-3.88,0.010865
-3.08,-3.88,0.010236
-3.0,-3.88,0.011075
-2.92,-3.88,0.010386
-2.84,-3.88,0.010985
-2.76,-3.88,0.010775
-2.68,-3.88,0.011763
-2.6,-3.88,0.011134
-2.52,-3.88,0.010745
-2.44,-3.88,0.011404
-2.36,-3.88,0.011703
-2.28,-3.88,0.011673
-2.2,-3.88,0.01308
-2.12,-3.88,0.012571
-2.04,-3.88,0.01314
-1.96,-3.88,0.013349
-1.88,-3.88,0.013589
-1.8,-3.88,0.014427
-1.72,-3.88,0.014307
-1.64,-3.88,0.013769
-1.56,-3.88,0.014996
-1.48,-3.88,0.014517
-1.4,-3.88,0.015026
-1.32,-3.88,0.014846
-1.24,-3.88,0.016343
-1.16,-3.88,0.016283
-1.08,-3.88,0.014397
-0.999999,-3.88,0.016851
-0.92,-3.88,0.014876
-0.84,-3.88,0.015415
-0.76,-3.88,0.017211
-0.68,-3.88,0.016462
-0.6,-3.88,0.017151
-0.52,-3.88,0.016941
-0.44,-3.88,0.01766
-0.36,-3.88,0.01769
-0.28,-3.88,0.016552
-0.2,-3.88,0.018198
-0.12,-3.88,0.017091
-0.04,-3.88,0.017211
0.04,-3.88,0.017241
0.12,-3.88,0.018139
0.199999,-3.88,0.017779
0.28,-3.88,0.018378
0.36,-3.88,0.016971
0.44,-3.88,0.01763
