x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.160256
-3.88,-3.96,0.169384
-3.8,-3.96,0.181508
-3.72,-3.96,0.188452
-3.64,-3.96,0.19791
-3.56,-3.96,0.213535
-3.48,-3.96,0.223473
-3.4,-3.96,0.240624
-3.32,-3.96,0.251279
-3.24,-3.96,0.252178
-3.16,-3.96,0.275555
-3.08,-3.96,0.294382
-3.0,-3.96,0.305069
-2.92,-3.96,0.31348
-2.84,-3.96,0.336498
-2.76,-3.96,0.345925
-2.68,-3.96,0.358706
-2.6,-3.96,0.377026
-2.52,-3.96,0.388909
-2.44,-3.96,0.400913
-2.36,-3.96,0.418961
-2.28,-3.96,0.435094
-2.2,-3.96,0.45087
-2.12,-3.96,0.460956
-2.04,-3.96,0.483795
-1.96,-3.96,0.48604
-1.88,-3.96,0.506035
-1.8,-3.96,0.519383
-1.72,-3.96,0.537584
-1.64,-3.96,0.552939
-1.56,-3.96,0.564851
-1.48,-3.96,0.566589
-1.4,-3.96,0.585865
-1.32,-3.96,0.600141
-1.24,-3.96,0.599096
-1.16,-3.96,0.615289
-1.08,-3.96,0.635881
-0.999999,-3.96,0.640223
-0.92,-3.96,0.647945
-0.84,-3.96,0.657674
-0.76,-3.96,0.66237
-0.68,-3.96,0.670305
-0.6,-3.96,0.686289
-0.52,-3.96,0.683025
-0.44,-3.96,0.684314
-0.36,-3.96,0.695268
-0.28,-3.96,0.696733
-0.2,-3.96,0.701464
-0.12,-3.96,0.704249
-0.04,-3.96,0.699188
0.04,-3.96,0.70341
0.12,-3.96,0.700208
0.199999,-3.96,0.701615
0.28,-3.96,0.701944
0.36,-3.96,0.690596
0.44,-3.96,0.687457
0.52,-3.96,0.680931
0.6,-3.96,0.678716
0.68,-3.96,0.670156
0.76,-3.96,0.664408
0.84,-3.96,0.654138
0.92,-3.96,0.64576
0.999999,-3.96,0.638517
1.08,-3.96,0.630645
1.16,-3.96,0.61505
1.24,-3.96,0.614211
1.32,-3.96,0.593977
1.4,-3.96,0.585562
1.48,-3.96,0.572216
1.56,-3.96,0.562009
1.64,-3.96,0.549587
1.72,-3.96,0.536267
1.8,-3.96,0.517858
1.88,-3.96,0.505703
1.96,-3.96,0.486011
2.04,-3.96,0.476762
2.12,-3.96,0.460089
2.2,-3.96,0.448415
2.28,-3.96,0.428361
2.36,-3.96,0.416957
2.44,-3.96,0.397408
2.52,-3.96,0.389837
2.6,-3.96,0.379001
2.68,-3.96,0.360803
