Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
A_1.1.1,1.000000e+02,9.999890e+01,1.100000e-03,0.000000e+00,522,3.665261,-,-,-,heliosim
A_1.1.2,1.000000e+02,9.999880e+01,1.200000e-03,0.000000e+00,522,3.547970,-,-,-,heliosim
A_1.1.3,1.000000e+02,9.999870e+01,1.300000e-03,0.000000e+00,522,3.578413,-,-,-,heliosim
A_1.2.1,1.000000e+02,9.998610e+01,1.390000e-02,0.000000e+00,522,3.595566,-,-,-,heliosim
A_1.2.2,1.000000e+02,9.110270e+01,8.897300e+00,0.000000e+00,522,3.483177,-,-,-,heliosim
A_1.2.3,1.000000e+02,6.683650e+01,3.316350e+01,0.000000e+00,522,4.097613,-,-,-,heliosim
A_2.1,1.000000e+02,9.999850e+01,1.500000e-03,0.000000e+00,522,3.478266,-,-,-,heliosim
A_2.2,1.000000e+02,9.110240e+01,8.897600e+00,0.000000e+00,522,3.129219,-,-,-,heliosim
A_2.3.1,1.000000e+02,9.935780e+01,6.422000e-01,0.000000e+00,522,2.902396,-,-,-,heliosim
A_2.3.2,1.000000e+02,9.855590e+01,1.444100e+00,0.000000e+00,522,3.144675,-,-,-,heliosim
A_2.3.3,1.000000e+02,9.793420e+01,2.065800e+00,0.000000e+00,522,3.103562,-,-,-,heliosim
A_3.1,1.000000e+02,8.393150e+01,1.606850e+01,0.000000e+00,522,4.944358,-,-,-,heliosim
A_3.2,1.000000e+02,8.330690e+01,1.669310e+01,0.000000e+00,522,4.739271,-,-,-,heliosim
