x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.16
-3.88,-3.96,0.17
-3.8,-3.96,0.18
-3.72,-3.96,0.191
-3.64,-3.96,0.202
-3.56,-3.96,0.213
-3.48,-3.96,0.225
-3.4,-3.96,0.237
-3.32,-3.96,0.25
-3.24,-3.96,0.262
-3.16,-3.96,0.275
-3.08,-3.96,0.289
-3,-3.96,0.302
-2.92,-3.96,0.316
-2.84,-3.96,0.33
-2.76,-3.96,0.345
-2.68,-3.96,0.359
-2.6,-3.96,0.374
-2.52,-3.96,0.388
-2.44,-3.96,0.403
-2.36,-3.96,0.418
-2.28,-3.96,0.433
-2.2,-3.96,0.448
-2.12,-3.96,0.462
-2.04,-3.96,0.477
-1.96,-3.96,0.491
-1.88,-3.96,0.506
-1.8,-3.96,0.52
-1.72,-3.96,0.534
-1.64,-3.96,0.547
-1.56,-3.96,0.56
-1.48,-3.96,0.573
-1.4,-3.96,0.586
-1.32,-3.96,0.598
-1.24,-3.96,0.609
-1.16,-3.96,0.62
-1.08,-3.96,0.63
-1,-3.96,0.64
-0.92,-3.96,0.649
-0.84,-3.96,0.658
-0.76,-3.96,0.666
-0.68,-3.96,0.673
-0.6,-3.96,0.679
-0.52,-3.96,0.685
-0.44,-3.96,0.69
-0.36,-3.96,0.694
-0.28,-3.96,0.697
-0.2,-3.96,0.7
-0.12,-3.96,0.702
-0.04,-3.96,0.702
0.04,-3.96,0.702
0.12,-3.96,0.702
0.2,-3.96,0.7
0.28,-3.96,0.697
0.36,-3.96,0.694
0.44,-3.96,0.69
0.52,-3.96,0.685
0.6,-3.96,0.679
0.68,-3.96,0.673
0.76,-3.96,0.666
0.84,-3.96,0.658
0.92,-3.96,0.649
1,-3.96,0.64
1.08,-3.96,0.63
1.16,-3.96,0.62
1.24,-3.96,0.609
1.32,-3.96,0.598
1.4,-3.96,0.586
1.48,-3.96,0.573
1.56,-3.96,0.56
1.64,-3.96,0.547
1.72,-3.96,0.534
1.8,-3.96,0.52
1.88,-3.96,0.506
1.96,-3.96,0.491
2.04,-3.96,0.477
2.12,-3.96,0.462
2.2,-3.96,0.448
2.28,-3.96,0.433
2.36,-3.96,0.418
2.44,-3.96,0.403
2.52,-3.96,0.388
2.6,-3.96,0.374
2.68,-3.96,0.359
2.76,-3.96,0.345
2.84,-3.96,0.33
2.92,-3.96,0.316
3,-3.96,0.302
3.08,-3.96,0.289
3.16,-3.96,0.275
3.24,-3.96,0.262
