x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.077396
-3.88,-3.96,0.0821874
-3.8,-3.96,0.0907293
-3.72,-3.96,0.0947919
-3.64,-3.96,0.103542
-3.56,-3.96,0.113125
-3.48,-3.96,0.120313
-3.4,-3.96,0.125
-3.32,-3.96,0.150938
-3.24,-3.96,0.149792
-3.16,-3.96,0.157395
-3.08,-3.96,0.174271
-3.0,-3.96,0.17948
-2.92,-3.96,0.195521
-2.84,-3.96,0.203958
-2.76,-3.96,0.208646
-2.68,-3.96,0.224063
-2.6,-3.96,0.241458
-2.52,-3.96,0.257917
-2.44,-3.96,0.265
-2.36,-3.96,0.28427
-2.28,-3.96,0.277918
-2.2,-3.96,0.312397
-2.12,-3.96,0.318333
-2.04,-3.96,0.342084
-1.96,-3.96,0.340104
-1.88,-3.96,0.357814
-1.8,-3.96,0.378854
-1.72,-3.96,0.394271
-1.64,-3.96,0.40698
-1.56,-3.96,0.411459
-1.48,-3.96,0.420313
-1.4,-3.96,0.440625
-1.32,-3.96,0.447916
-1.24,-3.96,0.459688
-1.16,-3.96,0.467292
-1.08,-3.96,0.484167
-1.0,-3.96,0.494167
-0.92,-3.96,0.494897
-0.84,-3.96,0.524897
-0.76,-3.96,0.515
-0.68,-3.96,0.525729
-0.6,-3.96,0.541458
-0.52,-3.96,0.538542
-0.44,-3.96,0.541875
-0.36,-3.96,0.552396
-0.28,-3.96,0.563438
-0.2,-3.96,0.567188
-0.12,-3.96,0.55823
-0.04,-3.96,0.55448
0.04,-3.96,0.543543
0.12,-3.96,0.55875
0.2,-3.96,0.56073
0.28,-3.96,0.540938
0.36,-3.96,0.563959
0.44,-3.96,0.546043
0.52,-3.96,0.546668
0.6,-3.96,0.545938
0.68,-3.96,0.528646
0.76,-3.96,0.535313
0.84,-3.96,0.511876
0.92,-3.96,0.507605
1.0,-3.96,0.499584
1.08,-3.96,0.48448
1.16,-3.96,0.473125
1.24,-3.96,0.4575
1.32,-3.96,0.450105
1.4,-3.96,0.441042
1.48,-3.96,0.438439
1.56,-3.96,0.422187
1.64,-3.96,0.398958
1.72,-3.96,0.385625
1.8,-3.96,0.368646
1.88,-3.96,0.358959
1.96,-3.96,0.335105
2.04,-3.96,0.340834
2.12,-3.96,0.312708
2.2,-3.96,0.303751
2.28,-3.96,0.290938
2.36,-3.96,0.28177
2.44,-3.96,0.259584
2.52,-3.96,0.248438
2.6,-3.96,0.232812
2.68,-3.96,0.236042
2.76,-3.96,0.216563
2.84,-3.96,0.196354
2.92,-3.96,0.194271
3.0,-3.96,0.185833
3.08,-3.96,0.173125
3.16,-3.96,0.161666
3.24,-3.96,0.156667
3.32,-3.96,0.137292
3.4,-3.96,0.134166
3.48,-3.96,0.116875
3.56,-3.96,0.116667
3.64,-3.96,0.103021
3.72,-3.96,0.102813
3.8,-3.96,0.0922919
3.88,-3.96,0.0856251
3.96,-3.96,0.0769794
-3.96,-3.88,0.0879166
-3.88,-3.88,0.0924995
-3.8,-3.88,0.093854
-3.72,-3.88,0.107396
-3.64,-3.88,0.120207
-3.56,-3.88,0.134166
-3.48,-3.88,0.129479
-3.4,-3.88,0.1425
-3.32,-3.88,0.155416
-3.24,-3.88,0.161459
-3.16,-3.88,0.175208
-3.08,-3.88,0.178124
-3.0,-3.88,0.196041
-2.92,-3.88,0.214062
-2.84,-3.88,0.22427
-2.76,-3.88,0.232291
-2.68,-3.88,0.250937
-2.6,-3.88,0.251145
-2.52,-3.88,0.273645
-2.44,-3.88,0.294583
-2.36,-3.88,0.31979
-2.28,-3.88,0.320312
-2.2,-3.88,0.324896
-2.12,-3.88,0.358332
-2.04,-3.88,0.354374
-1.96,-3.88,0.379061
-1.88,-3.88,0.395833
-1.8,-3.88,0.410832
-1.72,-3.88,0.416353
-1.64,-3.88,0.431146
-1.56,-3.88,0.450311
-1.48,-3.88,0.456666
-1.4,-3.88,0.457603
-1.32,-3.88,0.493957
-1.24,-3.88,0.5
-1.16,-3.88,0.520415
-1.08,-3.88,0.533332
-1.0,-3.88,0.53229
-0.92,-3.88,0.543228
-0.84,-3.88,0.557603
-0.76,-3.88,0.558854
-0.68,-3.88,0.580102
-0.6,-3.88,0.574375
-0.52,-3.88,0.584999
-0.44,-3.88,0.581353
-0.36,-3.88,0.587811
-0.28,-3.88,0.594999
-0.2,-3.88,0.596249
-0.12,-3.88,0.615207
-0.04,-3.88,0.600207
0.04,-3.88,0.610728
0.12,-3.88,0.585415
0.2,-3.88,0.602395
0.28,-3.88,0.595311
0.36,-3.88,0.590519
0.44,-3.88,0.595415
0.52,-3.88,0.577082
0.6,-3.88,0.59427
0.68,-3.88,0.573124
0.76,-3.88,0.561249
0.84,-3.88,0.558853
0.92,-3.88,0.550207
1.0,-3.88,0.522499
1.08,-3.88,0.529374
1.16,-3.88,0.512603
1.24,-3.88,0.529375
1.32,-3.88,0.489582
1.4,-3.88,0.475103
1.48,-3.88,0.461354
1.56,-3.88,0.432707
1.64,-3.88,0.430103
1.72,-3.88,0.422706
1.8,-3.88,0.398749
1.88,-3.88,0.386771
1.96,-3.88,0.379374
2.04,-3.88,0.361667
2.12,-3.88,0.334269
2.2,-3.88,0.327604
2.28,-3.88,0.321562
2.36,-3.88,0.300416
2.44,-3.88,0.293437
2.52,-3.88,0.278021
2.6,-3.88,0.259166
2.68,-3.88,0.250833
2.76,-3.88,0.229792
2.84,-3.88,0.221249
2.92,-3.88,0.206458
3.0,-3.88,0.202707
3.08,-3.88,0.182708
3.16,-3.88,0.173333
3.24,-3.88,0.159479
3.32,-3.88,0.152813
3.4,-3.88,0.140312
3.48,-3.88,0.136875
3.56,-3.88,0.125
3.64,-3.88,0.113646
3.72,-3.88,0.106354
3.8,-3.88,0.0962498
3.88,-3.88,0.0911454
3.96,-3.88,0.0812501
-3.96,-3.8,0.0935419
-3.88,-3.8,0.101458
-3.8,-3.8,0.107396
-3.72,-3.8,0.117813
-3.64,-3.8,0.125416
-3.56,-3.8,0.135521
-3.48,-3.8,0.142604
-3.4,-3.8,0.155625
-3.32,-3.8,0.160417
-3.24,-3.8,0.171667
-3.16,-3.8,0.184896
-3.08,-3.8,0.195313
-3.0,-3.8,0.206354
-2.92,-3.8,0.22823
-2.84,-3.8,0.239167
-2.76,-3.8,0.254271
-2.68,-3.8,0.264792
-2.6,-3.8,0.286771
-2.52,-3.8,0.284896
-2.44,-3.8,0.312396
-2.36,-3.8,0.331041
-2.28,-3.8,0.339792
-2.2,-3.8,0.371459
-2.12,-3.8,0.365416
-2.04,-3.8,0.377814
-1.96,-3.8,0.407292
-1.88,-3.8,0.414376
-1.8,-3.8,0.444792
-1.72,-3.8,0.455001
-1.64,-3.8,0.475209
-1.56,-3.8,0.466666
-1.48,-3.8,0.48948
-1.4,-3.8,0.506459
-1.32,-3.8,0.522188
-1.24,-3.8,0.523439
-1.16,-3.8,0.554896
-1.08,-3.8,0.581146
-1.0,-3.8,0.568126
-0.92,-3.8,0.578959
-0.84,-3.8,0.596563
-0.76,-3.8,0.624584
-0.68,-3.8,0.630105
-0.6,-3.8,0.616043
-0.52,-3.8,0.632188
-0.44,-3.8,0.650626
-0.36,-3.8,0.649376
-0.28,-3.8,0.640834
-0.2,-3.8,0.656772
-0.12,-3.8,0.670938
-0.04,-3.8,0.661042
0.04,-3.8,0.640834
0.12,-3.8,0.651771
0.2,-3.8,0.645105
0.28,-3.8,0.641771
0.36,-3.8,0.635522
0.44,-3.8,0.648438
0.52,-3.8,0.628022
0.6,-3.8,0.627709
0.68,-3.8,0.615417
0.76,-3.8,0.593229
0.84,-3.8,0.613855
0.92,-3.8,0.588438
1.0,-3.8,0.588751
1.08,-3.8,0.57375
1.16,-3.8,0.550417
1.24,-3.8,0.554689
1.32,-3.8,0.532812
1.4,-3.8,0.50698
1.48,-3.8,0.510417
1.56,-3.8,0.476146
1.64,-3.8,0.470834
1.72,-3.8,0.461667
1.8,-3.8,0.44625
1.88,-3.8,0.425521
1.96,-3.8,0.412292
2.04,-3.8,0.389896
2.12,-3.8,0.384271
2.2,-3.8,0.359793
2.28,-3.8,0.343959
2.36,-3.8,0.328541
2.44,-3.8,0.31698
2.52,-3.8,0.289793
2.6,-3.8,0.277187
2.68,-3.8,0.268751
2.76,-3.8,0.243229
2.84,-3.8,0.239375
2.92,-3.8,0.215312
3.0,-3.8,0.214479
3.08,-3.8,0.208125
3.16,-3.8,0.178229
3.24,-3.8,0.176354
3.32,-3.8,0.168959
3.4,-3.8,0.154375
3.48,-3.8,0.152396
3.56,-3.8,0.13
3.64,-3.8,0.132395
3.72,-3.8,0.12125
3.8,-3.8,0.105104
3.88,-3.8,0.0982292
3.96,-3.8,0.0939586
-3.96,-3.72,0.100521
-3.88,-3.72,0.106875
-3.8,-3.72,0.114584
-3.72,-3.72,0.124792
-3.64,-3.72,0.133229
-3.56,-3.72,0.144688
-3.48,-3.72,0.154168
-3.4,-3.72,0.168333
-3.32,-3.72,0.175521
-3.24,-3.72,0.191771
-3.16,-3.72,0.198958
-3.08,-3.72,0.211042
-3.0,-3.72,0.225938
-2.92,-3.72,0.236563
-2.84,-3.72,0.256458
-2.76,-3.72,0.27
-2.68,-3.72,0.294063
-2.6,-3.72,0.298437
-2.52,-3.72,0.324167
-2.44,-3.72,0.331251
-2.36,-3.72,0.364062
-2.28,-3.72,0.372293
-2.2,-3.72,0.390834
-2.12,-3.72,0.401875
-2.04,-3.72,0.420314
-1.96,-3.72,0.440729
-1.88,-3.72,0.45146
-1.8,-3.72,0.472917
-1.72,-3.72,0.496355
-1.64,-3.72,0.506771
-1.56,-3.72,0.51927
-1.48,-3.72,0.532188
-1.4,-3.72,0.557083
-1.32,-3.72,0.565209
-1.24,-3.72,0.574688
-1.16,-3.72,0.60198
-1.08,-3.72,0.610105
-1.0,-3.72,0.625417
-0.92,-3.72,0.643334
-0.84,-3.72,0.641771
-0.76,-3.72,0.658751
-0.68,-3.72,0.679896
-0.6,-3.72,0.668751
-0.52,-3.72,0.690417
-0.44,-3.72,0.697084
-0.36,-3.72,0.690522
-0.28,-3.72,0.694584
-0.2,-3.72,0.706562
-0.12,-3.72,0.697604
-0.04,-3.72,0.702501
0.04,-3.72,0.694792
0.12,-3.72,0.711355
0.2,-3.72,0.704688
0.28,-3.72,0.69823
0.36,-3.72,0.69823
0.44,-3.72,0.681772
0.52,-3.72,0.67948
0.6,-3.72,0.693438
0.68,-3.72,0.673855
0.76,-3.72,0.663647
0.84,-3.72,0.648959
0.92,-3.72,0.629792
1.0,-3.72,0.63573
1.08,-3.72,0.615625
1.16,-3.72,0.595417
1.24,-3.72,0.58698
1.32,-3.72,0.554375
1.4,-3.72,0.560312
1.48,-3.72,0.529272
1.56,-3.72,0.524584
1.64,-3.72,0.49896
1.72,-3.72,0.487605
1.8,-3.72,0.455001
1.88,-3.72,0.453855
1.96,-3.72,0.441667
2.04,-3.72,0.414897
2.12,-3.72,0.407396
2.2,-3.72,0.381667
2.28,-3.72,0.376355
2.36,-3.72,0.347395
2.44,-3.72,0.339064
2.52,-3.72,0.312292
2.6,-3.72,0.308021
2.68,-3.72,0.293334
2.76,-3.72,0.268751
2.84,-3.72,0.252916
2.92,-3.72,0.256667
3.0,-3.72,0.231771
3.08,-3.72,0.224063
3.16,-3.72,0.19875
3.24,-3.72,0.185417
3.32,-3.72,0.178751
3.4,-3.72,0.16125
3.48,-3.72,0.168854
3.56,-3.72,0.142605
3.64,-3.72,0.137083
3.72,-3.72,0.128959
3.8,-3.72,0.114687
3.88,-3.72,0.102916
3.96,-3.72,0.0973959
-3.96,-3.64,0.106354
-3.88,-3.64,0.119062
-3.8,-3.64,0.125104
-3.72,-3.64,0.138646
-3.64,-3.64,0.142811
-3.56,-3.64,0.153333
-3.48,-3.64,0.174167
-3.4,-3.64,0.183957
-3.32,-3.64,0.196042
-3.24,-3.64,0.200313
-3.16,-3.64,0.213228
-3.08,-3.64,0.230938
-3.0,-3.64,0.25375
-2.92,-3.64,0.262396
-2.84,-3.64,0.268437
-2.76,-3.64,0.291771
-2.68,-3.64,0.319479
-2.6,-3.64,0.332499
-2.52,-3.64,0.345832
-2.44,-3.64,0.352395
-2.36,-3.64,0.376977
-2.28,-3.64,0.400625
-2.2,-3.64,0.409791
-2.12,-3.64,0.431561
-2.04,-3.64,0.452187
-1.96,-3.64,0.465624
-1.88,-3.64,0.496458
-1.8,-3.64,0.516041
-1.72,-3.64,0.529061
-1.64,-3.64,0.552187
-1.56,-3.64,0.55802
-1.48,-3.64,0.576249
-1.4,-3.64,0.578957
-1.32,-3.64,0.599061
-1.24,-3.64,0.614791
-1.16,-3.64,0.651873
-1.08,-3.64,0.665832
-1.0,-3.64,0.657707
-0.92,-3.64,0.680624
-0.84,-3.64,0.708541
-0.76,-3.64,0.696874
-0.68,-3.64,0.716457
-0.6,-3.64,0.721666
-0.52,-3.64,0.728123
-0.44,-3.64,0.74552
-0.36,-3.64,0.748644
-0.28,-3.64,0.766665
-0.2,-3.64,0.74979
-0.12,-3.64,0.759061
-0.04,-3.64,0.771457
0.04,-3.64,0.754895
0.12,-3.64,0.752915
0.2,-3.64,0.754686
0.28,-3.64,0.755311
0.36,-3.64,0.746144
0.44,-3.64,0.729791
0.52,-3.64,0.730832
0.6,-3.64,0.727811
0.68,-3.64,0.708748
0.76,-3.64,0.69052
0.84,-3.64,0.676144
0.92,-3.64,0.680624
1.0,-3.64,0.67052
1.08,-3.64,0.65354
1.16,-3.64,0.632706
1.24,-3.64,0.615416
1.32,-3.64,0.616666
1.4,-3.64,0.586873
1.48,-3.64,0.589582
1.56,-3.64,0.559373
1.64,-3.64,0.553541
1.72,-3.64,0.521144
1.8,-3.64,0.520937
1.88,-3.64,0.484895
1.96,-3.64,0.471978
2.04,-3.64,0.455728
2.12,-3.64,0.430206
2.2,-3.64,0.427187
2.28,-3.64,0.39125
2.36,-3.64,0.379686
2.44,-3.64,0.364687
2.52,-3.64,0.357083
2.6,-3.64,0.327186
2.68,-3.64,0.307917
2.76,-3.64,0.289687
2.84,-3.64,0.280832
2.92,-3.64,0.252812
3.0,-3.64,0.254374
3.08,-3.64,0.230416
3.16,-3.64,0.21677
3.24,-3.64,0.21
3.32,-3.64,0.184375
3.4,-3.64,0.180625
3.48,-3.64,0.164166
3.56,-3.64,0.155521
3.64,-3.64,0.146145
3.72,-3.64,0.141458
3.8,-3.64,0.126979
3.88,-3.64,0.109062
3.96,-3.64,0.110417
-3.96,-3.56,0.113541
-3.88,-3.56,0.124375
-3.8,-3.56,0.134271
-3.72,-3.56,0.142708
-3.64,-3.56,0.162291
-3.56,-3.56,0.16448
-3.48,-3.56,0.177605
-3.4,-3.56,0.193437
-3.32,-3.56,0.205209
-3.24,-3.56,0.22875
-3.16,-3.56,0.237708
-3.08,-3.56,0.248855
-3.0,-3.56,0.269064
-2.92,-3.56,0.276355
-2.84,-3.56,0.295937
-2.76,-3.56,0.321563
-2.68,-3.56,0.33448
-2.6,-3.56,0.347291
-2.52,-3.56,0.370938
-2.44,-3.56,0.384271
-2.36,-3.56,0.404687
-2.28,-3.56,0.426563
-2.2,-3.56,0.45323
-2.12,-3.56,0.464166
-2.04,-3.56,0.494792
-1.96,-3.56,0.504375
-1.88,-3.56,0.541147
-1.8,-3.56,0.544479
-1.72,-3.56,0.577396
-1.64,-3.56,0.59771
-1.56,-3.56,0.589376
-1.48,-3.56,0.614897
-1.4,-3.56,0.639479
-1.32,-3.56,0.664062
-1.24,-3.56,0.674689
-1.16,-3.56,0.69198
-1.08,-3.56,0.709376
-1.0,-3.56,0.732084
-0.92,-3.56,0.74896
-0.84,-3.56,0.755731
-0.76,-3.56,0.787501
-0.68,-3.56,0.773959
-0.6,-3.56,0.78521
-0.52,-3.56,0.795417
-0.44,-3.56,0.798751
-0.36,-3.56,0.791146
-0.28,-3.56,0.79896
-0.2,-3.56,0.81573
-0.12,-3.56,0.819376
-0.04,-3.56,0.826251
0.04,-3.56,0.821667
0.12,-3.56,0.811772
0.2,-3.56,0.802188
0.28,-3.56,0.830001
0.36,-3.56,0.788855
0.44,-3.56,0.802709
0.52,-3.56,0.793543
0.6,-3.56,0.783855
0.68,-3.56,0.77125
0.76,-3.56,0.759063
0.84,-3.56,0.752293
0.92,-3.56,0.732397
1.0,-3.56,0.742814
1.08,-3.56,0.694792
1.16,-3.56,0.691979
1.24,-3.56,0.671043
1.32,-3.56,0.655833
1.4,-3.56,0.641042
1.48,-3.56,0.62771
1.56,-3.56,0.604479
1.64,-3.56,0.585001
1.72,-3.56,0.544375
1.8,-3.56,0.543333
1.88,-3.56,0.529689
1.96,-3.56,0.499896
2.04,-3.56,0.481043
2.12,-3.56,0.467499
2.2,-3.56,0.437918
2.28,-3.56,0.426459
2.36,-3.56,0.414166
2.44,-3.56,0.387397
2.52,-3.56,0.372709
2.6,-3.56,0.348854
2.68,-3.56,0.340105
2.76,-3.56,0.314897
2.84,-3.56,0.278229
2.92,-3.56,0.276042
3.0,-3.56,0.269375
3.08,-3.56,0.247813
3.16,-3.56,0.236978
3.24,-3.56,0.223125
3.32,-3.56,0.204375
3.4,-3.56,0.188645
3.48,-3.56,0.183646
3.56,-3.56,0.168542
3.64,-3.56,0.15927
3.72,-3.56,0.141875
3.8,-3.56,0.132917
3.88,-3.56,0.127604
3.96,-3.56,0.112917
-3.96,-3.48,0.122292
-3.88,-3.48,0.136875
-3.8,-3.48,0.146771
-3.72,-3.48,0.15875
-3.64,-3.48,0.169479
-3.56,-3.48,0.174792
-3.48,-3.48,0.195833
-3.4,-3.48,0.20875
-3.32,-3.48,0.226667
-3.24,-3.48,0.23448
-3.16,-3.48,0.249688
-3.08,-3.48,0.260313
-3.0,-3.48,0.285521
-2.92,-3.48,0.294689
-2.84,-3.48,0.314687
-2.76,-3.48,0.344584
-2.68,-3.48,0.360314
-2.6,-3.48,0.378646
-2.52,-3.48,0.39
-2.44,-3.48,0.41448
-2.36,-3.48,0.426978
-2.28,-3.48,0.466251
-2.2,-3.48,0.471876
-2.12,-3.48,0.504687
-2.04,-3.48,0.517813
-1.96,-3.48,0.524375
-1.88,-3.48,0.560209
-1.8,-3.48,0.581771
-1.72,-3.48,0.623229
-1.64,-3.48,0.639272
-1.56,-3.48,0.625104
-1.48,-3.48,0.670521
-1.4,-3.48,0.687604
-1.32,-3.48,0.713542
-1.24,-3.48,0.716564
-1.16,-3.48,0.740625
-1.08,-3.48,0.758438
-1.0,-3.48,0.786771
-0.92,-3.48,0.793334
-0.84,-3.48,0.794688
-0.76,-3.48,0.811772
-0.68,-3.48,0.838229
-0.6,-3.48,0.835626
-0.52,-3.48,0.836147
-0.44,-3.48,0.844584
-0.36,-3.48,0.861563
-0.28,-3.48,0.863335
-0.2,-3.48,0.87698
-0.12,-3.48,0.874167
-0.04,-3.48,0.876043
0.04,-3.48,0.865834
0.12,-3.48,0.879167
0.2,-3.48,0.868959
0.28,-3.48,0.865313
0.36,-3.48,0.858959
0.44,-3.48,0.865834
0.52,-3.48,0.836771
0.6,-3.48,0.822084
0.68,-3.48,0.838334
0.76,-3.48,0.822917
0.84,-3.48,0.80073
0.92,-3.48,0.785834
1.0,-3.48,0.772605
1.08,-3.48,0.770313
1.16,-3.48,0.742813
1.24,-3.48,0.733126
1.32,-3.48,0.708542
1.4,-3.48,0.684584
1.48,-3.48,0.673855
1.56,-3.48,0.653646
1.64,-3.48,0.612501
1.72,-3.48,0.597916
1.8,-3.48,0.587187
1.88,-3.48,0.56823
1.96,-3.48,0.547292
2.04,-3.48,0.515001
2.12,-3.48,0.499687
2.2,-3.48,0.459792
2.28,-3.48,0.455939
2.36,-3.48,0.425416
2.44,-3.48,0.418439
2.52,-3.48,0.385417
2.6,-3.48,0.379479
2.68,-3.48,0.35073
2.76,-3.48,0.339271
2.84,-3.48,0.323854
2.92,-3.48,0.312813
3.0,-3.48,0.287292
3.08,-3.48,0.261042
3.16,-3.48,0.247604
3.24,-3.48,0.233959
3.32,-3.48,0.213334
3.4,-3.48,0.203333
3.48,-3.48,0.193334
3.56,-3.48,0.175208
3.64,-3.48,0.161562
3.72,-3.48,0.154584
3.8,-3.48,0.144375
3.88,-3.48,0.131354
3.96,-3.48,0.124167
-3.96,-3.4,0.127604
-3.88,-3.4,0.145728
-3.8,-3.4,0.155729
-3.72,-3.4,0.17
-3.64,-3.4,0.175208
-3.56,-3.4,0.19125
-3.48,-3.4,0.211354
-3.4,-3.4,0.219373
-3.32,-3.4,0.233125
