x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.00208336
-3.88,-3.96,0.001875
-3.8,-3.96,0.0020833
-3.72,-3.96,0.00229165
-3.64,-3.96,0.0028125
-3.56,-3.96,0.00239581
-3.48,-3.96,0.00260418
-3.4,-3.96,0.00218749
-3.32,-3.96,0.00302081
-3.24,-3.96,0.00302081
-3.16,-3.96,0.00312498
-3.08,-3.96,0.00312506
-3.0,-3.96,0.00364582
-2.92,-3.96,0.00260417
-2.84,-3.96,0.00364585
-2.76,-3.96,0.0032292
-2.68,-3.96,0.00354165
-2.6,-3.96,0.0025
-2.52,-3.96,0.00260417
-2.44,-3.96,0.00364582
-2.36,-3.96,0.00197917
-2.28,-3.96,0.00416669
-2.2,-3.96,0.00302086
-2.12,-3.96,0.00395832
-2.04,-3.96,0.00395834
-1.96,-3.96,0.00395833
-1.88,-3.96,0.005
-1.8,-3.96,0.004375
-1.72,-3.96,0.00416665
-1.64,-3.96,0.00427087
-1.56,-3.96,0.00302085
-1.48,-3.96,0.00520833
-1.4,-3.96,0.00520834
-1.32,-3.96,0.00395834
-1.24,-3.96,0.0044792
-1.16,-3.96,0.00343749
-1.08,-3.96,0.00385415
-1.0,-3.96,0.00489586
-0.92,-3.96,0.00395835
-0.84,-3.96,0.00479168
-0.76,-3.96,0.00500004
-0.68,-3.96,0.00447916
-0.6,-3.96,0.00447918
-0.52,-3.96,0.00583331
-0.44,-3.96,0.00406248
-0.36,-3.96,0.00614581
-0.28,-3.96,0.00468749
-0.2,-3.96,0.00385419
-0.12,-3.96,0.00489582
-0.04,-3.96,0.00614583
0.04,-3.96,0.00322915
0.12,-3.96,0.00458334
0.2,-3.96,0.00489584
0.28,-3.96,0.00427081
0.36,-3.96,0.00510417
0.44,-3.96,0.004375
0.52,-3.96,0.00312503
0.6,-3.96,0.00625003
0.68,-3.96,0.00437499
0.76,-3.96,0.00395835
0.84,-3.96,0.00458337
0.92,-3.96,0.00489583
1.0,-3.96,0.00593751
1.08,-3.96,0.00447917
1.16,-3.96,0.00458335
1.24,-3.96,0.00427079
1.32,-3.96,0.00354166
1.4,-3.96,0.00437499
1.48,-3.96,0.00322918
1.56,-3.96,0.00437498
1.64,-3.96,0.00489584
1.72,-3.96,0.00333333
1.8,-3.96,0.00343748
1.88,-3.96,0.0028125
1.96,-3.96,0.00375003
2.04,-3.96,0.00343752
