x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.0766
-3.88,-3.96,0.0869
-3.8,-3.96,0.0875
-3.72,-3.96,0.101
-3.64,-3.96,0.111
-3.56,-3.96,0.114
-3.48,-3.96,0.13
-3.4,-3.96,0.121
-3.32,-3.96,0.143
-3.24,-3.96,0.139
-3.16,-3.96,0.168
-3.08,-3.96,0.175
-3,-3.96,0.175
-2.92,-3.96,0.19
-2.84,-3.96,0.209
-2.76,-3.96,0.218
-2.68,-3.96,0.236
-2.6,-3.96,0.242
-2.52,-3.96,0.238
-2.44,-3.96,0.266
-2.36,-3.96,0.285
-2.28,-3.96,0.287
-2.2,-3.96,0.307
-2.12,-3.96,0.318
-2.04,-3.96,0.356
-1.96,-3.96,0.346
-1.88,-3.96,0.364
-1.8,-3.96,0.377
-1.72,-3.96,0.387
-1.64,-3.96,0.399
-1.56,-3.96,0.432
-1.48,-3.96,0.429
-1.4,-3.96,0.439
-1.32,-3.96,0.449
-1.24,-3.96,0.451
-1.16,-3.96,0.467
-1.08,-3.96,0.49
-1,-3.96,0.496
-0.92,-3.96,0.494
-0.84,-3.96,0.523
-0.76,-3.96,0.498
-0.68,-3.96,0.538
-0.6,-3.96,0.56
-0.52,-3.96,0.544
-0.44,-3.96,0.538
-0.36,-3.96,0.569
-0.28,-3.96,0.548
-0.2,-3.96,0.555
-0.12,-3.96,0.545
-0.04,-3.96,0.581
0.04,-3.96,0.569
0.12,-3.96,0.567
0.2,-3.96,0.56
0.28,-3.96,0.569
0.36,-3.96,0.552
0.44,-3.96,0.538
0.52,-3.96,0.543
0.6,-3.96,0.517
0.68,-3.96,0.513
0.76,-3.96,0.508
0.84,-3.96,0.507
0.92,-3.96,0.514
1,-3.96,0.468
1.08,-3.96,0.505
1.16,-3.96,0.472
1.24,-3.96,0.474
1.32,-3.96,0.457
1.4,-3.96,0.455
1.48,-3.96,0.423
1.56,-3.96,0.391
1.64,-3.96,0.412
1.72,-3.96,0.397
1.8,-3.96,0.371
1.88,-3.96,0.369
1.96,-3.96,0.354
2.04,-3.96,0.345
2.12,-3.96,0.311
2.2,-3.96,0.319
2.28,-3.96,0.307
2.36,-3.96,0.277
2.44,-3.96,0.272
2.52,-3.96,0.27
2.6,-3.96,0.229
2.68,-3.96,0.217
2.76,-3.96,0.221
2.84,-3.96,0.187
2.92,-3.96,0.184
3,-3.96,0.18
3.08,-3.96,0.167
3.16,-3.96,0.151
3.24,-3.96,0.148
3.32,-3.96,0.144
3.4,-3.96,0.137
3.48,-3.96,0.121
3.56,-3.96,0.122
3.64,-3.96,0.102
3.72,-3.96,0.0984
3.8,-3.96,0.0934
3.88,-3.96,0.0884
3.96,-3.96,0.0744
-3.96,-3.88,0.0987
-3.88,-3.88,0.0906
-3.8,-3.88,0.102
-3.72,-3.88,0.11
-3.64,-3.88,0.12
-3.56,-3.88,0.125
-3.48,-3.88,0.124
-3.4,-3.88,0.149
-3.32,-3.88,0.146
-3.24,-3.88,0.168
-3.16,-3.88,0.176
-3.08,-3.88,0.189
-3,-3.88,0.206
-2.92,-3.88,0.199
-2.84,-3.88,0.225
-2.76,-3.88,0.229
-2.68,-3.88,0.246
-2.6,-3.88,0.259
-2.52,-3.88,0.265
-2.44,-3.88,0.292
-2.36,-3.88,0.301
-2.28,-3.88,0.329
-2.2,-3.88,0.336
-2.12,-3.88,0.36
-2.04,-3.88,0.366
-1.96,-3.88,0.376
-1.88,-3.88,0.407
-1.8,-3.88,0.418
-1.72,-3.88,0.419
-1.64,-3.88,0.425
-1.56,-3.88,0.439
-1.48,-3.88,0.444
-1.4,-3.88,0.468
-1.32,-3.88,0.498
-1.24,-3.88,0.487
-1.16,-3.88,0.521
-1.08,-3.88,0.545
-1,-3.88,0.523
-0.92,-3.88,0.56
-0.84,-3.88,0.563
-0.76,-3.88,0.537
-0.68,-3.88,0.587
-0.6,-3.88,0.578
