x (m),y (m),flux (kW/m2)
-3.960000,-3.960000,0.091255
-3.880000,-3.960000,0.083130
-3.800000,-3.960000,0.085005
-3.720000,-3.960000,0.110006
-3.640000,-3.960000,0.117506
-3.560000,-3.960000,0.104381
-3.480000,-3.960000,0.135320
-3.400000,-3.960000,0.122507
-3.320000,-3.960000,0.144695
-3.240000,-3.960000,0.162821
-3.160000,-3.960000,0.166259
-3.080000,-3.960000,0.162196
-3,-3.960000,0.193761
-2.920000,-3.960000,0.187510
-2.840000,-3.960000,0.213449
-2.760000,-3.960000,0.233138
-2.680000,-3.960000,0.230950
-2.600000,-3.960000,0.232200
-2.520000,-3.960000,0.261264
-2.440000,-3.960000,0.288141
-2.360000,-3.960000,0.298141
-2.280000,-3.960000,0.284078
-2.200000,-3.960000,0.311892
-2.120000,-3.960000,0.313455
-2.040000,-3.960000,0.337206
-1.960000,-3.960000,0.366270
-1.880000,-3.960000,0.369395
-1.800000,-3.960000,0.392522
-1.720000,-3.960000,0.389084
-1.640000,-3.960000,0.397209
-1.560000,-3.960000,0.410648
-1.480000,-3.960000,0.428774
-1.400000,-3.960000,0.438774
-1.320000,-3.960000,0.434399
-1.240000,-3.960000,0.451900
-1.160000,-3.960000,0.488464
-1.080000,-3.960000,0.491590
-1,-3.960000,0.530967
-0.920000,-3.960000,0.509403
-0.840000,-3.960000,0.522529
-0.760000,-3.960000,0.531904
-0.680000,-3.960000,0.516278
-0.600000,-3.960000,0.515341
-0.520000,-3.960000,0.541905
-0.440000,-3.960000,0.544405
-0.360000,-3.960000,0.546593
-0.280000,-3.960000,0.570031
-0.200000,-3.960000,0.558156
-0.120000,-3.960000,0.560031
-0.040000,-3.960000,0.557843
0.040000,-3.960000,0.563781
0.120000,-3.960000,0.547530
0.200000,-3.960000,0.571281
0.280000,-3.960000,0.544405
0.360000,-3.960000,0.543780
0.440000,-3.960000,0.573157
0.520000,-3.960000,0.570656
0.600000,-3.960000,0.534717
0.680000,-3.960000,0.551905
0.760000,-3.960000,0.529717
0.840000,-3.960000,0.528154
0.920000,-3.960000,0.532842
1,-3.960000,0.523779
1.080000,-3.960000,0.482527
1.160000,-3.960000,0.475651
1.240000,-3.960000,0.465338
1.320000,-3.960000,0.449400
1.400000,-3.960000,0.448775
1.480000,-3.960000,0.423773
1.560000,-3.960000,0.435336
1.640000,-3.960000,0.402835
1.720000,-3.960000,0.377208
1.800000,-3.960000,0.382834
1.880000,-3.960000,0.379083
1.960000,-3.960000,0.340956
2.040000,-3.960000,0.320955
2.120000,-3.960000,0.316580
2.200000,-3.960000,0.312830
2.280000,-3.960000,0.299704
2.360000,-3.960000,0.284391
2.440000,-3.960000,0.265327
2.520000,-3.960000,0.238763
2.600000,-3.960000,0.230638
2.680000,-3.960000,0.227825
2.760000,-3.960000,0.223450
2.840000,-3.960000,0.200636
2.920000,-3.960000,0.190948
3,-3.960000,0.189385
3.080000,-3.960000,0.181260
3.160000,-3.960000,0.172509
3.240000,-3.960000,0.151258
3.320000,-3.960000,0.148133
3.400000,-3.960000,0.138133
3.480000,-3.960000,0.125007
3.560000,-3.960000,0.121569
3.640000,-3.960000,0.104693
3.720000,-3.960000,0.109381
3.800000,-3.960000,0.103443
3.880000,-3.960000,0.080942
3.960000,-3.960000,0.084380
-3.960000,-3.880000,0.089692
-3.880000,-3.880000,0.100943
-3.800000,-3.880000,0.098130
-3.720000,-3.880000,0.108131
-3.640000,-3.880000,0.110319
-3.560000,-3.880000,0.134695
-3.480000,-3.880000,0.137820
-3.400000,-3.880000,0.147196
-3.320000,-3.880000,0.152821
-3.240000,-3.880000,0.161259
-3.160000,-3.880000,0.169072
-3.080000,-3.880000,0.167822
-3,-3.880000,0.197198
-2.920000,-3.880000,0.209387
-2.840000,-3.880000,0.225637
-2.760000,-3.880000,0.240638
-2.680000,-3.880000,0.255014
-2.600000,-3.880000,0.251576
-2.520000,-3.880000,0.274078
-2.440000,-3.880000,0.307829
-2.360000,-3.880000,0.300329
-2.280000,-3.880000,0.321268
-2.200000,-3.880000,0.331893
-2.120000,-3.880000,0.355020
-2.040000,-3.880000,0.374396
-1.960000,-3.880000,0.396272
-1.880000,-3.880000,0.395022
-1.800000,-3.880000,0.398459
-1.720000,-3.880000,0.442837
-1.640000,-3.880000,0.454087
-1.560000,-3.880000,0.428149
-1.480000,-3.880000,0.487839
-1.400000,-3.880000,0.488777
-1.320000,-3.880000,0.485964
-1.240000,-3.880000,0.518779
-1.160000,-3.880000,0.533467
-1.080000,-3.880000,0.530029
-1,-3.880000,0.531279
-0.920000,-3.880000,0.526279
-0.840000,-3.880000,0.573782
-0.760000,-3.880000,0.574719
-0.680000,-3.880000,0.592220
-0.600000,-3.880000,0.586907
-0.520000,-3.880000,0.605346
-0.440000,-3.880000,0.605346
-0.360000,-3.880000,0.590658
-0.280000,-3.880000,0.611596
-0.200000,-3.880000,0.608471
-0.120000,-3.880000,0.624722
-0.040000,-3.880000,0.613471
0.040000,-3.880000,0.625347
0.120000,-3.880000,0.564406
0.200000,-3.880000,0.631285
0.280000,-3.880000,0.598158
0.360000,-3.880000,0.606596
0.440000,-3.880000,0.581282
0.520000,-3.880000,0.604408
0.600000,-3.880000,0.589407
0.680000,-3.880000,0.610659
