x (m),y (m),flux (kW/m2)
-3.96,-3.96,0.171362
-3.88,-3.96,0.156725
-3.8,-3.96,0.169577
-3.72,-3.96,0.20277799999999999
-3.64,-3.96,0.202064
-3.56,-3.96,0.203492
-3.48,-3.96,0.215273
-3.4,-3.96,0.239907
-3.32,-3.96,0.24097800000000003
-3.24,-3.96,0.25383
-3.16,-3.96,0.277749
-3.08,-3.96,0.260613
-3.0,-3.96,0.304524
-2.92,-3.96,0.310593
-2.84,-3.96,0.330943
-2.76,-3.96,0.322731
-2.68,-3.96,0.343438
-2.6,-3.96,0.375568
-2.52,-3.96,0.39413200000000004
-2.44,-3.96,0.400915
-2.36,-3.96,0.409483
-2.28,-3.96,0.426977
-2.2,-3.96,0.427334
-2.12,-3.96,0.468032
-2.04,-3.96,0.454823
-1.96,-3.96,0.466247
-1.88,-3.96,0.49445
-1.8,-3.96,0.499448
-1.72,-3.96,0.5162279999999999
-1.64,-3.96,0.536934
-1.56,-3.96,0.530865
-1.48,-3.96,0.546573
-1.4,-3.96,0.580131
-1.32,-3.96,0.5833440000000001
-1.24,-3.96,0.6244
-1.16,-3.96,0.616189
-1.08,-3.96,0.607264
-1.0,-3.96,0.6069070000000001
-0.92,-3.96,0.636538
-0.84,-3.96,0.629398
-0.76,-3.96,0.63154
-0.68,-3.96,0.638323
-0.6,-3.96,0.6958010000000001
-0.52,-3.96,0.6583150000000001
-0.44,-3.96,0.685804
-0.36,-3.96,0.699014
-0.28,-3.96,0.6693819999999999
-0.2,-3.96,0.6697390000000001
-0.12,-3.96,0.684019
-0.04,-3.96,0.6890170000000001
0.04,-3.96,0.691159
0.12,-3.96,0.6708099999999999
0.2,-3.96,0.6933010000000001
0.28,-3.96,0.697586
0.36,-3.96,0.671524
0.44,-3.96,0.680806
0.52,-3.96,0.6579579999999999
0.6,-3.96,0.6736660000000001
0.68,-3.96,0.666526
0.76,-3.96,0.636895
0.84,-3.96,0.641893
0.92,-3.96,0.6540309999999999
1.0,-3.96,0.639751
1.08,-3.96,0.608692
1.16,-3.96,0.6197590000000001
1.24,-3.96,0.56835
1.32,-3.96,0.592269
1.4,-3.96,0.5512140000000001
1.48,-3.96,0.552999
1.56,-3.96,0.5162279999999999
1.64,-3.96,0.5340779999999999
1.72,-3.96,0.542289
1.8,-3.96,0.485525
1.88,-3.96,0.482669
1.96,-3.96,0.456608
2.04,-3.96,0.477671
2.12,-3.96,0.484454
2.2,-3.96,0.423407
2.28,-3.96,0.42376400000000003
2.36,-3.96,0.413767
2.44,-3.96,0.41126799999999997
2.52,-3.96,0.390562
2.6,-3.96,0.37057
2.68,-3.96,0.35771800000000004
2.76,-3.96,0.338083
2.84,-3.96,0.30773700000000004
2.92,-3.96,0.315948
3.0,-3.96,0.28310399999999997
3.08,-3.96,0.270252
3.16,-3.96,0.259185
3.24,-3.96,0.250974
3.32,-3.96,0.242763
3.4,-3.96,0.240264
3.48,-3.96,0.227768
3.56,-3.96,0.19778
3.64,-3.96,0.193496
3.72,-3.96,0.188141
3.8,-3.96,0.167435
3.88,-3.96,0.176717
3.96,-3.96,0.167792
-3.96,-3.88,0.171362
-3.88,-3.88,0.172076
-3.8,-3.88,0.180287
-3.72,-3.88,0.183857
-3.64,-3.88,0.215273
-3.56,-3.88,0.20956100000000003
-3.48,-3.88,0.252759
-3.4,-3.88,0.246333
-3.32,-3.88,0.259542
-3.24,-3.88,0.261327
-3.16,-3.88,0.283818
-3.08,-3.88,0.305238
-3.0,-3.88,0.312378
-2.92,-3.88,0.319875
-2.84,-3.88,0.34093900000000005
-2.76,-3.88,0.373426
-2.68,-3.88,0.370927
-2.6,-3.88,0.38485
-2.52,-3.88,0.41805200000000003
-2.44,-3.88,0.430547
-2.36,-3.88,0.435188
-2.28,-3.88,0.42233600000000004
-2.2,-3.88,0.468746
-2.12,-3.88,0.468746
-2.04,-3.88,0.46481900000000004
-1.96,-3.88,0.5147999999999999
-1.88,-3.88,0.539433
-1.8,-3.88,0.542289
-1.72,-3.88,0.586557
-1.64,-3.88,0.5794170000000001
-1.56,-3.88,0.559425
-1.48,-3.88,0.612976
-1.4,-3.88,0.626899
-1.32,-3.88,0.612976
-1.24,-3.88,0.6336820000000001
-1.16,-3.88,0.6529600000000001
-1.08,-3.88,0.656887
-1.0,-3.88,0.6611710000000001
-0.92,-3.88,0.680806
-0.84,-3.88,0.6811630000000001
-0.76,-3.88,0.70901
-0.68,-3.88,0.7140080000000001
-0.6,-3.88,0.6833049999999999
-0.52,-3.88,0.690088
-0.44,-3.88,0.695086
-0.36,-3.88,0.7136509999999999
-0.28,-3.88,0.7175779999999999
-0.2,-3.88,0.711866
-0.12,-3.88,0.7000850000000001
-0.04,-3.88,0.704726
0.04,-3.88,0.756848
0.12,-3.88,0.740426
0.2,-3.88,0.7154360000000001
0.28,-3.88,0.728645
0.36,-3.88,0.734357
0.44,-3.88,0.7154360000000001
0.52,-3.88,0.707225
0.6,-3.88,0.714722
0.68,-3.88,0.679378
0.76,-3.88,0.671524
0.84,-3.88,0.687232
0.92,-3.88,0.670453
1.0,-3.88,0.641536
1.08,-3.88,0.645463
1.16,-3.88,0.627256
1.24,-3.88,0.648676
1.32,-3.88,0.629755
1.4,-3.88,0.60048
1.48,-3.88,0.5947680000000001
1.56,-3.88,0.585486
1.64,-3.88,0.595125
1.72,-3.88,0.5305080000000001
1.8,-3.88,0.546216
1.88,-3.88,0.537648
1.96,-3.88,0.499805
2.04,-3.88,0.481241
2.12,-3.88,0.479813
2.2,-3.88,0.45875
2.28,-3.88,0.456608
2.36,-3.88,0.434831
2.44,-3.88,0.4409
2.52,-3.88,0.377353
2.6,-3.88,0.383065
2.68,-3.88,0.374497
2.76,-3.88,0.349864
2.84,-3.88,0.33201400000000003
2.92,-3.88,0.308094
3.0,-3.88,0.329158
3.08,-3.88,0.292743
3.16,-3.88,0.27882
3.24,-3.88,0.27703500000000003
3.32,-3.88,0.266325
3.4,-3.88,0.237765
3.48,-3.88,0.230981
3.56,-3.88,0.22241300000000003
3.64,-3.88,0.195281
3.72,-3.88,0.18992599999999998
3.8,-3.88,0.17850200000000002
3.88,-3.88,0.189569
3.96,-3.88,0.155654
-3.96,-3.8,0.172433
-3.88,-3.8,0.177431
-3.8,-3.8,0.192425
-3.72,-3.8,0.203849
-3.64,-3.8,0.232767
-3.56,-3.8,0.232767
-3.48,-3.8,0.246333
-3.4,-3.8,0.248832
-3.32,-3.8,0.289887
-3.24,-3.8,0.288459
-3.16,-3.8,0.310593
-3.08,-3.8,0.320589
-3.0,-3.8,0.32487400000000005
-2.92,-3.8,0.341296
-2.84,-3.8,0.369142
-2.76,-3.8,0.37164100000000005
-2.68,-3.8,0.391633
-2.6,-3.8,0.407698
-2.52,-3.8,0.417695
-2.44,-3.8,0.433046
-2.36,-3.8,0.443399
-2.28,-3.8,0.463034
-2.2,-3.8,0.477314
-2.12,-3.8,0.516942
-2.04,-3.8,0.5319360000000001
-1.96,-3.8,0.560139
-1.88,-3.8,0.548358
-1.8,-3.8,0.570492
-1.72,-3.8,0.587271
-1.64,-3.8,0.58263
-1.56,-3.8,0.601908
-1.48,-3.8,0.65653
-1.4,-3.8,0.650104
-1.32,-3.8,0.664741
-1.24,-3.8,0.65653
-1.16,-3.8,0.6904450000000001
-1.08,-3.8,0.7100810000000001
-1.0,-3.8,0.6847329999999999
-0.92,-3.8,0.7100810000000001
-0.84,-3.8,0.747209
-0.76,-3.8,0.720434
-0.68,-3.8,0.741497
-0.6,-3.8,0.7629170000000001
-0.52,-3.8,0.773984
-0.44,-3.8,0.764702
-0.36,-3.8,0.75899
-0.28,-3.8,0.7689860000000001
-0.2,-3.8,0.7307870000000001
-0.12,-3.8,0.794334
-0.04,-3.8,0.781838
0.04,-3.8,0.752564
0.12,-3.8,0.7514930000000001
0.2,-3.8,0.77327
0.28,-3.8,0.7611319999999999
0.36,-3.8,0.746852
0.44,-3.8,0.739712
0.52,-3.8,0.731144
0.6,-3.8,0.735071
0.68,-3.8,0.7322150000000001
0.76,-3.8,0.734357
0.84,-3.8,0.7293590000000001
0.92,-3.8,0.7207910000000001
1.0,-3.8,0.687232
1.08,-3.8,0.6875890000000001
1.16,-3.8,0.6825910000000001
1.24,-3.8,0.6890170000000001
1.32,-3.8,0.674737
1.4,-3.8,0.636538
1.48,-3.8,0.628327
1.56,-3.8,0.636538
1.64,-3.8,0.591198
1.72,-3.8,0.563352
1.8,-3.8,0.5626380000000001
1.88,-3.8,0.539433
1.96,-3.8,0.5455019999999999
2.04,-3.8,0.514443
2.12,-3.8,0.492308
2.2,-3.8,0.486239
2.28,-3.8,0.468032
2.36,-3.8,0.45375200000000004
2.44,-3.8,0.42876200000000003
2.52,-3.8,0.42305000000000004
2.6,-3.8,0.407341
2.68,-3.8,0.393775
2.76,-3.8,0.382351
2.84,-3.8,0.36878500000000003
2.92,-3.8,0.334513
3.0,-3.8,0.300597
3.08,-3.8,0.299883
3.16,-3.8,0.296313
3.24,-3.8,0.283461
3.32,-3.8,0.267396
3.4,-3.8,0.26668200000000003
3.48,-3.8,0.245976
3.56,-3.8,0.224912
3.64,-3.8,0.217058
3.72,-3.8,0.221342
3.8,-3.8,0.18135800000000002
3.88,-3.8,0.20706200000000002
3.96,-3.8,0.161366
-3.96,-3.72,0.177074
-3.88,-3.72,0.21277400000000002
-3.8,-3.72,0.199922
-3.72,-3.72,0.223841
-3.64,-3.72,0.245262
-3.56,-3.72,0.23955
-3.48,-3.72,0.252759
-3.4,-3.72,0.269181
-3.32,-3.72,0.273822
-3.24,-3.72,0.294885
-3.16,-3.72,0.30559500000000006
-3.08,-3.72,0.333799
-3.0,-3.72,0.350935
-2.92,-3.72,0.375568
-2.84,-3.72,0.35878899999999997
-2.76,-3.72,0.38413600000000003
-2.68,-3.72,0.405913
-2.6,-3.72,0.431618
-2.52,-3.72,0.47231599999999996
-2.44,-3.72,0.467675
-2.36,-3.72,0.50516
-2.28,-3.72,0.497663
-2.2,-3.72,0.5133719999999999
-2.12,-3.72,0.534435
-2.04,-3.72,0.541218
-1.96,-3.72,0.557283
-1.88,-3.72,0.606193
-1.8,-3.72,0.5972670000000001
-1.72,-3.72,0.617617
-1.64,-3.72,0.65653
-1.56,-3.72,0.6529600000000001
-1.48,-3.72,0.648676
-1.4,-3.72,0.6683110000000001
-1.32,-3.72,0.72329
-1.24,-3.72,0.684376
-1.16,-3.72,0.715079
-1.08,-3.72,0.7307870000000001
-1.0,-3.72,0.739355
-0.92,-3.72,0.7500650000000001
-0.84,-3.72,0.75899
-0.76,-3.72,0.767558
-0.68,-3.72,0.796476
-0.6,-3.72,0.7889790000000001
-0.52,-3.72,0.795762
-0.44,-3.72,0.798261
-0.36,-3.72,0.8171820000000001
-0.28,-3.72,0.8039729999999999
-0.2,-3.72,0.8125410000000001
-0.12,-3.72,0.820038
-0.04,-3.72,0.817539
0.04,-3.72,0.800046
0.12,-3.72,0.8246789999999999
0.2,-3.72,0.7836230000000001
0.28,-3.72,0.794691
0.36,-3.72,0.806829
0.44,-3.72,0.82575
0.52,-3.72,0.824322
0.6,-3.72,0.793977
0.68,-3.72,0.785408
0.76,-3.72,0.770057
0.84,-3.72,0.767558
0.92,-3.72,0.764702
1.0,-3.72,0.709724
1.08,-3.72,0.7140080000000001
1.16,-3.72,0.703655
1.24,-3.72,0.725075
1.32,-3.72,0.6825910000000001
1.4,-3.72,0.676165
1.48,-3.72,0.6583150000000001
1.56,-3.72,0.6222580000000001
1.64,-3.72,0.640108
1.72,-3.72,0.609763
1.8,-3.72,0.5915549999999999
1.88,-3.72,0.577275
1.96,-3.72,0.5540700000000001
2.04,-3.72,0.556569
2.12,-3.72,0.529794
2.2,-3.72,0.519798
2.28,-3.72,0.498734
2.36,-3.72,0.484454
2.44,-3.72,0.46017800000000003
2.52,-3.72,0.435902
2.6,-3.72,0.434831
2.68,-3.72,0.420551
2.76,-3.72,0.419837
2.84,-3.72,0.39591699999999996
2.92,-3.72,0.37235500000000005
3.0,-3.72,0.34165300000000004
3.08,-3.72,0.318804
3.16,-3.72,0.318804
3.24,-3.72,0.303453
3.32,-3.72,0.284889
3.4,-3.72,0.262041
3.48,-3.72,0.260256
3.56,-3.72,0.25133099999999997
3.64,-3.72,0.232053
3.72,-3.72,0.242406
3.8,-3.72,0.20956100000000003
3.88,-3.72,0.185642
3.96,-3.72,0.188498
-3.96,-3.64,0.19171100000000002
-3.88,-3.64,0.199208
-3.8,-3.64,0.227054
-3.72,-3.64,0.227054
-3.64,-3.64,0.260256
-3.56,-3.64,0.246333
-3.48,-3.64,0.25525800000000004
-3.4,-3.64,0.290601
-3.32,-3.64,0.295956
-3.24,-3.64,0.31095
-3.16,-3.64,0.344866
-3.08,-3.64,0.364144
-3.0,-3.64,0.36807100000000004
-2.92,-3.64,0.387349
-2.84,-3.64,0.39591699999999996
-2.76,-3.64,0.426977
-2.68,-3.64,0.43268900000000005
-2.6,-3.64,0.454823
-2.52,-3.64,0.463034
-2.44,-3.64,0.5162279999999999
-2.36,-3.64,0.494093
-2.28,-3.64,0.551571
-2.2,-3.64,0.5526420000000001
-2.12,-3.64,0.562995
-2.04,-3.64,0.5790599999999999
-1.96,-3.64,0.614047
-1.88,-3.64,0.615118
-1.8,-3.64,0.61012
-1.72,-3.64,0.637966
-1.64,-3.64,0.696515
-1.56,-3.64,0.675808
-1.48,-3.64,0.726146
-1.4,-3.64,0.7154360000000001
-1.32,-3.64,0.759347
-1.24,-3.64,0.716507
-1.16,-3.64,0.766487
-1.08,-3.64,0.7307870000000001
-1.0,-3.64,0.8039729999999999
-0.92,-3.64,0.791121
-0.84,-3.64,0.844314
-0.76,-3.64,0.813612
-0.68,-3.64,0.855024
-0.6,-3.64,0.827535
-0.52,-3.64,0.8607360000000001
-0.44,-3.64,0.868947
-0.36,-3.64,0.86145
-0.28,-3.64,0.8668049999999999
-0.2,-3.64,0.885727
-0.12,-3.64,0.866091
-0.04,-3.64,0.8532390000000001
0.04,-3.64,0.865377
