Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
A_1.1.1,100.0009602,100.0009602,0,0,10000000,2.8065104167,-,0.977955,-,Tonatiuh
A_1.1.2,99.99843012,99.99843012,0,0,10000000,2.6690104167,-,0.97205,-,Tonatiuh
A_1.1.3,100.00134172,100.00134172,0,0,10000000,2.6856770833,-,0.970507,-,Tonatiuh
A_1.2.1,100.0006181573,99.987513395,0.0131047622,0,40000000,10.6421875,-,0.0025572,-,Tonatiuh
A_1.2.2,100.0011343826,91.1066679667,8.894466416,0,60000000,15.2380208333,-,0.00747923,-,Tonatiuh
A_1.2.3,99.999558616,66.841880312,33.157678304,0,100000000,31.9069253,-,0.0102449,-,Tonatiuh
A_2.1,99.9903664955,99.9903664955,0,0,60000000,2,-,0.002994432,-,Tonatiuh
A_2.2,0,0,0,0,0,0,0,0,0,Tonatiuh
A_2.3.1,100.0014523547,99.2686986268,0.7327537279,0,500000000,4.5997395833,-,0.000282241,-,Tonatiuh
A_2.3.2,100.009662181,98.6905236902,1.3191384908,0,500000000,4.6765625,-,0.00431193,-,Tonatiuh
A_2.3.3,99.9721536115,97.9958250616,1.9763285499,0,1000000000,9.7872395833,-,0.003077196,-,Tonatiuh
A_3.1,99.9914112362,83.9265836185,16.0648276178,0,200000000,-,-,0.00335429,-,Tonatiuh
A_3.2,100.0166526102,83.430787096,16.5858655142,0,800000000,-,-,0.0003844,-,Tonatiuh
