x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.000284
-3.88,-2.97,0.000379
-3.8,-2.97,0.000473
-3.72,-2.97,0.000693
-3.64,-2.97,0.000724
-3.56,-2.97,0.001037
-3.48,-2.97,0.001194
-3.4,-2.97,0.001255
-3.32,-2.97,0.001724
-3.24,-2.97,0.002194
-3.16,-2.97,0.001817
-3.08,-2.97,0.002158
-3.0,-2.97,0.00328
-2.92,-2.97,0.002775
-2.84,-2.97,0.003674
-2.76,-2.97,0.003334
-2.68,-2.97,0.00489
-2.6,-2.97,0.00414
-2.52,-2.97,0.005537
-2.44,-2.97,0.006091
-2.36,-2.97,0.006297
-2.28,-2.97,0.006756
-2.2,-2.97,0.007739
-2.12,-2.97,0.007765
-2.04,-2.97,0.009276
-1.96,-2.97,0.012416
-1.88,-2.97,0.013208
-1.8,-2.97,0.018651
-1.72,-2.97,0.025174
-1.64,-2.97,0.036369
-1.56,-2.97,0.060261
-1.48,-2.97,0.085866
-1.4,-2.97,0.128752
-1.32,-2.97,0.185102
-1.24,-2.97,0.257277
-1.16,-2.97,0.340201
-1.08,-2.97,0.431953
-0.999999,-2.97,0.522528
-0.92,-2.97,0.612887
-0.84,-2.97,0.683512
-0.76,-2.97,0.727502
-0.68,-2.97,0.748927
-0.6,-2.97,0.755688
-0.52,-2.97,0.729529
-0.44,-2.97,0.703866
-0.36,-2.97,0.645006
-0.28,-2.97,0.599218
-0.2,-2.97,0.536341
-0.12,-2.97,0.475876
-0.04,-2.97,0.432921
0.04,-2.97,0.378517
0.12,-2.97,0.339929
0.199999,-2.97,0.305123
0.28,-2.97,0.278967
0.36,-2.97,0.248095
0.44,-2.97,0.223945
0.52,-2.97,0.20201
0.6,-2.97,0.185196
0.68,-2.97,0.165438
0.76,-2.97,0.155798
0.84,-2.97,0.144171
0.92,-2.97,0.13408
0.999999,-2.97,0.120743
1.08,-2.97,0.108533
1.16,-2.97,0.101451
1.24,-2.97,0.089599
1.32,-2.97,0.085132
1.4,-2.97,0.068763
1.48,-2.97,0.059612
1.56,-2.97,0.05078
1.64,-2.97,0.041412
1.72,-2.97,0.035686
1.8,-2.97,0.028038
1.88,-2.97,0.022139
1.96,-2.97,0.017044
2.04,-2.97,0.014208
2.12,-2.97,0.012391
2.2,-2.97,0.009958
2.28,-2.97,0.008485
2.36,-2.97,0.007687
2.44,-2.97,0.006135
2.52,-2.97,0.005686
2.6,-2.97,0.00504
2.68,-2.97,0.004832
2.76,-2.97,0.004591
2.84,-2.97,0.003921
2.92,-2.97,0.00325
3.0,-2.97,0.003737
3.08,-2.97,0.002663
3.16,-2.97,0.002948
3.24,-2.97,0.002164
3.32,-2.97,0.002048
3.4,-2.97,0.002132
3.48,-2.97,0.001181
3.56,-2.97,0.00158
3.64,-2.97,0.00112
3.72,-2.97,0.000975
3.8,-2.97,0.000658
3.88,-2.97,0.000658
3.96,-2.97,0.000601
-3.96,-2.91,0.000157
-3.88,-2.91,0.000536
-3.8,-2.91,0.000567
-3.72,-2.91,0.000535
-3.64,-2.91,0.000724
-3.56,-2.91,0.001291
-3.48,-2.91,0.001289
-3.4,-2.91,0.00154
-3.32,-2.91,0.001692
-3.24,-2.91,0.002132
-3.16,-2.91,0.00216
-3.08,-2.91,0.002753
-3.0,-2.91,0.002812
-2.92,-2.91,0.003279
-2.84,-2.91,0.004025
-2.76,-2.91,0.003427
-2.68,-2.91,0.004612
-2.6,-2.91,0.004384
-2.52,-2.91,0.004913
-2.44,-2.91,0.005965
-2.36,-2.91,0.006616
-2.28,-2.91,0.007539
-2.2,-2.91,0.008205
-2.12,-2.91,0.008507
-2.04,-2.91,0.010169
-1.96,-2.91,0.012169
-1.88,-2.91,0.014778
-1.8,-2.91,0.020455
-1.72,-2.91,0.02801
-1.64,-2.91,0.042307
-1.56,-2.91,0.068585
-1.48,-2.91,0.101087
-1.4,-2.91,0.151108
-1.32,-2.91,0.222299
-1.24,-2.91,0.305794
-1.16,-2.91,0.406813
-1.08,-2.91,0.507607
-0.999999,-2.91,0.630956
-0.92,-2.91,0.728716
-0.84,-2.91,0.818771
-0.76,-2.91,0.876063
-0.68,-2.91,0.891215
-0.6,-2.91,0.896304
-0.52,-2.91,0.873795
-0.44,-2.91,0.842086
-0.36,-2.91,0.777235
-0.28,-2.91,0.721569
-0.2,-2.91,0.640173
-0.12,-2.91,0.575438
-0.04,-2.91,0.527972
0.04,-2.91,0.470473
0.12,-2.91,0.420341
0.199999,-2.91,0.380095
0.28,-2.91,0.342899
0.36,-2.91,0.314194
0.44,-2.91,0.28603
0.52,-2.91,0.258752
0.6,-2.91,0.233234
0.68,-2.91,0.221736
0.76,-2.91,0.201103
0.84,-2.91,0.184986
0.92,-2.91,0.169716
0.999999,-2.91,0.157322
1.08,-2.91,0.144664
1.16,-2.91,0.132769
1.24,-2.91,0.118
1.32,-2.91,0.107751
1.4,-2.91,0.089271
1.48,-2.91,0.078644
1.56,-2.91,0.066025
1.64,-2.91,0.054777
1.72,-2.91,0.042064
1.8,-2.91,0.032051
1.88,-2.91,0.027593
1.96,-2.91,0.019701
2.04,-2.91,0.016644
2.12,-2.91,0.013559
2.2,-2.91,0.010481
2.28,-2.91,0.008639
2.36,-2.91,0.007595
2.44,-2.91,0.006022
2.52,-2.91,0.006274
2.6,-2.91,0.00487
2.68,-2.91,0.004602
2.76,-2.91,0.00448
2.84,-2.91,0.004711
2.92,-2.91,0.003133
3.0,-2.91,0.00342
3.08,-2.91,0.002842
3.16,-2.91,0.002978
3.24,-2.91,0.002226
3.32,-2.91,0.00199
3.4,-2.91,0.001846
3.48,-2.91,0.001553
3.56,-2.91,0.001035
3.64,-2.91,0.001005
3.72,-2.91,0.001263
3.8,-2.91,0.00109
3.88,-2.91,0.000573
3.96,-2.91,0.0004
-3.96,-2.85,0.000284
-3.88,-2.85,0.000726
-3.8,-2.85,0.000347
-3.72,-2.85,0.000883
-3.64,-2.85,0.000725
-3.56,-2.85,0.001288
-3.48,-2.85,0.001004
-3.4,-2.85,0.001382
-3.32,-2.85,0.00179
-3.24,-2.85,0.001818
-3.16,-2.85,0.002508
-3.08,-2.85,0.002846
-3.0,-2.85,0.002656
-2.92,-2.85,0.003312
-2.84,-2.85,0.003182
-2.76,-2.85,0.003959
-2.68,-2.85,0.004984
-2.6,-2.85,0.004981
-2.52,-2.85,0.006094
-2.44,-2.85,0.005224
-2.36,-2.85,0.006672
-2.28,-2.85,0.008528
-2.2,-2.85,0.007989
-2.12,-2.85,0.009349
-2.04,-2.85,0.011441
-1.96,-2.85,0.011593
-1.88,-2.85,0.01676
-1.8,-2.85,0.02316
-1.72,-2.85,0.032056
-1.64,-2.85,0.049783
-1.56,-2.85,0.078107
-1.48,-2.85,0.119683
-1.4,-2.85,0.180967
-1.32,-2.85,0.264177
-1.24,-2.85,0.361384
-1.16,-2.85,0.477859
-1.08,-2.85,0.608515
-0.999999,-2.85,0.739818
-0.92,-2.85,0.839608
-0.84,-2.85,0.955588
-0.76,-2.85,1.03078
-0.68,-2.85,1.070675
-0.6,-2.85,1.066545
-0.52,-2.85,1.055125
-0.44,-2.85,1.004393
-0.36,-2.85,0.934999
-0.28,-2.85,0.860791
-0.2,-2.85,0.786526
-0.12,-2.85,0.711266
-0.04,-2.85,0.637128
0.04,-2.85,0.582483
0.12,-2.85,0.525811
0.199999,-2.85,0.471521
0.28,-2.85,0.432439
0.36,-2.85,0.392614
0.44,-2.85,0.361029
0.52,-2.85,0.325705
0.6,-2.85,0.307299
0.68,-2.85,0.281614
0.76,-2.85,0.253813
0.84,-2.85,0.2384
0.92,-2.85,0.219106
0.999999,-2.85,0.205968
1.08,-2.85,0.185173
1.16,-2.85,0.165841
1.24,-2.85,0.154433
1.32,-2.85,0.1368
1.4,-2.85,0.118659
1.48,-2.85,0.099198
1.56,-2.85,0.084446
1.64,-2.85,0.069526
1.72,-2.85,0.054273
1.8,-2.85,0.044424
1.88,-2.85,0.03251
1.96,-2.85,0.024726
2.04,-2.85,0.019223
2.12,-2.85,0.014261
2.2,-2.85,0.011631
2.28,-2.85,0.010118
2.36,-2.85,0.008452
2.44,-2.85,0.00637
2.52,-2.85,0.005987
2.6,-2.85,0.006332
2.68,-2.85,0.004744
2.76,-2.85,0.004019
2.84,-2.85,0.004826
2.92,-2.85,0.004181
3.0,-2.85,0.003075
3.08,-2.85,0.002809
3.16,-2.85,0.002113
3.24,-2.85,0.002255
3.32,-2.85,0.001991
3.4,-2.85,0.0017
3.48,-2.85,0.001556
3.56,-2.85,0.001381
3.64,-2.85,0.001005
3.72,-2.85,0.001004
3.8,-2.85,0.000975
3.88,-2.85,0.000744
3.96,-2.85,0.000743
-3.96,-2.79,0.000284
-3.88,-2.79,0.000883
-3.8,-2.79,0.000663
-3.72,-2.79,0.00082
-3.64,-2.79,0.000976
-3.56,-2.79,0.001006
-3.48,-2.79,0.001353
-3.4,-2.79,0.001287
-3.32,-2.79,0.001757
-3.24,-2.79,0.002318
-3.16,-2.79,0.001976
-3.08,-2.79,0.002692
-3.0,-2.79,0.002971
-2.92,-2.79,0.003752
-2.84,-2.79,0.003995
-2.76,-2.79,0.004584
-2.68,-2.79,0.004709
-2.6,-2.79,0.005013
-2.52,-2.79,0.005224
-2.44,-2.79,0.006903
-2.36,-2.79,0.007263
-2.28,-2.79,0.006978
-2.2,-2.79,0.007895
-2.12,-2.79,0.009692
-2.04,-2.79,0.010859
-1.96,-2.79,0.013752
-1.88,-2.79,0.016274
-1.8,-2.79,0.023722
-1.72,-2.79,0.036873
-1.64,-2.79,0.057866
-1.56,-2.79,0.089206
-1.48,-2.79,0.141534
-1.4,-2.79,0.207595
-1.32,-2.79,0.308907
-1.24,-2.79,0.419157
-1.16,-2.79,0.558512
-1.08,-2.79,0.715925
-0.999999,-2.79,0.856966
-0.92,-2.79,1.003105
-0.84,-2.79,1.12199
-0.76,-2.79,1.209135
-0.68,-2.79,1.249485
-0.6,-2.79,1.244905
-0.52,-2.79,1.229945
-0.44,-2.79,1.165115
-0.36,-2.79,1.11298
-0.28,-2.79,1.021947
-0.2,-2.79,0.937701
-0.12,-2.79,0.858488
-0.04,-2.79,0.780919
0.04,-2.79,0.706087
0.12,-2.79,0.636039
0.199999,-2.79,0.583149
0.28,-2.79,0.522819
0.36,-2.79,0.485806
0.44,-2.79,0.447688
0.52,-2.79,0.421563
0.6,-2.79,0.37446
0.68,-2.79,0.35228
0.76,-2.79,0.323815
0.84,-2.79,0.303927
0.92,-2.79,0.277593
0.999999,-2.79,0.263602
1.08,-2.79,0.237354
1.16,-2.79,0.218695
1.24,-2.79,0.195785
1.32,-2.79,0.175839
1.4,-2.79,0.148186
1.48,-2.79,0.126982
1.56,-2.79,0.105518
1.64,-2.79,0.084438
1.72,-2.79,0.066851
1.8,-2.79,0.052666
1.88,-2.79,0.039534
1.96,-2.79,0.02868
2.04,-2.79,0.023287
2.12,-2.79,0.01631
2.2,-2.79,0.013207
2.28,-2.79,0.009895
2.36,-2.79,0.009011
2.44,-2.79,0.007042
2.52,-2.79,0.005899
2.6,-2.79,0.006125
2.68,-2.79,0.005098
2.76,-2.79,0.004249
2.84,-2.79,0.004215
2.92,-2.79,0.003773
3.0,-2.79,0.003508
3.08,-2.79,0.002608
3.16,-2.79,0.001912
3.24,-2.79,0.00266
3.32,-2.79,0.002136
3.4,-2.79,0.001904
3.48,-2.79,0.001843
3.56,-2.79,0.001208
3.64,-2.79,0.001437
3.72,-2.79,0.001149
3.8,-2.79,0.000803
3.88,-2.79,0.000861
3.96,-2.79,0.000658
-3.96,-2.73,0.000316
-3.88,-2.73,0.000537
-3.8,-2.73,0.00063
-3.72,-2.73,0.000945
-3.64,-2.73,0.001072
-3.56,-2.73,0.001038
-3.48,-2.73,0.001224
-3.4,-2.73,0.001603
-3.32,-2.73,0.002261
-3.24,-2.73,0.001725
-3.16,-2.73,0.002383
-3.08,-2.73,0.002974
-3.0,-2.73,0.00297
-2.92,-2.73,0.00294
-2.84,-2.73,0.003183
-2.76,-2.73,0.003677
-2.68,-2.73,0.005013
-2.6,-2.73,0.005322
-2.52,-2.73,0.006158
-2.44,-2.73,0.005967
-2.36,-2.73,0.006894
-2.28,-2.73,0.006948
-2.2,-2.73,0.008918
-2.12,-2.73,0.010464
-2.04,-2.73,0.010606
-1.96,-2.73,0.014424
-1.88,-2.73,0.018769
-1.8,-2.73,0.025085
-1.72,-2.73,0.039775
-1.64,-2.73,0.064045
-1.56,-2.73,0.10431
-1.48,-2.73,0.16518
-1.4,-2.73,0.239115
-1.32,-2.73,0.356032
-1.24,-2.73,0.491107
-1.16,-2.73,0.65333
-1.08,-2.73,0.823257
-0.999999,-2.73,0.992263
-0.92,-2.73,1.15393
-0.84,-2.73,1.2906
-0.76,-2.73,1.4076
-0.68,-2.73,1.443365
-0.6,-2.73,1.464635
-0.52,-2.73,1.433365
-0.44,-2.73,1.37909
-0.36,-2.73,1.300895
-0.28,-2.73,1.20654
-0.2,-2.73,1.117025
-0.12,-2.73,1.022518
-0.04,-2.73,0.941984
0.04,-2.73,0.858986
0.12,-2.73,0.77654
0.199999,-2.73,0.711724
0.28,-2.73,0.652559
0.36,-2.73,0.591458
0.44,-2.73,0.552777
0.52,-2.73,0.511702
0.6,-2.73,0.476765
0.68,-2.73,0.442339
0.76,-2.73,0.40594
0.84,-2.73,0.38167
0.92,-2.73,0.351697
0.999999,-2.73,0.328645
1.08,-2.73,0.30142
1.16,-2.73,0.274141
1.24,-2.73,0.250857
1.32,-2.73,0.220687
1.4,-2.73,0.188976
1.48,-2.73,0.160216
1.56,-2.73,0.132914
1.64,-2.73,0.107678
1.72,-2.73,0.085199
1.8,-2.73,0.064651
1.88,-2.73,0.048589
1.96,-2.73,0.03509
2.04,-2.73,0.026273
2.12,-2.73,0.018792
2.2,-2.73,0.014954
2.28,-2.73,0.011294
2.36,-2.73,0.008244
2.44,-2.73,0.007683
2.52,-2.73,0.007094
2.6,-2.73,0.006591
2.68,-2.73,0.005596
2.76,-2.73,0.004365
2.84,-2.73,0.004887
2.92,-2.73,0.003373
3.0,-2.73,0.003047
3.08,-2.73,0.003098
3.16,-2.73,0.002546
3.24,-2.73,0.002543
3.32,-2.73,0.001964
3.4,-2.73,0.002049
3.48,-2.73,0.001731
3.56,-2.73,0.001553
3.64,-2.73,0.001236
3.72,-2.73,0.001062
3.8,-2.73,0.000831
3.88,-2.73,0.000916
3.96,-2.73,0.000687
-3.96,-2.67,0.000315
-3.88,-2.67,0.000663
-3.8,-2.67,0.000632
-3.72,-2.67,0.000913
-3.64,-2.67,0.000882
-3.56,-2.67,0.001416
-3.48,-2.67,0.001416
-3.4,-2.67,0.001446
-3.32,-2.67,0.001666
-3.24,-2.67,0.002386
-3.16,-2.67,0.002665
-3.08,-2.67,0.002474
-3.0,-2.67,0.003315
-2.92,-2.67,0.003534
-2.84,-2.67,0.00347
-2.76,-2.67,0.00515
-2.68,-2.67,0.004585
-2.6,-2.67,0.004856
-2.52,-2.67,0.005885
-2.44,-2.67,0.007682
-2.36,-2.67,0.007669
-2.28,-2.67,0.008534
-2.2,-2.67,0.008896
-2.12,-2.67,0.010369
-2.04,-2.67,0.011881
