x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.258
-3.88,-2.97,0.269
-3.8,-2.97,0.28
-3.72,-2.97,0.291
-3.64,-2.97,0.302
-3.56,-2.97,0.313
-3.48,-2.97,0.325
-3.4,-2.97,0.337
-3.32,-2.97,0.349
-3.24,-2.97,0.361
-3.16,-2.97,0.373
-3.08,-2.97,0.386
-3,-2.97,0.399
-2.92,-2.97,0.411
-2.84,-2.97,0.424
-2.76,-2.97,0.437
-2.68,-2.97,0.45
-2.6,-2.97,0.464
-2.52,-2.97,0.477
-2.44,-2.97,0.49
-2.36,-2.97,0.503
-2.28,-2.97,0.516
-2.2,-2.97,0.53
-2.12,-2.97,0.543
-2.04,-2.97,0.556
-1.96,-2.97,0.569
-1.88,-2.97,0.582
-1.8,-2.97,0.595
-1.72,-2.97,0.608
-1.64,-2.97,0.62
-1.56,-2.97,0.633
-1.48,-2.97,0.645
-1.4,-2.97,0.657
-1.32,-2.97,0.669
-1.24,-2.97,0.68
-1.16,-2.97,0.691
-1.08,-2.97,0.702
-1,-2.97,0.713
-0.92,-2.97,0.723
-0.84,-2.97,0.733
-0.76,-2.97,0.743
-0.68,-2.97,0.752
-0.6,-2.97,0.761
-0.52,-2.97,0.769
-0.44,-2.97,0.777
-0.36,-2.97,0.785
-0.28,-2.97,0.792
-0.2,-2.97,0.799
-0.12,-2.97,0.805
-0.04,-2.97,0.811
0.04,-2.97,0.816
0.12,-2.97,0.82
0.2,-2.97,0.825
0.28,-2.97,0.828
0.36,-2.97,0.831
0.44,-2.97,0.834
0.52,-2.97,0.836
0.6,-2.97,0.837
0.68,-2.97,0.838
0.76,-2.97,0.838
0.84,-2.97,0.838
0.92,-2.97,0.837
1,-2.97,0.836
1.08,-2.97,0.834
1.16,-2.97,0.831
1.24,-2.97,0.828
1.32,-2.97,0.825
1.4,-2.97,0.821
1.48,-2.97,0.816
1.56,-2.97,0.811
1.64,-2.97,0.805
1.72,-2.97,0.799
1.8,-2.97,0.792
1.88,-2.97,0.785
1.96,-2.97,0.778
2.04,-2.97,0.77
2.12,-2.97,0.761
2.2,-2.97,0.752
2.28,-2.97,0.743
2.36,-2.97,0.733
2.44,-2.97,0.723
2.52,-2.97,0.713
2.6,-2.97,0.702
2.68,-2.97,0.691
2.76,-2.97,0.68
2.84,-2.97,0.668
2.92,-2.97,0.657
3,-2.97,0.644
3.08,-2.97,0.632
3.16,-2.97,0.62
3.24,-2.97,0.607
3.32,-2.97,0.594
3.4,-2.97,0.581
3.48,-2.97,0.568
3.56,-2.97,0.555
3.64,-2.97,0.542
3.72,-2.97,0.529
3.8,-2.97,0.516
3.88,-2.97,0.502
3.96,-2.97,0.489
-3.96,-2.91,0.269
-3.88,-2.91,0.28
-3.8,-2.91,0.291
-3.72,-2.91,0.303
-3.64,-2.91,0.314
-3.56,-2.91,0.326
-3.48,-2.91,0.338
-3.4,-2.91,0.35
-3.32,-2.91,0.363
-3.24,-2.91,0.376
-3.16,-2.91,0.388
-3.08,-2.91,0.401
-3,-2.91,0.414
-2.92,-2.91,0.428
-2.84,-2.91,0.441
-2.76,-2.91,0.454
-2.68,-2.91,0.468
-2.6,-2.91,0.481
-2.52,-2.91,0.495
-2.44,-2.91,0.509
-2.36,-2.91,0.522
-2.28,-2.91,0.536
-2.2,-2.91,0.55
-2.12,-2.91,0.563
-2.04,-2.91,0.577
-1.96,-2.91,0.59
-1.88,-2.91,0.603
-1.8,-2.91,0.617
-1.72,-2.91,0.63
-1.64,-2.91,0.643
-1.56,-2.91,0.656
-1.48,-2.91,0.668
-1.4,-2.91,0.68
-1.32,-2.91,0.692
-1.24,-2.91,0.704
-1.16,-2.91,0.716
-1.08,-2.91,0.727
-1,-2.91,0.738
-0.92,-2.91,0.749
-0.84,-2.91,0.759
-0.76,-2.91,0.769
-0.68,-2.91,0.778
-0.6,-2.91,0.787
-0.52,-2.91,0.796
-0.44,-2.91,0.804
-0.36,-2.91,0.812
-0.28,-2.91,0.819
-0.2,-2.91,0.826
-0.12,-2.91,0.832
-0.04,-2.91,0.838
0.04,-2.91,0.843
0.12,-2.91,0.848
0.2,-2.91,0.852
0.28,-2.91,0.855
0.36,-2.91,0.858
0.44,-2.91,0.861
0.52,-2.91,0.863
0.6,-2.91,0.864
0.68,-2.91,0.865
0.76,-2.91,0.865
0.84,-2.91,0.865
0.92,-2.91,0.864
1,-2.91,0.862
1.08,-2.91,0.86
1.16,-2.91,0.857
1.24,-2.91,0.854
1.32,-2.91,0.85
1.4,-2.91,0.846
1.48,-2.91,0.841
1.56,-2.91,0.836
1.64,-2.91,0.83
1.72,-2.91,0.823
1.8,-2.91,0.816
1.88,-2.91,0.809
1.96,-2.91,0.801
2.04,-2.91,0.793
2.12,-2.91,0.784
2.2,-2.91,0.775
2.28,-2.91,0.765
2.36,-2.91,0.755
2.44,-2.91,0.745
2.52,-2.91,0.734
2.6,-2.91,0.723
2.68,-2.91,0.711
2.76,-2.91,0.7
2.84,-2.91,0.688
2.92,-2.91,0.676
3,-2.91,0.663
3.08,-2.91,0.65
3.16,-2.91,0.638
3.24,-2.91,0.624
3.32,-2.91,0.611
3.4,-2.91,0.598
3.48,-2.91,0.584
3.56,-2.91,0.571
3.64,-2.91,0.557
3.72,-2.91,0.544
3.8,-2.91,0.53
3.88,-2.91,0.516
3.96,-2.91,0.503
-3.96,-2.85,0.28
-3.88,-2.85,0.291
-3.8,-2.85,0.303
-3.72,-2.85,0.315
-3.64,-2.85,0.327
-3.56,-2.85,0.339
-3.48,-2.85,0.352
-3.4,-2.85,0.364
-3.32,-2.85,0.377
-3.24,-2.85,0.39
-3.16,-2.85,0.403
-3.08,-2.85,0.417
-3,-2.85,0.43
-2.92,-2.85,0.444
-2.84,-2.85,0.458
-2.76,-2.85,0.472
-2.68,-2.85,0.485
-2.6,-2.85,0.499
-2.52,-2.85,0.514
-2.44,-2.85,0.528
-2.36,-2.85,0.542
-2.28,-2.85,0.556
-2.2,-2.85,0.57
-2.12,-2.85,0.584
-2.04,-2.85,0.598
-1.96,-2.85,0.612
-1.88,-2.85,0.625
-1.8,-2.85,0.639
-1.72,-2.85,0.652
-1.64,-2.85,0.666
-1.56,-2.85,0.679
-1.48,-2.85,0.692
-1.4,-2.85,0.704
-1.32,-2.85,0.717
-1.24,-2.85,0.729
-1.16,-2.85,0.741
-1.08,-2.85,0.752
-1,-2.85,0.763
-0.92,-2.85,0.774
-0.84,-2.85,0.785
-0.76,-2.85,0.795
-0.68,-2.85,0.805
-0.6,-2.85,0.814
-0.52,-2.85,0.823
-0.44,-2.85,0.831
-0.36,-2.85,0.839
-0.28,-2.85,0.846
-0.2,-2.85,0.853
-0.12,-2.85,0.859
-0.04,-2.85,0.865
0.04,-2.85,0.87
0.12,-2.85,0.875
0.2,-2.85,0.879
0.28,-2.85,0.883
0.36,-2.85,0.886
0.44,-2.85,0.888
0.52,-2.85,0.89
0.6,-2.85,0.892
0.68,-2.85,0.892
0.76,-2.85,0.892
0.84,-2.85,0.892
0.92,-2.85,0.891
1,-2.85,0.889
1.08,-2.85,0.887
1.16,-2.85,0.884
1.24,-2.85,0.88
1.32,-2.85,0.876
1.4,-2.85,0.872
1.48,-2.85,0.867
1.56,-2.85,0.861
1.64,-2.85,0.855
1.72,-2.85,0.848
1.8,-2.85,0.841
1.88,-2.85,0.833
1.96,-2.85,0.825
2.04,-2.85,0.816
2.12,-2.85,0.807
2.2,-2.85,0.797
2.28,-2.85,0.787
2.36,-2.85,0.777
2.44,-2.85,0.766
2.52,-2.85,0.755
2.6,-2.85,0.744
2.68,-2.85,0.732
2.76,-2.85,0.72
2.84,-2.85,0.707
2.92,-2.85,0.695
3,-2.85,0.682
3.08,-2.85,0.669
3.16,-2.85,0.655
3.24,-2.85,0.642
3.32,-2.85,0.628
3.4,-2.85,0.614
3.48,-2.85,0.601
3.56,-2.85,0.587
3.64,-2.85,0.573
3.72,-2.85,0.558
3.8,-2.85,0.544
3.88,-2.85,0.53
3.96,-2.85,0.516
-3.96,-2.79,0.291
-3.88,-2.79,0.303
-3.8,-2.79,0.315
-3.72,-2.79,0.327
-3.64,-2.79,0.34
-3.56,-2.79,0.352
-3.48,-2.79,0.365
-3.4,-2.79,0.378
-3.32,-2.79,0.392
-3.24,-2.79,0.405
-3.16,-2.79,0.419
-3.08,-2.79,0.433
-3,-2.79,0.447
-2.92,-2.79,0.461
-2.84,-2.79,0.475
-2.76,-2.79,0.489
-2.68,-2.79,0.503
-2.6,-2.79,0.518
-2.52,-2.79,0.532
-2.44,-2.79,0.547
-2.36,-2.79,0.561
-2.28,-2.79,0.576
-2.2,-2.79,0.59
-2.12,-2.79,0.605
-2.04,-2.79,0.619
-1.96,-2.79,0.633
-1.88,-2.79,0.647
-1.8,-2.79,0.661
-1.72,-2.79,0.675
-1.64,-2.79,0.689
-1.56,-2.79,0.702
-1.48,-2.79,0.716
-1.4,-2.79,0.729
-1.32,-2.79,0.741
-1.24,-2.79,0.754
-1.16,-2.79,0.766
-1.08,-2.79,0.778
-1,-2.79,0.789
-0.92,-2.79,0.8
-0.84,-2.79,0.811
-0.76,-2.79,0.821
-0.68,-2.79,0.831
-0.6,-2.79,0.841
-0.52,-2.79,0.85
-0.44,-2.79,0.858
-0.36,-2.79,0.866
-0.28,-2.79,0.874
-0.2,-2.79,0.881
-0.12,-2.79,0.887
-0.04,-2.79,0.893
0.04,-2.79,0.898
0.12,-2.79,0.903
0.2,-2.79,0.907
0.28,-2.79,0.911
0.36,-2.79,0.914
0.44,-2.79,0.916
0.52,-2.79,0.918
0.6,-2.79,0.919
0.68,-2.79,0.92
0.76,-2.79,0.92
0.84,-2.79,0.919
0.92,-2.79,0.918
1,-2.79,0.916
1.08,-2.79,0.914
1.16,-2.79,0.91
1.24,-2.79,0.907
1.32,-2.79,0.903
1.4,-2.79,0.898
1.48,-2.79,0.892
1.56,-2.79,0.886
1.64,-2.79,0.88
1.72,-2.79,0.873
1.8,-2.79,0.865
1.88,-2.79,0.857
1.96,-2.79,0.849
2.04,-2.79,0.84
2.12,-2.79,0.83
2.2,-2.79,0.82
2.28,-2.79,0.81
2.36,-2.79,0.799
2.44,-2.79,0.788
2.52,-2.79,0.776
2.6,-2.79,0.764
2.68,-2.79,0.752
2.76,-2.79,0.74
2.84,-2.79,0.727
2.92,-2.79,0.714
3,-2.79,0.7
3.08,-2.79,0.687
3.16,-2.79,0.673
3.24,-2.79,0.659
3.32,-2.79,0.645
3.4,-2.79,0.631
3.48,-2.79,0.617
3.56,-2.79,0.602
3.64,-2.79,0.588
3.72,-2.79,0.573
3.8,-2.79,0.559
3.88,-2.79,0.544
3.96,-2.79,0.53
-3.96,-2.73,0.303
-3.88,-2.73,0.315
-3.8,-2.73,0.327
-3.72,-2.73,0.34
-3.64,-2.73,0.353
-3.56,-2.73,0.366
-3.48,-2.73,0.379
-3.4,-2.73,0.393
-3.32,-2.73,0.406
-3.24,-2.73,0.42
-3.16,-2.73,0.434
-3.08,-2.73,0.449
-3,-2.73,0.463
-2.92,-2.73,0.478
-2.84,-2.73,0.492
-2.76,-2.73,0.507
-2.68,-2.73,0.522
-2.6,-2.73,0.537
-2.52,-2.73,0.552
-2.44,-2.73,0.566
-2.36,-2.73,0.581
-2.28,-2.73,0.596
-2.2,-2.73,0.611
-2.12,-2.73,0.626
-2.04,-2.73,0.641
-1.96,-2.73,0.655
-1.88,-2.73,0.67
-1.8,-2.73,0.684
-1.72,-2.73,0.698
-1.64,-2.73,0.713
-1.56,-2.73,0.726
-1.48,-2.73,0.74
-1.4,-2.73,0.753
-1.32,-2.73,0.766
-1.24,-2.73,0.779
-1.16,-2.73,0.791
-1.08,-2.73,0.804
-1,-2.73,0.815
-0.92,-2.73,0.827
-0.84,-2.73,0.838
-0.76,-2.73,0.848
-0.68,-2.73,0.858
-0.6,-2.73,0.868
-0.52,-2.73,0.877
-0.44,-2.73,0.885
-0.36,-2.73,0.894
-0.28,-2.73,0.901
-0.2,-2.73,0.908
-0.12,-2.73,0.915
-0.04,-2.73,0.921
0.04,-2.73,0.926
0.12,-2.73,0.931
0.2,-2.73,0.935
0.28,-2.73,0.939
0.36,-2.73,0.942
0.44,-2.73,0.944
0.52,-2.73,0.946
0.6,-2.73,0.947
0.68,-2.73,0.947
0.76,-2.73,0.947
0.84,-2.73,0.947
0.92,-2.73,0.945
1,-2.73,0.943
1.08,-2.73,0.94
1.16,-2.73,0.937
1.24,-2.73,0.933
1.32,-2.73,0.929
1.4,-2.73,0.924
1.48,-2.73,0.918
1.56,-2.73,0.912
1.64,-2.73,0.905
1.72,-2.73,0.898
1.8,-2.73,0.89
1.88,-2.73,0.881
1.96,-2.73,0.873
2.04,-2.73,0.863
2.12,-2.73,0.853
2.2,-2.73,0.843
2.28,-2.73,0.832
2.36,-2.73,0.821
2.44,-2.73,0.809
2.52,-2.73,0.798
2.6,-2.73,0.785
2.68,-2.73,0.773
2.76,-2.73,0.76
2.84,-2.73,0.746
2.92,-2.73,0.733
3,-2.73,0.719
3.08,-2.73,0.705
3.16,-2.73,0.691
3.24,-2.73,0.677
3.32,-2.73,0.662
3.4,-2.73,0.647
3.48,-2.73,0.633
3.56,-2.73,0.618
3.64,-2.73,0.603
3.72,-2.73,0.588
3.8,-2.73,0.573
3.88,-2.73,0.558
3.96,-2.73,0.543
-3.96,-2.67,0.314
-3.88,-2.67,0.327
-3.8,-2.67,0.339
-3.72,-2.67,0.353
-3.64,-2.67,0.366
-3.56,-2.67,0.379
-3.48,-2.67,0.393
-3.4,-2.67,0.407
-3.32,-2.67,0.421
-3.24,-2.67,0.436
-3.16,-2.67,0.45
-3.08,-2.67,0.465
-3,-2.67,0.48
-2.92,-2.67,0.495
-2.84,-2.67,0.51
-2.76,-2.67,0.525
-2.68,-2.67,0.54
-2.6,-2.67,0.556
-2.52,-2.67,0.571
-2.44,-2.67,0.586
-2.36,-2.67,0.602
-2.28,-2.67,0.617
-2.2,-2.67,0.632
-2.12,-2.67,0.648
-2.04,-2.67,0.663
-1.96,-2.67,0.678
-1.88,-2.67,0.693
-1.8,-2.67,0.707
-1.72,-2.67,0.722
-1.64,-2.67,0.736
-1.56,-2.67,0.75
-1.48,-2.67,0.764
-1.4,-2.67,0.778
-1.32,-2.67,0.791
-1.24,-2.67,0.804
-1.16,-2.67,0.817
-1.08,-2.67,0.83
-1,-2.67,0.841
-0.92,-2.67,0.853
-0.84,-2.67,0.864
-0.76,-2.67,0.875
-0.68,-2.67,0.885
-0.6,-2.67,0.895
-0.52,-2.67,0.904
-0.44,-2.67,0.913
-0.36,-2.67,0.921
-0.28,-2.67,0.929
-0.2,-2.67,0.936
-0.12,-2.67,0.943
-0.04,-2.67,0.949
0.04,-2.67,0.954
0.12,-2.67,0.959
0.2,-2.67,0.963
0.28,-2.67,0.967
0.36,-2.67,0.97
0.44,-2.67,0.972
0.52,-2.67,0.974
0.6,-2.67,0.975
0.68,-2.67,0.975
0.76,-2.67,0.975
0.84,-2.67,0.974
0.92,-2.67,0.972
1,-2.67,0.97
1.08,-2.67,0.967
1.16,-2.67,0.964
1.24,-2.67,0.96
1.32,-2.67,0.955
1.4,-2.67,0.95
1.48,-2.67,0.944
1.56,-2.67,0.937
1.64,-2.67,0.93
1.72,-2.67,0.923
1.8,-2.67,0.914
1.88,-2.67,0.906
1.96,-2.67,0.896
2.04,-2.67,0.887
2.12,-2.67,0.877
2.2,-2.67,0.866
2.28,-2.67,0.855
2.36,-2.67,0.843
2.44,-2.67,0.831
2.52,-2.67,0.819
2.6,-2.67,0.806
2.68,-2.67,0.793
2.76,-2.67,0.78
2.84,-2.67,0.766
2.92,-2.67,0.752
3,-2.67,0.738
3.08,-2.67,0.723
3.16,-2.67,0.709
3.24,-2.67,0.694
3.32,-2.67,0.679
3.4,-2.67,0.664
3.48,-2.67,0.649
3.56,-2.67,0.633
3.64,-2.67,0.618
3.72,-2.67,0.603
3.8,-2.67,0.587
3.88,-2.67,0.572
3.96,-2.67,0.556
-3.96,-2.61,0.326
-3.88,-2.61,0.339
-3.8,-2.61,0.352
-3.72,-2.61,0.366
-3.64,-2.61,0.379
-3.56,-2.61,0.393
-3.48,-2.61,0.408
-3.4,-2.61,0.422
-3.32,-2.61,0.437
-3.24,-2.61,0.451
-3.16,-2.61,0.466
-3.08,-2.61,0.482
-3,-2.61,0.497
-2.92,-2.61,0.512
-2.84,-2.61,0.528
-2.76,-2.61,0.543
-2.68,-2.61,0.559
-2.6,-2.61,0.575
-2.52,-2.61,0.591
-2.44,-2.61,0.606
-2.36,-2.61,0.622
-2.28,-2.61,0.638
-2.2,-2.61,0.654
-2.12,-2.61,0.669
-2.04,-2.61,0.685
-1.96,-2.61,0.7
-1.88,-2.61,0.716
-1.8,-2.61,0.731
-1.72,-2.61,0.746
-1.64,-2.61,0.76
-1.56,-2.61,0.775
-1.48,-2.61,0.789
-1.4,-2.61,0.803
-1.32,-2.61,0.817
-1.24,-2.61,0.83
-1.16,-2.61,0.843
-1.08,-2.61,0.856
-1,-2.61,0.868
-0.92,-2.61,0.88
-0.84,-2.61,0.891
-0.76,-2.61,0.902
-0.68,-2.61,0.913
-0.6,-2.61,0.923
-0.52,-2.61,0.932
-0.44,-2.61,0.941
-0.36,-2.61,0.949
-0.28,-2.61,0.957
-0.2,-2.61,0.964
-0.12,-2.61,0.971
-0.04,-2.61,0.977
0.04,-2.61,0.983
0.12,-2.61,0.987
0.2,-2.61,0.992
0.28,-2.61,0.995
0.36,-2.61,0.998
0.44,-2.61,1
0.52,-2.61,1.002
0.6,-2.61,1.003
0.68,-2.61,1.003
0.76,-2.61,1.003
0.84,-2.61,1.002
0.92,-2.61,1
1,-2.61,0.998
1.08,-2.61,0.995
1.16,-2.61,0.991
1.24,-2.61,0.986
1.32,-2.61,0.982
1.4,-2.61,0.976
1.48,-2.61,0.97
1.56,-2.61,0.963
1.64,-2.61,0.956
1.72,-2.61,0.948
1.8,-2.61,0.939
1.88,-2.61,0.93
1.96,-2.61,0.92
2.04,-2.61,0.91
2.12,-2.61,0.9
2.2,-2.61,0.889
2.28,-2.61,0.877
2.36,-2.61,0.865
2.44,-2.61,0.853
2.52,-2.61,0.84
2.6,-2.61,0.827
2.68,-2.61,0.813
2.76,-2.61,0.8
2.84,-2.61,0.785
2.92,-2.61,0.771
3,-2.61,0.756
3.08,-2.61,0.742
3.16,-2.61,0.726
3.24,-2.61,0.711
3.32,-2.61,0.696
3.4,-2.61,0.68
3.48,-2.61,0.665
3.56,-2.61,0.649
3.64,-2.61,0.633
3.72,-2.61,0.617
3.8,-2.61,0.601
3.88,-2.61,0.586
3.96,-2.61,0.57
-3.96,-2.55,0.338
-3.88,-2.55,0.351
-3.8,-2.55,0.365
-3.72,-2.55,0.379
-3.64,-2.55,0.393
-3.56,-2.55,0.407
-3.48,-2.55,0.422
-3.4,-2.55,0.437
-3.32,-2.55,0.452
-3.24,-2.55,0.467
-3.16,-2.55,0.483
-3.08,-2.55,0.498
-3,-2.55,0.514
-2.92,-2.55,0.53
-2.84,-2.55,0.546
-2.76,-2.55,0.562
-2.68,-2.55,0.578
-2.6,-2.55,0.594
-2.52,-2.55,0.61
-2.44,-2.55,0.627
-2.36,-2.55,0.643
-2.28,-2.55,0.659
-2.2,-2.55,0.675
-2.12,-2.55,0.691
-2.04,-2.55,0.707
-1.96,-2.55,0.723
-1.88,-2.55,0.739
-1.8,-2.55,0.754
-1.72,-2.55,0.77
-1.64,-2.55,0.785
-1.56,-2.55,0.799
-1.48,-2.55,0.814
-1.4,-2.55,0.828
-1.32,-2.55,0.842
-1.24,-2.55,0.856
-1.16,-2.55,0.869
-1.08,-2.55,0.882
-1,-2.55,0.895
-0.92,-2.55,0.907
-0.84,-2.55,0.918
-0.76,-2.55,0.929
-0.68,-2.55,0.94
-0.6,-2.55,0.95
-0.52,-2.55,0.96
-0.44,-2.55,0.969
-0.36,-2.55,0.977
-0.28,-2.55,0.985
-0.2,-2.55,0.993
-0.12,-2.55,0.999
-0.04,-2.55,1.005
0.04,-2.55,1.011
0.12,-2.55,1.016
0.2,-2.55,1.02
0.28,-2.55,1.023
0.36,-2.55,1.026
0.44,-2.55,1.029
0.52,-2.55,1.03
0.6,-2.55,1.031
0.68,-2.55,1.031
0.76,-2.55,1.03
0.84,-2.55,1.029
0.92,-2.55,1.027
1,-2.55,1.025
1.08,-2.55,1.022
1.16,-2.55,1.018
1.24,-2.55,1.013
1.32,-2.55,1.008
1.4,-2.55,1.002
1.48,-2.55,0.996
1.56,-2.55,0.988
1.64,-2.55,0.981
1.72,-2.55,0.972
1.8,-2.55,0.964
1.88,-2.55,0.954
1.96,-2.55,0.944
2.04,-2.55,0.934
2.12,-2.55,0.923
2.2,-2.55,0.911
2.28,-2.55,0.899
2.36,-2.55,0.887
2.44,-2.55,0.874
2.52,-2.55,0.861
2.6,-2.55,0.847
2.68,-2.55,0.834
2.76,-2.55,0.819
2.84,-2.55,0.805
2.92,-2.55,0.79
3,-2.55,0.775
3.08,-2.55,0.76
3.16,-2.55,0.744
3.24,-2.55,0.728
3.32,-2.55,0.713
3.4,-2.55,0.697
3.48,-2.55,0.68
3.56,-2.55,0.664
3.64,-2.55,0.648
3.72,-2.55,0.632
3.8,-2.55,0.615
3.88,-2.55,0.599
3.96,-2.55,0.583
-3.96,-2.49,0.35
-3.88,-2.49,0.364
-3.8,-2.49,0.378
-3.72,-2.49,0.392
-3.64,-2.49,0.407
-3.56,-2.49,0.422
-3.48,-2.49,0.437
-3.4,-2.49,0.452
-3.32,-2.49,0.468
-3.24,-2.49,0.483
-3.16,-2.49,0.499
-3.08,-2.49,0.515
-3,-2.49,0.531
-2.92,-2.49,0.548
-2.84,-2.49,0.564
-2.76,-2.49,0.581
-2.68,-2.49,0.597
-2.6,-2.49,0.614
-2.52,-2.49,0.631
-2.44,-2.49,0.647
-2.36,-2.49,0.664
-2.28,-2.49,0.68
-2.2,-2.49,0.697
-2.12,-2.49,0.713
-2.04,-2.49,0.73
-1.96,-2.49,0.746
-1.88,-2.49,0.762
-1.8,-2.49,0.778
-1.72,-2.49,0.794
-1.64,-2.49,0.809
-1.56,-2.49,0.824
-1.48,-2.49,0.839
-1.4,-2.49,0.854
-1.32,-2.49,0.868
-1.24,-2.49,0.882
-1.16,-2.49,0.896
-1.08,-2.49,0.909
-1,-2.49,0.921
-0.92,-2.49,0.934
-0.84,-2.49,0.946
-0.76,-2.49,0.957
-0.68,-2.49,0.968
-0.6,-2.49,0.978
-0.52,-2.49,0.988
-0.44,-2.49,0.997
-0.36,-2.49,1.006
-0.28,-2.49,1.014
-0.2,-2.49,1.021
-0.12,-2.49,1.028
-0.04,-2.49,1.034
0.04,-2.49,1.039
0.12,-2.49,1.044
0.2,-2.49,1.048
0.28,-2.49,1.052
0.36,-2.49,1.055
0.44,-2.49,1.057
0.52,-2.49,1.058
0.6,-2.49,1.059
0.68,-2.49,1.059
0.76,-2.49,1.058
0.84,-2.49,1.057
0.92,-2.49,1.055
1,-2.49,1.052
1.08,-2.49,1.049
1.16,-2.49,1.045
1.24,-2.49,1.04
1.32,-2.49,1.034
1.4,-2.49,1.028
1.48,-2.49,1.021
1.56,-2.49,1.014
1.64,-2.49,1.006
1.72,-2.49,0.997
1.8,-2.49,0.988
1.88,-2.49,0.978
1.96,-2.49,0.968
2.04,-2.49,0.957
2.12,-2.49,0.946
2.2,-2.49,0.934
2.28,-2.49,0.922
2.36,-2.49,0.909
2.44,-2.49,0.896
2.52,-2.49,0.882
2.6,-2.49,0.868
2.68,-2.49,0.854
2.76,-2.49,0.839
2.84,-2.49,0.824
2.92,-2.49,0.809
3,-2.49,0.793
3.08,-2.49,0.778
3.16,-2.49,0.762
3.24,-2.49,0.745
3.32,-2.49,0.729
3.4,-2.49,0.713
3.48,-2.49,0.696
3.56,-2.49,0.68
3.64,-2.49,0.663
3.72,-2.49,0.646
3.8,-2.49,0.629
3.88,-2.49,0.613
3.96,-2.49,0.596
-3.96,-2.43,0.362
-3.88,-2.43,0.377
-3.8,-2.43,0.391
-3.72,-2.43,0.406
-3.64,-2.43,0.421
-3.56,-2.43,0.436
-3.48,-2.43,0.452
-3.4,-2.43,0.468
-3.32,-2.43,0.484
-3.24,-2.43,0.5
-3.16,-2.43,0.516
-3.08,-2.43,0.532
-3,-2.43,0.549
-2.92,-2.43,0.566
-2.84,-2.43,0.583
-2.76,-2.43,0.6
-2.68,-2.43,0.617
-2.6,-2.43,0.634
-2.52,-2.43,0.651
-2.44,-2.43,0.668
-2.36,-2.43,0.685
-2.28,-2.43,0.702
-2.2,-2.43,0.719
-2.12,-2.43,0.736
-2.04,-2.43,0.753
