x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.272038
-3.88,-2.97,0.279837
-3.8,-2.97,0.279123
-3.7199999999999998,-2.97,0.289952
-3.64,-2.97,0.3037
-3.56,-2.97,0.332227
-3.48,-2.97,0.331739
-3.4,-2.97,0.342581
-3.32,-2.97,0.349925
-3.24,-2.97,0.373439
-3.16,-2.97,0.372952
-3.08,-2.97,0.391112
-3.0,-2.97,0.406021
-2.92,-2.97,0.413718
-2.84,-2.97,0.410309
-2.76,-2.97,0.435442
-2.6799999999999997,-2.97,0.466766
-2.5999999999999996,-2.97,0.470386
-2.52,-2.97,0.484348
-2.44,-2.97,0.493665
-2.36,-2.97,0.520442
-2.2800000000000002,-2.97,0.517618
-2.2,-2.97,0.537049
-2.12,-2.97,0.546002
-2.04,-2.97,0.571692
-1.96,-2.97,0.566593
-1.88,-2.97,0.601727
-1.7999999999999998,-2.97,0.597624
-1.7199999999999998,-2.97,0.615699
-1.6400000000000001,-2.97,0.609636
-1.56,-2.97,0.627139
-1.48,-2.97,0.647088
-1.4,-2.97,0.645182
-1.3199999999999998,-2.97,0.66964
-1.2399999999999998,-2.97,0.668718
-1.1599999999999997,-2.97,0.688676
-1.08,-2.97,0.700778
-1.0,-2.97,0.69477
-0.9199999999999999,-2.97,0.712489
-0.8399999999999999,-2.97,0.748448
-0.7599999999999998,-2.97,0.763078
-0.6799999999999997,-2.97,0.76145
-0.6000000000000001,-2.97,0.747932
-0.52,-2.97,0.759424
-0.43999999999999995,-2.97,0.76604
-0.3599999999999999,-2.97,0.763957
-0.2799999999999998,-2.97,0.775192
-0.19999999999999973,-2.97,0.79852
-0.1200000000000001,-2.97,0.821128
-0.040000000000000036,-2.97,0.812944
0.040000000000000036,-2.97,0.814762
0.1200000000000001,-2.97,0.805805
0.20000000000000018,-2.97,0.809855
0.28000000000000025,-2.97,0.824624
0.3600000000000003,-2.97,0.815875
0.4400000000000004,-2.97,0.821686
0.5200000000000005,-2.97,0.811648
0.6000000000000005,-2.97,0.813168
0.6799999999999997,-2.97,0.825433
0.7599999999999998,-2.97,0.837049
0.8399999999999999,-2.97,0.815489
0.9199999999999999,-2.97,0.84715
1.0,-2.97,0.811215
1.08,-2.97,0.807654
1.1600000000000001,-2.97,0.818709
1.2400000000000002,-2.97,0.821945
1.3200000000000003,-2.97,0.830039
1.4000000000000004,-2.97,0.822724
1.4800000000000004,-2.97,0.81336
1.5600000000000005,-2.97,0.80731
1.6400000000000006,-2.97,0.774169
1.7199999999999998,-2.97,0.787999
1.7999999999999998,-2.97,0.766648
1.88,-2.97,0.745589
1.96,-2.97,0.755567
2.04,-2.97,0.745818
2.12,-2.97,0.743685
2.2,-2.97,0.738088
2.2800000000000002,-2.97,0.724101
2.3600000000000003,-2.97,0.725372
2.4400000000000004,-2.97,0.705827
2.5200000000000005,-2.97,0.692219
2.6000000000000005,-2.97,0.680648
2.6800000000000006,-2.97,0.660789
2.76,-2.97,0.663665
2.84,-2.97,0.655161
2.92,-2.97,0.653845
3.0,-2.97,0.615107
3.08,-2.97,0.617312
3.16,-2.97,0.61455
3.24,-2.97,0.590104
3.3200000000000003,-2.97,0.563709
3.4000000000000004,-2.97,0.57309
3.4800000000000004,-2.97,0.551229
3.5600000000000005,-2.97,0.533684
3.6400000000000006,-2.97,0.532976
3.7199999999999998,-2.97,0.514136
3.8,-2.97,0.496416
3.88,-2.97,0.485148
3.96,-2.97,0.477574
-3.96,-2.91,0.273908
-3.88,-2.91,0.281599
-3.8,-2.91,0.287523
-3.7199999999999998,-2.91,0.312688
-3.64,-2.91,0.327928
-3.56,-2.91,0.335267
-3.48,-2.91,0.347229
-3.4,-2.91,0.349559
-3.32,-2.91,0.374402
-3.24,-2.91,0.380435
-3.16,-2.91,0.396612
-3.08,-2.91,0.403813
-3.0,-2.91,0.430114
-2.92,-2.91,0.446093
-2.84,-2.91,0.447603
-2.76,-2.91,0.457599
-2.6799999999999997,-2.91,0.47458
-2.5999999999999996,-2.91,0.489271
-2.52,-2.91,0.49983
-2.44,-2.91,0.510497
-2.36,-2.91,0.5132
-2.2800000000000002,-2.91,0.541224
-2.2,-2.91,0.53077
-2.12,-2.91,0.561337
-2.04,-2.91,0.574874
-1.96,-2.91,0.589175
-1.88,-2.91,0.608721
-1.7999999999999998,-2.91,0.612564
-1.7199999999999998,-2.91,0.637668
-1.6400000000000001,-2.91,0.640022
-1.56,-2.91,0.653946
-1.48,-2.91,0.68282
-1.4,-2.91,0.673002
-1.3199999999999998,-2.91,0.689645
-1.2399999999999998,-2.91,0.707291
-1.1599999999999997,-2.91,0.711291
-1.08,-2.91,0.730572
-1.0,-2.91,0.730411
-0.9199999999999999,-2.91,0.756563
-0.8399999999999999,-2.91,0.750192
-0.7599999999999998,-2.91,0.776443
-0.6799999999999997,-2.91,0.765759
-0.6000000000000001,-2.91,0.791568
-0.52,-2.91,0.78351
-0.43999999999999995,-2.91,0.792469
-0.3599999999999999,-2.91,0.806199
-0.2799999999999998,-2.91,0.825028
-0.19999999999999973,-2.91,0.814295
-0.1200000000000001,-2.91,0.823932
-0.040000000000000036,-2.91,0.853109
0.040000000000000036,-2.91,0.835755
0.1200000000000001,-2.91,0.839539
0.20000000000000018,-2.91,0.853171
0.28000000000000025,-2.91,0.847076
0.3600000000000003,-2.91,0.856374
0.4400000000000004,-2.91,0.863965
0.5200000000000005,-2.91,0.865406
0.6000000000000005,-2.91,0.863301
0.6799999999999997,-2.91,0.855711
0.7599999999999998,-2.91,0.843588
0.8399999999999999,-2.91,0.850548
0.9199999999999999,-2.91,0.856472
1.0,-2.91,0.861468
