Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
"B_1.1.1",97.6542,97.6541,7.58532e-05,0,150,3.54,-,-,-,solstice
"B_1.1.2",81.2018,56.7466,24.4552,0,150,3.37,-,-,-,solstice
"B_1.1.3",79.9002,50.8889,29.0113,0,150,3.41,-,-,-,solstice
"B_1.1.4",80.5709,62.5158,18.0551,0,150,3.49,-,-,-,solstice
"B_1.2.1",76.325,76.0653,0.259732,0,150,3.50,-,-,-,solstice
"B_1.2.2",64.037,45.4524,18.5846,0,150,3.38,-,-,-,solstice
"B_1.2.3",83.8222,53.3112,30.511,0,150,3.46,-,-,-,solstice
"B_1.2.4",31.0713,11.5143,19.557,0,150,3.32,-,-,-,solstice
"B_2.1.1",97.6541,97.4285,0.225641,0,150,3.72,-,-,-,solstice
"B_2.1.2",81.2019,56.5685,24.6334,0,150,3.55,-,-,-,solstice
"B_2.1.3",79.9002,50.8626,29.0376,0,150,3.54,-,-,-,solstice
"B_2.1.4",80.5708,62.2228,18.348,0,150,3.61,-,-,-,solstice
"B_2.2.1",76.325,75.8467,0.478301,0,150,3.56,-,-,-,solstice
"B_2.2.2",64.037,45.3615,18.6755,0,150,3.45,-,-,-,solstice
"B_2.2.3",83.8222,53.2847,30.5375,0,150,3.46,-,-,-,solstice
"B_2.2.4",31.0713,11.4209,19.6504,0,150,3.32,-,-,-,solstice
