x (m),y (m),flux (kW/m2)
-3.960000,-2.970000,0.223683
-3.880000,-2.970000,0.226401
-3.800000,-2.970000,0.208538
-3.720000,-2.970000,0.220835
-3.640000,-2.970000,0.221353
-3.560000,-2.970000,0.213327
-3.480000,-2.970000,0.223683
-3.400000,-2.970000,0.216175
-3.320000,-2.970000,0.226531
-3.240000,-2.970000,0.220706
-3.160000,-2.970000,0.216563
-3.080000,-2.970000,0.222259
-3,-2.970000,0.212033
-2.920000,-2.970000,0.211515
-2.840000,-2.970000,0.206337
-2.760000,-2.970000,0.208149
-2.680000,-2.970000,0.215139
-2.600000,-2.970000,0.210609
-2.520000,-2.970000,0.211127
-2.440000,-2.970000,0.208279
-2.360000,-2.970000,0.199347
-2.280000,-2.970000,0.210350
-2.200000,-2.970000,0.202971
-2.120000,-2.970000,0.200124
-2.040000,-2.970000,0.199865
-1.960000,-2.970000,0.206596
-1.880000,-2.970000,0.204654
-1.800000,-2.970000,0.192616
-1.720000,-2.970000,0.189638
-1.640000,-2.970000,0.195205
-1.560000,-2.970000,0.193392
-1.480000,-2.970000,0.191580
-1.400000,-2.970000,0.196370
-1.320000,-2.970000,0.195981
-1.240000,-2.970000,0.184978
-1.160000,-2.970000,0.185496
-1.080000,-2.970000,0.196499
-1,-2.970000,0.194169
-0.920000,-2.970000,0.181872
-0.840000,-2.970000,0.185626
-0.760000,-2.970000,0.193004
-0.680000,-2.970000,0.185626
-0.600000,-2.970000,0.187697
-0.520000,-2.970000,0.175399
-0.440000,-2.970000,0.174623
-0.360000,-2.970000,0.180318
-0.280000,-2.970000,0.180059
-0.200000,-2.970000,0.169057
-0.120000,-2.970000,0.173846
-0.040000,-2.970000,0.184461
0.040000,-2.970000,0.173458
0.120000,-2.970000,0.174364
0.200000,-2.970000,0.166597
0.280000,-2.970000,0.165303
0.360000,-2.970000,0.159995
0.440000,-2.970000,0.168280
0.520000,-2.970000,0.159089
0.600000,-2.970000,0.166727
0.680000,-2.970000,0.165562
0.760000,-2.970000,0.167374
0.840000,-2.970000,0.167503
0.920000,-2.970000,0.159995
1,-2.970000,0.156630
1.080000,-2.970000,0.155853
1.160000,-2.970000,0.154170
1.240000,-2.970000,0.154300
1.320000,-2.970000,0.154947
1.400000,-2.970000,0.149251
1.480000,-2.970000,0.148345
