x (m),y (m),flux (kW/m2)
-3.96,-2.97,0.275277
-3.88,-2.97,0.28653300000000004
-3.8,-2.97,0.293271
-3.72,-2.97,0.30507100000000004
-3.64,-2.97,0.31917
-3.56,-2.97,0.331555
-3.48,-2.97,0.340747
-3.4,-2.97,0.348186
-3.32,-2.97,0.36505000000000004
-3.24,-2.97,0.384562
-3.16,-2.97,0.387094
-3.08,-2.97,0.40645
-3.0,-2.97,0.41618700000000003
-2.92,-2.97,0.432428
-2.84,-2.97,0.435349
-2.76,-2.97,0.452486
-2.68,-2.97,0.470206
-2.6,-2.97,0.480372
-2.52,-2.97,0.5009359999999999
-2.44,-2.97,0.5122300000000001
-2.36,-2.97,0.512542
-2.28,-2.97,0.540038
-2.2,-2.97,0.545452
-2.12,-2.97,0.5553060000000001
-2.04,-2.97,0.581283
-1.96,-2.97,0.5870080000000001
-1.88,-2.97,0.599082
-1.8,-2.97,0.6046900000000001
-1.72,-2.97,0.618711
-1.64,-2.97,0.6424690000000001
-1.56,-2.97,0.6485449999999999
-1.48,-2.97,0.649986
-1.4,-2.97,0.671134
-1.32,-2.97,0.682273
-1.24,-2.97,0.6905290000000001
-1.16,-2.97,0.705018
-1.08,-2.97,0.71382
-1.0,-2.97,0.725309
-0.92,-2.97,0.7353959999999999
-0.84,-2.97,0.739486
-0.76,-2.97,0.753468
-0.68,-2.97,0.765619
-0.6,-2.97,0.766865
-0.52,-2.97,0.7856380000000001
-0.44,-2.97,0.7919470000000001
-0.36,-2.97,0.786378
-0.28,-2.97,0.8055789999999999
-0.2,-2.97,0.800048
-0.12,-2.97,0.8140689999999999
-0.04,-2.97,0.819054
0.04,-2.97,0.819677
0.12,-2.97,0.8245460000000001
0.2,-2.97,0.830816
0.28,-2.97,0.8372430000000001
0.36,-2.97,0.834127
0.44,-2.97,0.8270770000000001
0.52,-2.97,0.8365410000000001
0.6,-2.97,0.84694
0.68,-2.97,0.837087
0.76,-2.97,0.844214
0.84,-2.97,0.8346330000000001
0.92,-2.97,0.835763
1.0,-2.97,0.8414880000000001
1.08,-2.97,0.828986
1.16,-2.97,0.8288300000000001
1.24,-2.97,0.82439
1.32,-2.97,0.82587
1.4,-2.97,0.821313
1.48,-2.97,0.8090839999999999
1.56,-2.97,0.807175
1.64,-2.97,0.804177
1.72,-2.97,0.804371
1.8,-2.97,0.787702
1.88,-2.97,0.7787050000000001
1.96,-2.97,0.777732
2.04,-2.97,0.758764
2.12,-2.97,0.76079
2.2,-2.97,0.7524160000000001
2.28,-2.97,0.743653
2.36,-2.97,0.7297100000000001
2.44,-2.97,0.707939
2.52,-2.97,0.70716
2.6,-2.97,0.693684
2.68,-2.97,0.68718
2.76,-2.97,0.6805979999999999
2.84,-2.97,0.655711
2.92,-2.97,0.647181
3.0,-2.97,0.632265
3.08,-2.97,0.620503
3.16,-2.97,0.617231
3.24,-2.97,0.5958490000000001
3.32,-2.97,0.5936290000000001
3.4,-2.97,0.566172
3.48,-2.97,0.558616
3.56,-2.97,0.548451
3.64,-2.97,0.535988
3.72,-2.97,0.5269130000000001
3.8,-2.97,0.503584
3.88,-2.97,0.497742
3.96,-2.97,0.47951499999999997
-3.96,-2.91,0.29116699999999995
-3.88,-2.91,0.295724
-3.8,-2.91,0.300047
-3.72,-2.91,0.323649
-3.64,-2.91,0.3314
-3.56,-2.91,0.342305
-3.48,-2.91,0.362947
-3.4,-2.91,0.371242
-3.32,-2.91,0.381174
-3.24,-2.91,0.393481
-3.16,-2.91,0.411825
-3.08,-2.91,0.419186
-3.0,-2.91,0.437647
-2.92,-2.91,0.449604
-2.84,-2.91,0.456069
-2.76,-2.91,0.480995
-2.68,-2.91,0.487966
-2.6,-2.91,0.500118
-2.52,-2.91,0.509348
-2.44,-2.91,0.52037
-2.36,-2.91,0.535482
-2.28,-2.91,0.556825
-2.2,-2.91,0.562082
-2.12,-2.91,0.5781670000000001
-2.04,-2.91,0.596434
-1.96,-2.91,0.605041
-1.88,-2.91,0.626072
-1.8,-2.91,0.6343289999999999
-1.72,-2.91,0.644494
-1.64,-2.91,0.658281
-1.56,-2.91,0.6570739999999999
-1.48,-2.91,0.68126
-1.4,-2.91,0.6949299999999999
-1.32,-2.91,0.708562
-1.24,-2.91,0.7207910000000001
-1.16,-2.91,0.728542
-1.08,-2.91,0.743653
-1.0,-2.91,0.751676
-0.92,-2.91,0.754831
-0.84,-2.91,0.771539
-0.76,-2.91,0.7816649999999999
-0.68,-2.91,0.780419
-0.6,-2.91,0.798802
-0.52,-2.91,0.806435
-0.44,-2.91,0.8204560000000001
-0.36,-2.91,0.818431
-0.28,-2.91,0.820145
-0.2,-2.91,0.821858
-0.12,-2.91,0.845305
-0.04,-2.91,0.8400080000000001
0.04,-2.91,0.840592
0.12,-2.91,0.8493160000000001
0.2,-2.91,0.848654
0.28,-2.91,0.867193
0.36,-2.91,0.8483809999999999
0.44,-2.91,0.85064
0.52,-2.91,0.8627140000000001
0.6,-2.91,0.869841
0.68,-2.91,0.862208
0.76,-2.91,0.8553529999999999
0.84,-2.91,0.865635
0.92,-2.91,0.859871
1.0,-2.91,0.8546130000000001
1.08,-2.91,0.857807
1.16,-2.91,0.8563270000000001
1.24,-2.91,0.852821
1.32,-2.91,0.849745
1.4,-2.91,0.8398909999999999
1.48,-2.91,0.8346720000000001
1.56,-2.91,0.8342050000000001
1.64,-2.91,0.8265710000000001
1.72,-2.91,0.817613
1.8,-2.91,0.8083440000000001
1.88,-2.91,0.800087
1.96,-2.91,0.7997759999999999
2.04,-2.91,0.790818
2.12,-2.91,0.7776150000000001
2.2,-2.91,0.772162
2.28,-2.91,0.761101
2.36,-2.91,0.75078
2.44,-2.91,0.7323970000000001
2.52,-2.91,0.7266330000000001
2.6,-2.91,0.7194280000000001
2.68,-2.91,0.712028
2.76,-2.91,0.696761
2.84,-2.91,0.678534
2.92,-2.91,0.669849
3.0,-2.91,0.651543
3.08,-2.91,0.6421570000000001
3.16,-2.91,0.619568
3.24,-2.91,0.611662
3.32,-2.91,0.6073780000000001
3.4,-2.91,0.590514
3.48,-2.91,0.581945
3.56,-2.91,0.5654710000000001
