Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),Num of process,CI_flux (kW/m2),CI_en (kW),From source
B_1.1.1,97.6521746356,97.6521039952,7.064044E-05,0,84.32539,10.5,,,,Tonatiuh
B_1.1.2,81.2019699343,56.7478857601,24.4540841743,0,101.426646,12.3166666667,,,,Tonatiuh
B_1.1.3,79.890224393,50.8835746646,29.0066497284,0,52.423815,8.55,,,,Tonatiuh
B_1.1.4,80.5704732772,62.5124363597,18.0580369176,0,51.419647,6,,,,Tonatiuh
B_1.2.1,76.3291433811,76.0691175453,0.2600258358,0,76.903071,10,,,,Tonatiuh
B_1.2.2,64.0294627382,45.4423944095,18.5870683287,0,64.960674,10.1333333333,,,,Tonatiuh
B_1.2.3,83.8016966775,53.2912059685,30.510490709,0,59.769128,11.4833333333,,,,Tonatiuh
B_1.2.4,31.0740955479,11.514480972,19.5596145759,0,48.737181,7,,,,Tonatiuh
B_2.1.1,97.6369913487,97.4122376363,0.2247537124,0,25.271381,4.5,,,,Tonatiuh
B_2.1.2,81.1965303085,56.5620792983,24.6344510102,0,36.654928,13.5666666667,,,,Tonatiuh
B_2.1.3,79.9083618892,50.8660725041,29.0422893851,0,20.77868,34.4833333333,,,,Tonatiuh
B_2.1.4,80.5473870992,62.2152599074,18.3321271918,0,30.278696,2,,,,Tonatiuh
B_2.2.1,76.3414014131,75.861831628,0.479569785,0,79.443677,2,,,,Tonatiuh
B_2.2.2,64.0459921527,45.3703556289,18.6756365238,0,31.861934,13.0166666667,,,,Tonatiuh
B_2.2.3,83.8122267345,53.2878269536,30.524399781,0,27.04449,37.0166666667,,,,Tonatiuh
B_2.2.4,31.0652180806,11.4150592312,19.6501588494,0,16.09822,6,,,,Tonatiuh
