Case name,Qin (kW),Qabs (kW),Qspil (kW),Qrefl (kW),Effective rays,Time (min),num of process,CI_flux (kW/m2),CI_en (kW),From source
B_1.1.1,97.6566472673179,97.65657613181195,7.113550600352602e-05,0.0,27.456513,108.714341466,-,0.6858521177093104,0.04041375936219575,tracer
B_1.1.2,81.19929946895616,56.7491689917849,24.450130477171633,0.0,720.440158,1838.11348178,-,0.0217859597320625,0.007015923462799372,tracer
B_1.1.3,79.90329845476572,50.894512706662475,29.00878574810316,0.0,880.685709,1982.23623822,-,0.017186088180330655,0.006341288869673379,tracer
B_1.1.4,80.57705689395131,62.52580669487148,18.051250199080812,0.0,543.630896,1502.92758542,-,0.028360353757627254,0.008122110766450568,tracer
B_1.2.1,76.32897234290827,76.06901302862217,0.25995931428606395,0.0,166.969627,610.417748853,-,0.08846190480228532,0.014182494174987377,tracer
B_1.2.2,64.03837792225178,45.45345557523779,18.58492234701372,0.0,726.57741,979.605532249,-,0.01679387346486777,0.005916635472064629,tracer
B_1.2.3,83.8209090700274,53.30723045595024,30.513678614077442,0.0,895.043677,1103.90503203,-,0.017839008935422535,0.0065217867805353585,tracer
B_1.2.4,31.07215069857049,11.513531676614477,19.558619021955135,0.0,2134.98162,1758.41731252,-,0.0027503481841098195,0.0018589346334586736,tracer
B_2.1.1,97.63720635231829,97.39159995231806,0.24560640000032954,0.0,28.392764,64.9385679007,-,0.6940900886959074,0.040554503940852964,tracer
B_2.1.2,81.20247333729375,56.478596867770726,24.723876469522693,0.0,701.044887,963.901665835,-,0.022065822427408382,0.00709261370507897,tracer
B_2.1.3,79.89658314777787,50.77476936999668,29.12181377778182,0.0,875.602745,1085.16108767,-,0.01735933687933677,0.006353439701919123,tracer
B_2.1.4,80.56977286768641,62.134375200549655,18.435397667137135,0.0,540.512206,914.073678247,-,0.028518857779136812,0.008074041079490474,tracer
B_2.2.1,76.32511915140256,75.8247256703204,0.50039348108175,0.0,174.322803,362.303254032,-,0.08754364912981258,0.013977994492023952,tracer
B_2.2.2,64.03668688010299,45.28364359879969,18.75304328130376,0.0,714.915751,993.07875615,-,0.016972522184468288,0.00598860433956739,tracer
B_2.2.3,83.82423173029744,53.199642910279735,30.624588820018047,0.0,880.647612,1122.69231215,-,0.018095274886577063,0.006526420663535999,tracer
B_2.2.4,31.07204644914102,11.409663461686696,19.662382987453128,0.0,2155.638207,1707.35793618,-,0.002727863830478569,0.0018524120180443797,tracer
