x (m),y (m),flux (kW/m2)
-3.96,-2.97,52.89905
-3.88,-2.97,55.08795
-3.8,-2.97,59.228
-3.72,-2.97,61.4829
-3.64,-2.97,64.6187
-3.56,-2.97,70.0301
-3.48,-2.97,72.83465
-3.4,-2.97,75.9096
-3.32,-2.97,80.8111
-3.24,-2.97,84.821
-3.16,-2.97,89.5643
-3.08,-2.97,93.14515
-3.0,-2.97,98.1044
-2.92,-2.97,104.4395
-2.84,-2.97,108.16
-2.76,-2.97,114.545
-2.68,-2.97,118.388
-2.6,-2.97,125.2695
-2.52,-2.97,130.744
-2.44,-2.97,135.059
-2.36,-2.97,140.542
-2.28,-2.97,146.611
-2.2,-2.97,153.734
-2.12,-2.97,160.118
-2.04,-2.97,163.4455
-1.96,-2.97,168.676
-1.88,-2.97,175.634
-1.8,-2.97,184.8405
-1.72,-2.97,185.853
-1.64,-2.97,194.3285
-1.56,-2.97,199.0815
-1.48,-2.97,206.9535
-1.4,-2.97,210.534
-1.32,-2.97,215.4985
-1.24,-2.97,221.11
-1.16,-2.97,229.0075
-1.08,-2.97,233.766
-0.999999,-2.97,241.2445
-0.92,-2.97,243.783
-0.84,-2.97,247.5145
-0.76,-2.97,256.0125
-0.68,-2.97,258.947
-0.6,-2.97,260.399
-0.52,-2.97,263.116
-0.44,-2.97,268.389
-0.36,-2.97,274.172
-0.28,-2.97,272.5595
-0.2,-2.97,275.1105
-0.12,-2.97,277.403
-0.04,-2.97,274.969
0.04,-2.97,272.61
0.12,-2.97,275.058
0.199999,-2.97,273.8445
0.28,-2.97,271.842
0.36,-2.97,272.2415
0.44,-2.97,267.441
0.52,-2.97,266.693
0.6,-2.97,262.0245
0.68,-2.97,253.147
0.76,-2.97,253.41
0.84,-2.97,254.618
0.92,-2.97,246.4715
0.999999,-2.97,241.1145
1.08,-2.97,233.754
1.16,-2.97,227.4055
1.24,-2.97,222.002
1.32,-2.97,218.232
1.4,-2.97,211.365
1.48,-2.97,205.6855
1.56,-2.97,200.965
1.64,-2.97,194.565
1.72,-2.97,184.6305
1.8,-2.97,180.11
