x (m),y (m),flux (kW/m2)
-3.960000,-2.970000,43.0207578
-3.880000,-2.970000,46.0013121
-3.800000,-2.970000,49.1373864
-3.720000,-2.970000,52.4307348
-3.640000,-2.970000,55.8816849
-3.560000,-2.970000,59.4890226
-3.480000,-2.970000,63.250002
-3.400000,-2.970000,67.160529
-3.320000,-2.970000,71.2155141
-3.240000,-2.970000,75.4094025
-3.160000,-2.970000,79.7368212
-3.080000,-2.970000,84.1932684
-3,-2.970000,88.7756787
-2.920000,-2.970000,93.4826976
-2.840000,-2.970000,98.3144853
-2.760000,-2.970000,103.2719562
-2.680000,-2.970000,108.3554829
-2.600000,-2.970000,113.563269
-2.520000,-2.970000,118.8897435
-2.440000,-2.970000,124.3243962
-2.360000,-2.970000,129.8514105
-2.280000,-2.970000,135.450297
-2.200000,-2.970000,141.0974604
-2.120000,-2.970000,146.768427
-2.040000,-2.970000,152.4402702
-1.960000,-2.970000,158.0937597
-1.880000,-2.970000,163.7148195
-1.800000,-2.970000,169.2950184
-1.720000,-2.970000,174.8310057
-1.640000,-2.970000,180.3229569
-1.560000,-2.970000,185.7722661
-1.480000,-2.970000,191.1788397
-1.400000,-2.970000,196.5384522
-1.320000,-2.970000,201.8406213
-1.240000,-2.970000,207.0674046
-1.160000,-2.970000,212.1933186
-1.080000,-2.970000,217.1863683
-1,-2.970000,222.009921
-0.920000,-2.970000,226.6250166
-0.840000,-2.970000,230.992677
-0.760000,-2.970000,235.0758267
-0.680000,-2.970000,238.8406212
-0.600000,-2.970000,242.2571598
-0.520000,-2.970000,245.2996575
-0.440000,-2.970000,247.9462938
-0.360000,-2.970000,250.1788941
-0.280000,-2.970000,251.9826192
-0.200000,-2.970000,253.3457241
-0.120000,-2.970000,254.2594329
-0.040000,-2.970000,254.7178902
0.040000,-2.970000,254.7181602
0.120000,-2.970000,254.2602456
0.200000,-2.970000,253.3470831
0.280000,-2.970000,251.9845317
0.360000,-2.970000,250.18137
0.440000,-2.970000,247.9493448
0.520000,-2.970000,245.303298
0.600000,-2.970000,242.2614051
0.680000,-2.970000,238.8454902
0.760000,-2.970000,235.0813374
0.840000,-2.970000,230.9988501
0.920000,-2.970000,226.6318728
1,-2.970000,222.0174792
1.080000,-2.970000,217.1946501
1.160000,-2.970000,212.2023429
1.240000,-2.970000,207.0771894
1.320000,-2.970000,201.8511828
1.400000,-2.970000,196.5498048
1.480000,-2.970000,191.1909951
1.560000,-2.970000,185.7852324
1.640000,-2.970000,180.3367395
1.720000,-2.970000,174.8456073
1.800000,-2.970000,169.3104363
1.880000,-2.970000,163.7310483
1.960000,-2.970000,158.1107886
2.040000,-2.970000,152.4580839
2.120000,-2.970000,146.7870066
2.200000,-2.970000,141.1167816
2.280000,-2.970000,135.4703301
2.360000,-2.970000,129.872124
2.440000,-2.970000,124.3457523
2.520000,-2.970000,118.9117008
2.600000,-2.970000,113.5857807
2.680000,-2.970000,108.3785004
2.760000,-2.970000,103.2954255
2.840000,-2.970000,98.3383515
2.920000,-2.970000,93.5069013
3,-2.970000,88.8001596
3.080000,-2.970000,84.2179626
3.160000,-2.970000,79.7616639
3.240000,-2.970000,75.434328
3.320000,-2.970000,71.2404576
3.400000,-2.970000,67.185423
3.480000,-2.970000,63.2747808
3.560000,-2.970000,59.5136214
3.640000,-2.970000,55.9060407
3.720000,-2.970000,52.4547846
3.800000,-2.970000,49.1610708
3.880000,-2.970000,46.0245735
3.960000,-2.970000,43.0435422
-3.960000,-2.910000,45.04131
-3.880000,-2.910000,48.1898439
-3.800000,-2.910000,51.5045475
-3.720000,-2.910000,54.9879975
-3.640000,-2.910000,58.6414188
-3.560000,-2.910000,62.4644973
-3.480000,-2.910000,66.4553097
-3.400000,-2.910000,70.6104018
-3.320000,-2.910000,74.9250576
-3.240000,-2.910000,79.3937538
-3.160000,-2.910000,84.0107736
-3.080000,-2.910000,88.7709132
-3,-2.910000,93.6701352
-2.920000,-2.910000,98.7059916
-2.840000,-2.910000,103.8776256
-2.760000,-2.910000,109.185183
-2.680000,-2.910000,114.6286368
-2.600000,-2.910000,120.2061429
-2.520000,-2.910000,125.9122707
-2.440000,-2.910000,131.7365424
-2.360000,-2.910000,137.6627139
-2.280000,-2.910000,143.6690898
-2.200000,-2.910000,149.7299103
-2.120000,-2.910000,155.8175877
-2.040000,-2.910000,161.9053461
-1.960000,-2.910000,167.9697369
-1.880000,-2.910000,173.9925639
-1.800000,-2.910000,179.9618508
-1.720000,-2.910000,185.8717152
-1.640000,-2.910000,191.7211347
-1.560000,-2.910000,197.5117986
-1.480000,-2.910000,203.245344
-1.400000,-2.910000,208.9203993
-1.320000,-2.910000,214.5299301
-1.240000,-2.910000,220.0593582
-1.160000,-2.910000,225.4857894
-1.080000,-2.910000,230.7784878
-1,-2.910000,235.9004499
-0.920000,-2.910000,240.8107329
-0.840000,-2.910000,245.4670404
-0.760000,-2.910000,249.8281245
-0.680000,-2.910000,253.8556443
