x (m),y (m),flux (kW/m2)
-3.96,-2.97,52.2773
-3.88,-2.97,54.1869
-3.8,-2.97,59.7386
-3.7199999999999998,-2.97,63.3931
-3.64,-2.97,64.8031
-3.56,-2.97,69.8508
-3.48,-2.97,72.0986
-3.4,-2.97,78.1824
-3.32,-2.97,81.477
-3.24,-2.97,81.8807
-3.16,-2.97,87.7388
-3.08,-2.97,93.6973
-3.0,-2.97,102.453
-2.92,-2.97,105.141
-2.84,-2.97,109.193
-2.76,-2.97,117.521
-2.6799999999999997,-2.97,119.773
-2.5999999999999996,-2.97,128.831
-2.52,-2.97,134.375
-2.44,-2.97,138.043
-2.36,-2.97,143.856
-2.2800000000000002,-2.97,146.524
-2.2,-2.97,157.118
-2.12,-2.97,156.605
-2.04,-2.97,169.154
-1.96,-2.97,173.012
-1.88,-2.97,180.066
-1.7999999999999998,-2.97,180.696
-1.7199999999999998,-2.97,191.112
-1.6400000000000001,-2.97,190.227
-1.56,-2.97,203.118
-1.48,-2.97,211.027
-1.4,-2.97,212.811
-1.3199999999999998,-2.97,217.428
-1.2399999999999998,-2.97,226.589
-1.1599999999999997,-2.97,225.916
-1.08,-2.97,238.648
-1.0,-2.97,238.689
-0.9199999999999999,-2.97,253.085
-0.8399999999999999,-2.97,252.786
-0.7599999999999998,-2.97,251.495
-0.6799999999999997,-2.97,260.675
-0.6000000000000001,-2.97,262.945
-0.52,-2.97,269.512
-0.43999999999999995,-2.97,273.484
-0.3599999999999999,-2.97,269.765
-0.2799999999999998,-2.97,273.693
-0.19999999999999973,-2.97,271.582
-0.1200000000000001,-2.97,280.114
-0.040000000000000036,-2.97,274.35
0.040000000000000036,-2.97,278.247
0.1200000000000001,-2.97,274.037
0.20000000000000018,-2.97,279.043
0.28000000000000025,-2.97,273.118
0.3600000000000003,-2.97,276.488
0.4400000000000004,-2.97,267.32
0.5200000000000005,-2.97,263.48
0.6000000000000005,-2.97,259.845
0.6799999999999997,-2.97,258.119
0.7599999999999998,-2.97,259.371
0.8399999999999999,-2.97,246.733
0.9199999999999999,-2.97,247.315
1.0,-2.97,241.335
1.08,-2.97,237.002
1.1600000000000001,-2.97,222.35
1.2400000000000002,-2.97,221.374
1.3200000000000003,-2.97,216.71
1.4000000000000004,-2.97,218.724
1.4800000000000004,-2.97,208.558
1.5600000000000005,-2.97,204.608
1.6400000000000006,-2.97,192.106
1.7199999999999998,-2.97,192.397
1.7999999999999998,-2.97,181.725
1.88,-2.97,181.711
1.96,-2.97,171.659
2.04,-2.97,163.154
2.12,-2.97,160.451
2.2,-2.97,152.14
2.2800000000000002,-2.97,147.392
2.3600000000000003,-2.97,141.401
2.4400000000000004,-2.97,135.968
2.5200000000000005,-2.97,130.275
2.6000000000000005,-2.97,120.532
2.6800000000000006,-2.97,119.885
2.76,-2.97,111.738
2.84,-2.97,107.103
2.92,-2.97,104.583
3.0,-2.97,97.2286
3.08,-2.97,97.0335
3.16,-2.97,88.3827
3.24,-2.97,86.628
3.3200000000000003,-2.97,80.7858
3.4000000000000004,-2.97,77.1702
3.4800000000000004,-2.97,74.0456
3.5600000000000005,-2.97,69.2771
3.6400000000000006,-2.97,66.3334
3.7199999999999998,-2.97,57.745
3.8,-2.97,58.0893
3.88,-2.97,55.9245
3.96,-2.97,52.3698
-3.96,-2.91,56.1761
-3.88,-2.91,60.3211
-3.8,-2.91,59.001
-3.7199999999999998,-2.91,69.1997
-3.64,-2.91,65.435
-3.56,-2.91,70.4101
-3.48,-2.91,75.1469
-3.4,-2.91,78.7879
-3.32,-2.91,80.6064
-3.24,-2.91,87.225
-3.16,-2.91,92.1151
-3.08,-2.91,101.82
-3.0,-2.91,108.353
-2.92,-2.91,108.672
-2.84,-2.91,117.558
-2.76,-2.91,117.193
-2.6799999999999997,-2.91,123.443
-2.5999999999999996,-2.91,134.55
-2.52,-2.91,136.919
-2.44,-2.91,143.719
-2.36,-2.91,153.517
-2.2800000000000002,-2.91,154.591
-2.2,-2.91,158.343
-2.12,-2.91,168.721
-2.04,-2.91,170.126
-1.96,-2.91,174.423
-1.88,-2.91,191.816
-1.7999999999999998,-2.91,190.648
-1.7199999999999998,-2.91,194.146
-1.6400000000000001,-2.91,205.711
-1.56,-2.91,207.718
-1.48,-2.91,220.724
-1.4,-2.91,223.758
-1.3199999999999998,-2.91,225.132
-1.2399999999999998,-2.91,248.077
-1.1599999999999997,-2.91,242.973
-1.08,-2.91,247.613
-1.0,-2.91,252.077
-0.9199999999999999,-2.91,261.969
-0.8399999999999999,-2.91,266.977
-0.7599999999999998,-2.91,276.798
-0.6799999999999997,-2.91,279.289
-0.6000000000000001,-2.91,278.466
-0.52,-2.91,286.171
-0.43999999999999995,-2.91,290.005
-0.3599999999999999,-2.91,287.015
-0.2799999999999998,-2.91,290.927
-0.19999999999999973,-2.91,294.689
-0.1200000000000001,-2.91,291.839
-0.040000000000000036,-2.91,298.1
0.040000000000000036,-2.91,292.943
0.1200000000000001,-2.91,296.916
0.20000000000000018,-2.91,287.695
0.28000000000000025,-2.91,295.212
0.3600000000000003,-2.91,287.155
0.4400000000000004,-2.91,287.775
0.5200000000000005,-2.91,282.78
0.6000000000000005,-2.91,277.803
0.6799999999999997,-2.91,273.857
0.7599999999999998,-2.91,271.154
0.8399999999999999,-2.91,265.363
0.9199999999999999,-2.91,261.945
1.0,-2.91,250.48
1.08,-2.91,243.526
1.1600000000000001,-2.91,247.481
