x (m),y (m),flux (kW/m2)
-3.96,-2.97,41.6583
-3.88,-2.97,46.7739
-3.8,-2.97,47.3832
-3.72,-2.97,51.159600000000005
-3.64,-2.97,52.9866
-3.56,-2.97,52.7427
-3.48,-2.97,51.646499999999996
-3.4,-2.97,59.07690000000001
-3.32,-2.97,58.4676
-3.24,-2.97,64.19250000000001
-3.16,-2.97,66.8727
-3.08,-2.97,68.6997
-3,-2.97,72.23219999999999
-2.92,-2.97,78.5664
-2.84,-2.97,76.1301
-2.76,-2.97,81.9765
-2.68,-2.97,82.4643
-2.6,-2.97,90.6255
-2.52,-2.97,87.093
-2.44,-2.97,91.7217
-2.36,-2.97,108.1656
-2.28,-2.97,108.6525
-2.2,-2.97,103.90230000000001
-2.12,-2.97,114.01200000000001
-2.04,-2.97,110.6019
-1.96,-2.97,116.81370000000001
-1.88,-2.97,128.6289
-1.8,-2.97,126.07110000000002
-1.72,-2.97,129.3597
-1.64,-2.97,133.38
-1.56,-2.97,132.03990000000002
-1.48,-2.97,140.0796
-1.4,-2.97,148.8492
-1.32,-2.97,149.45850000000002
-1.24,-2.97,152.3817
-1.16,-2.97,165.2931
-1.08,-2.97,159.3252
-1,-2.97,159.0813
-0.92,-2.97,173.9421
-0.84,-2.97,174.429
-0.76,-2.97,170.0442
-0.68,-2.97,176.8653
-0.6,-2.97,190.50750000000002
-0.52,-2.97,181.9809
-0.44,-2.97,180.39780000000002
-0.36,-2.97,184.05180000000001
-0.28,-2.97,194.1624
-0.2,-2.97,191.3607
-0.12,-2.97,203.05440000000002
-0.04,-2.97,193.1877
0.04,-2.97,202.8105
0.12,-2.97,208.4139
0.2,-2.97,203.05440000000002
0.28,-2.97,209.8755
0.36,-2.97,203.7852
0.44,-2.97,203.5413
0.52,-2.97,209.2662
0.6,-2.97,205.2468
0.68,-2.97,208.7793
0.76,-2.97,201.22650000000002
0.84,-2.97,199.39950000000002
0.92,-2.97,197.9379
1,-2.97,199.39950000000002
1.08,-2.97,195.5016
1.16,-2.97,190.2645
1.24,-2.97,188.1936
1.32,-2.97,177.5961
1.4,-2.97,183.8079
1.48,-2.97,174.1851
1.56,-2.97,175.0383
1.64,-2.97,162.8577
1.72,-2.97,162.8577
1.8,-2.97,167.85180000000003
1.88,-2.97,157.8636
1.96,-2.97,154.33110000000002
2.04,-2.97,146.0475
2.12,-2.97,135.45090000000002
2.2,-2.97,133.50150000000002
2.28,-2.97,133.50150000000002
2.36,-2.97,134.9631
2.44,-2.97,130.0914
2.52,-2.97,116.0829
2.6,-2.97,127.41120000000001
2.68,-2.97,107.1909
2.76,-2.97,114.3774
2.84,-2.97,114.7428
2.92,-2.97,102.5622
3,-2.97,100.36980000000001
3.08,-2.97,95.3757
3.16,-2.97,88.0668
3.24,-2.97,90.86850000000001
3.32,-2.97,87.7014
3.4,-2.97,82.8297
3.48,-2.97,80.6373
3.56,-2.97,74.5461
3.64,-2.97,81.9765
3.72,-2.97,71.9883
3.8,-2.97,71.86680000000001
3.88,-2.97,64.6803
3.96,-2.97,61.878600000000006
-3.96,-2.91,39.7098
-3.88,-2.91,48.8448
-3.8,-2.91,51.646499999999996
-3.72,-2.91,53.230500000000006
-3.64,-2.91,53.4735
-3.56,-2.91,51.8904
-3.48,-2.91,57.3714
-3.4,-2.91,57.00600000000001
-3.32,-2.91,64.3149
-3.24,-2.91,66.8727
-3.16,-2.91,71.2575
-3.08,-2.91,70.7706
-3,-2.91,72.963
-2.92,-2.91,83.682
-2.84,-2.91,83.8035
-2.76,-2.91,84.7782
-2.68,-2.91,89.4069
-2.6,-2.91,87.093
-2.52,-2.91,92.0871
-2.44,-2.91,93.9141
-2.36,-2.91,98.78670000000001
-2.28,-2.91,110.358
-2.2,-2.91,105.4854
-2.12,-2.91,103.90230000000001
-2.04,-2.91,113.0382
-1.96,-2.91,124.85340000000001
-1.88,-2.91,127.1673
-1.8,-2.91,134.5977
-1.72,-2.91,135.45090000000002
-1.64,-2.91,138.7395
-1.56,-2.91,149.45850000000002
-1.48,-2.91,148.6062
-1.4,-2.91,148.9716
-1.32,-2.91,161.0298
-1.24,-2.91,164.3193
-1.16,-2.91,169.3134
-1.08,-2.91,176.62140000000002
-1,-2.91,173.8197
-0.92,-2.91,170.8965
-0.84,-2.91,187.46280000000002
-0.76,-2.91,185.8788
-0.68,-2.91,197.0856
-0.6,-2.91,184.2957
-0.52,-2.91,196.96320000000003
-0.44,-2.91,195.3801
-0.36,-2.91,201.9573
-0.28,-2.91,199.52190000000002
-0.2,-2.91,210.1185
-0.12,-2.91,208.4139
-0.04,-2.91,209.63160000000002
0.04,-2.91,221.4468
0.12,-2.91,217.3059
0.2,-2.91,216.0873
0.28,-2.91,225.1017
0.36,-2.91,213.5295
0.44,-2.91,212.0679
0.52,-2.91,222.7869
0.6,-2.91,227.9025
0.68,-2.91,211.58100000000002
0.76,-2.91,220.473
0.84,-2.91,220.35060000000001
0.92,-2.91,217.5489
1,-2.91,206.0991
1.08,-2.91,198.7911
1.16,-2.91,207.80460000000002
1.24,-2.91,196.2324
1.32,-2.91,197.57250000000002
1.4,-2.91,188.1936
1.48,-2.91,188.3151
1.56,-2.91,180.51930000000002
1.64,-2.91,181.1286
1.72,-2.91,178.083
1.8,-2.91,174.429
1.88,-2.91,161.0298
1.96,-2.91,159.9336
2.04,-2.91,164.4408
2.12,-2.91,165.7809
2.2,-2.91,149.33700000000002
2.28,-2.91,149.57999999999998
2.36,-2.91,134.1108
2.44,-2.91,135.32850000000002
2.52,-2.91,129.8475
2.6,-2.91,126.80189999999999
2.68,-2.91,124.00019999999999
2.76,-2.91,122.2956
2.84,-2.91,118.76310000000001
2.92,-2.91,114.2559
3,-2.91,109.26180000000001
